"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","leaftemp","leafminushobotemp","growthrateplot","growthrateplant","height","heightmax","leafangledaily","leafanglemean","leafanglenoon","leafanglemidnight","leafanglemidnightminusnoon","leafanglebright","leafanglelow","leafanglelowminusbright","leafanglecold","leafangleHot","leafanglecoldminushot","leafareadaily","leafareadailyplant","leafareaindex","leafareaprojecteddaily","leafareaprojectedplant","leafinclinationmean","leafinclinationhot","leafinclinationcold","leafinclinationbright","leafinclinationdark","leafinclinationnoon","leafinclinationmidnight","lightpendaily","lightpenmeanplot","lightpenmeanplant","huedaily","huemean","huebin0","huebin1","huebin5","ndvimean","ndvibin0","ndvibin1","ndvibin2","ndvibin3","ndvibin4","ndvibin5","green","greenb0","greenb1","greenb2","greenb3","npcimean","psrimean","biomassfinalplot","biomassfinalplant","heightfinal","heighmaxfinal","leafareafinalplot","leafareafinalplant","leafareaindexfinal","leafareafinalprojectedplot","leafareafinalprojectedplant","lightpenetrationfinal","biomassAUC","biomassAUCperplant","cluster"
"control","9823-123 ","Purple border",77,127,35,85,80.5533333333333,2.9,0.9,3.2,1.2,2.86666666666667,19020.6666666667,91.62,27.1333333333333,0.433333333333333,7820377.7,1955.1,8.71,7.06,-0.0286666666666667,39.7766666666667,39.6566666666667,39.9,0.24,38.64,35.9833333333333,-2.65666666666667,35.9833333333333,45.9933333333333,-10.0133333333333,11614.3,2903.56666666667,0.299666666666667,5464.46666666667,1366.1,1.60333333333333,1.44,1.73,1.65333333333333,1.73,1.61,1.6,2.50666666666667,174.436666666667,43.61,-0.739333333333333,139.926666666667,0.1702,0.210033333333333,0.136933333333333,0.8097,0.0063,0.0125333333333333,0.0355666666666667,0.124633333333333,0.3728,0.4481,-0.0061,0.756366666666667,0.122433333333333,0.0643333333333333,0.0305333333333333,-0.0106666666666667,-0.00633333333333333,461517666.666667,115379.433333333,65.0333333333333,821.17,709904.666666667,1774.73333333333,0.617333333333333,331973.366666667,829.933333333333,219.733333333333,643695919460,160924063198.333,2
"control","GPC000040","PPC2",68.3333333333333,122,26.3333333333333,80,5.68,8.3,6.8,1.2,103,15.39,21827.3333333333,88.3333333333333,27.1,0.4,5861842.03333333,1465.46666666667,6.05,3.53666666666667,-0.0693333333333333,37.4633333333333,37.4166666666667,37.4633333333333,0.0466666666666667,38.83,32.4333333333333,-6.39666666666667,32.4333333333333,39.7133333333333,-7.27333333333333,10026,2506.46666666667,0.355,4409.9,1102.46666666667,1.66666666666667,1.59,1.88,1.61666666666667,1.88,1.67333333333333,1.67,2.35,175.913333333333,43.9766666666667,-0.00166666666666667,104.723333333333,0.0754333333333333,0.6652,0.0147666666666667,0.7166,0.009,0.0261,0.0934333333333333,0.283933333333333,0.403366666666667,0.1843,0.358033333333333,0.2674,0.2986,0.250866666666667,0.124033333333333,0.194666666666667,0.0503333333333333,298462222.233333,74615.5666666667,50.3333333333333,607.413333333333,586694.533333333,1466.73333333333,0.510333333333333,263752,659.366666666667,260.09,598877476679.667,149719285836.667,2
"control","GPC000160","PPC3",49,124.333333333333,7,82.3333333333333,5.08333333333333,9.06666666666667,7,1.3,148.8,22.1466666666667,47063,95.3666666666667,26.8,0.1,3593327.03333333,898.333333333333,3.68333333333333,3.51666666666667,-0.046,39.67,39.49,39.72,0.233333333333333,41.5433333333333,36.24,-5.30333333333333,36.24,44.0366666666667,-7.79333333333333,8580.83333333333,2145.23333333333,0.326666666666667,4101.23333333333,1025.33333333333,1.58333333333333,1.55,1.69333333333333,1.52333333333333,1.69333333333333,1.59,1.58333333333333,2.11333333333333,134.23,33.56,0.00466666666666667,104.836666666667,0.085,0.641633333333333,0.0178333333333333,0.725033333333333,0.00773333333333333,0.0235,0.0862333333333333,0.273166666666667,0.409166666666667,0.200233333333333,0.346466666666667,0.298,0.2868,0.232233333333333,0.119466666666667,0.183333333333333,0.0443333333333333,195075111.1,48768.7666666667,38.1666666666667,567.75,512277.533333333,1280.7,0.445333333333333,247013.766666667,617.5,222.656666666667,415705458214,103926114553.333,2
"control","GPC000280","PPC4",46.3333333333333,121.666666666667,4.33333333333333,79.6666666666667,7.34333333333333,7.93333333333333,6.26666666666667,1.26666666666667,81.8,17.9333333333333,21922.6666666667,87.4733333333333,26.9666666666667,0.266666666666667,3921247.9,980.3,4.48666666666667,5.02,-0.0373333333333333,38.58,38.38,38.6066666666667,0.226666666666667,41.31,32.9766666666667,-8.34,32.9766666666667,39.9633333333333,-6.98333333333333,7768.8,1942.2,0.278333333333333,3686.63333333333,921.666666666667,1.62333333333333,1.61,1.84666666666667,1.52,1.84666666666667,1.63333333333333,1.62333333333333,2.04666666666667,159.473333333333,39.8666666666667,0.008,100.143333333333,0.093,0.704266666666667,0.0177333333333333,0.706833333333333,0.00973333333333333,0.0303333333333333,0.103466666666667,0.295966666666667,0.3941,0.1664,0.347466666666667,0.287566666666667,0.2897,0.239933333333333,0.1212,0.248,0.0626666666666667,214968888.9,53742.2333333333,45,655.82,478520.866666667,1196.26666666667,0.416,223390.533333333,558.466666666667,200.663333333333,421323999439.333,105331083193,2
"control","GPC000300","PPC5",66.3333333333333,125.333333333333,24.3333333333333,83.3333333333333,5.38666666666667,8.86666666666667,5.76666666666667,1.53333333333333,91.2,14.6533333333333,23916.6666666667,68.9233333333333,27.6,0.9,5212316.26666667,1303.06666666667,6.23333333333333,7.32,-0.103,38.68,38.5133333333333,38.8033333333333,0.29,45.3533333333333,31.7166666666667,-13.64,31.7166666666667,38.6166666666667,-6.9,8933.7,2233.43333333333,0.280666666666667,3979.3,994.8,1.64,1.66,1.91333333333333,1.42,1.91333333333333,1.64333333333333,1.63333333333333,3.64666666666667,193.946666666667,48.4866666666667,-0.002,100.09,0.0785333333333333,0.742233333333333,0.0144666666666667,0.694733333333333,0.00926666666666667,0.0316,0.1154,0.321866666666667,0.382633333333333,0.139233333333333,0.3726,0.2374,0.2868,0.2724,0.140433333333333,0.275666666666667,0.0723333333333333,262824000,65706.0333333333,52.6,696.506666666667,502646.233333333,1256.6,0.437333333333333,213710.666666667,534.3,307.87,487385198548,121846299637,2
"control","GPC000760","PPC6",68.3333333333333,127,26.3333333333333,85,6.04333333333333,10.6666666666667,7.13333333333333,1.5,112.866666666667,20.4033333333333,26474,93.63,26.6666666666667,-0.0333333333333333,5376230,1344.03333333333,4.58666666666667,2.50333333333333,-0.0246666666666667,37.5433333333333,37.36,37.5933333333333,0.23,40.5866666666667,34.82,-5.76666666666667,34.82,38.7366666666667,-3.91666666666667,10723.1,2680.76666666667,0.347333333333333,4993.4,1248.33333333333,1.66333333333333,1.62333333333333,1.76,1.55,1.76,1.67333333333333,1.66,1.62,160.75,40.1866666666667,0.0783333333333333,111.026666666667,0.0663333333333333,0.5844,0.0176333333333333,0.742033333333333,0.00713333333333333,0.0209,0.0734666666666667,0.241033333333333,0.414066666666667,0.243366666666667,0.351533333333333,0.287933333333333,0.2853,0.2373,0.124233333333333,0.113333333333333,0.0266666666666667,296767833.333333,74191.9333333333,45.3333333333333,546.193333333333,651340.133333333,1628.33333333333,0.566666666666667,295507.533333333,738.766666666667,203.353333333333,549789128235.333,137447282059,2
"control","GPC001360","PPC7",48,107,6,65,175.42,4.9,1.56666666666667,3,4.56666666666667,20.6733333333333,26611.3333333333,82.7866666666667,26.7,0,5722773.96666667,1430.7,3.16,2.33333333333333,-0.0196666666666667,37.6733333333333,37.5733333333333,37.74,0.166666666666667,39.37,36.57,-2.8,36.57,40.2133333333333,-3.64333333333333,14619,3654.73333333333,0.413333333333333,6967.43333333333,1741.86666666667,1.65,1.58666666666667,1.68333333333333,1.58333333333333,1.68333333333333,1.65333333333333,1.64666666666667,1.22666666666667,101.57,25.39,0.022,104.94,0.0776333333333333,0.666266666666667,0.0152666666666667,0.724933333333333,0.0149,0.0318666666666667,0.0844666666666667,0.244633333333333,0.4034,0.220733333333333,0.375666666666667,0.249733333333333,0.2634,0.260533333333333,0.1492,0.207333333333333,0.053,323965611.1,80991.4,36.7,469.706666666667,879307.233333333,2198.26666666667,0.764666666666667,407953.3,1019.86666666667,147.153333333333,535180103345.333,133794692503,2
"control","GPC001460","PPC8",51,110.333333333333,9,68.3333333333333,25.55,3.16666666666667,3.83333333333333,0.833333333333333,16.7333333333333,12.56,24779.6666666667,85.26,25.8333333333333,-0.9,5804507.96666667,1451.13333333333,6.30333333333333,5.65,-0.038,37.5166666666667,37.44,37.5866666666667,0.15,39.26,33.8166666666667,-5.44,33.8166666666667,39.86,-6.04,8454.76666666667,2113.7,0.313666666666667,3762.63333333333,940.633333333333,1.67666666666667,1.58666666666667,1.82,1.60333333333333,1.82,1.68333333333333,1.67333333333333,1.68333333333333,195.563333333333,48.89,0.093,111.27,0.0505666666666667,0.6224,0.0122666666666667,0.7344,0.0085,0.0228333333333333,0.0758333333333333,0.244033333333333,0.432433333333333,0.216366666666667,0.368133333333333,0.239866666666667,0.305,0.269,0.130233333333333,0.117333333333333,0.0293333333333333,274033111.133333,68508.2666666667,59.8,705.363333333333,454202.366666667,1135.5,0.395,183414.766666667,458.533333333333,244.51,661371280831.333,165342653541.333,2
"control","GPC001490","PPC9",58.3333333333333,115,16.3333333333333,73,28.3,3.7,3.96666666666667,0.933333333333333,18.9333333333333,15.9666666666667,36396,89.1566666666667,27.0333333333333,0.333333333333333,8137072.73333333,2034.26666666667,7.43666666666667,5.85333333333333,-0.0216666666666667,36.8733333333333,36.8166666666667,36.9,0.0833333333333333,37.2666666666667,33.25,-4.02,33.25,37.9233333333333,-4.67666666666667,11553.8333333333,2888.46666666667,0.395666666666667,5369.86666666667,1342.46666666667,1.69333333333333,1.63333333333333,1.84666666666667,1.67333333333333,1.84666666666667,1.69666666666667,1.68666666666667,1.79666666666667,139.366666666667,34.8433333333333,0.0703333333333333,108.35,0.0625666666666667,0.642933333333333,0.0140333333333333,0.739933333333333,0.00666666666666667,0.0197,0.0690333333333333,0.241833333333333,0.442066666666667,0.2207,0.3567,0.264533333333333,0.3098,0.248966666666667,0.120633333333333,0.153,0.036,417486000,104371.5,62.0333333333333,774.266666666667,673795.333333333,1684.5,0.585666666666667,303031,757.6,189.793333333333,842925857051.667,210731547596.333,2
"control","GPC002420","PPC10",64,125.333333333333,22,83.3333333333333,5.61,9.46666666666667,7.33333333333333,1.3,152.466666666667,24.79,18265.6666666667,74.3666666666667,26.0666666666667,-0.666666666666667,3690186.73333333,922.533333333333,3.36,3.97,-0.051,40.07,39.96,40.0833333333333,0.12,41.7133333333333,36.1866666666667,-5.53,36.1866666666667,44.1266666666667,-7.94,10066.4,2516.6,0.323,4908.73333333333,1227.2,1.57333333333333,1.47666666666667,1.7,1.52,1.7,1.58,1.57666666666667,1.14666666666667,113.47,28.37,-0.00166666666666667,99.9233333333333,0.0977333333333333,0.696233333333333,0.0182666666666667,0.7149,0.008,0.0253666666666667,0.0953333333333333,0.292833333333333,0.400733333333333,0.177766666666667,0.354133333333333,0.285633333333333,0.276666666666667,0.2382,0.129,0.256,0.0616666666666667,197085444.433333,49271.4,32.7,526.76,594726.566666667,1486.8,0.517,284858.666666667,712.166666666667,158.91,371364633174.667,92841301956.3333,2
"control","GPC002430","PPC11",50,125,8,83,7,8.7,6.86666666666667,1.23333333333333,125,25.8466666666667,36633.3333333333,94.1533333333333,26.9,0.2,6130538,1532.63333333333,5.48666666666667,4.63,-0.066,38.4,38.3233333333333,38.4533333333333,0.13,40.6133333333333,31.3666666666667,-9.25,31.3666666666667,44.6966666666667,-13.33,10206,2551.5,0.388333333333333,4784.3,1196.1,1.64,1.47,1.92666666666667,1.55333333333333,1.92666666666667,1.64666666666667,1.63666666666667,2.09,154.71,38.6766666666667,0.024,102.07,0.0710333333333333,0.737766666666667,0.0132333333333333,0.7151,0.00756666666666667,0.0247333333333333,0.0883333333333333,0.289466666666667,0.428533333333333,0.161366666666667,0.3713,0.239266666666667,0.298466666666667,0.2667,0.134833333333333,0.243666666666667,0.0596666666666667,334865944.466667,83716.5,51.8333333333333,664.206666666667,643509.5,1608.76666666667,0.559666666666667,281497.333333333,703.733333333333,210.35,690312801824.667,172577783789.667,2
"control","GPC002650","PPC12",55,120.666666666667,13,78.6666666666667,7.28333333333333,8.4,7.3,1.13333333333333,139,29.7966666666667,30618,91.2133333333333,26.2666666666667,-0.433333333333333,6337263.9,1584.3,5.09333333333333,4.09333333333333,-0.0316666666666667,36.55,36.4733333333333,36.5633333333333,0.0933333333333333,38.3633333333333,32.5966666666667,-5.76333333333333,32.5966666666667,39.04,-6.44333333333333,11359.7,2839.9,0.409,5163.9,1290.96666666667,1.7,1.59666666666667,1.86666666666667,1.62,1.86666666666667,1.7,1.7,1.27333333333333,126.943333333333,31.7366666666667,0.0506666666666667,106.113333333333,0.0643666666666667,0.673766666666667,0.0134333333333333,0.722433333333333,0.0073,0.0242,0.0901,0.269666666666667,0.418466666666667,0.1902,0.3612,0.2556,0.309733333333333,0.257,0.121566666666667,0.177333333333333,0.045,348953444.433333,87238.3666666667,50.0666666666667,614.623333333333,693972.233333333,1734.93333333333,0.603666666666667,305725.233333333,764.266666666667,178.983333333333,679717568011.333,169929392003,2
"control","GPC002710","PPC13",46.6666666666667,111,4.66666666666667,69,182.393333333333,3.2,1.13333333333333,2.8,2.1,8.32333333333333,17589.6666666667,93.55,26.4,-0.3,3894964.4,973.766666666667,3.62666666666667,4.36333333333333,0.00133333333333333,37.71,37.6966666666667,37.7333333333333,0.0366666666666667,38.0566666666667,36.5166666666667,-1.54,36.5166666666667,39.63,-3.11333333333333,9940,2485,0.285666666666667,4799.56666666667,1199.86666666667,1.64666666666667,1.57,1.68333333333333,1.63,1.68333333333333,1.65,1.65,1.86333333333333,176.516666666667,44.13,0.047,105.48,0.0840333333333333,0.643366666666667,0.0196,0.725533333333333,0.0119,0.0292,0.0897,0.257666666666667,0.388633333333333,0.2229,0.367733333333333,0.265066666666667,0.252366666666667,0.2477,0.148,0.195666666666667,0.047,215512555.533333,53878.1333333333,36.0666666666667,618.35,606246.166666667,1515.63333333333,0.527333333333333,291589.933333333,729,212.133333333333,364425763914.333,91106583283.6667,2
