"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","cluster"
"control","9823-123 ","Purple border",77,127,35,85,80.5533333333333,2.9,0.9,3.2,1.2,2.86666666666667,19020.6666666667,91.62,2
"control","GPC000040","PPC2",68.3333333333333,122,26.3333333333333,80,5.68,8.3,6.8,1.2,103,15.39,21827.3333333333,88.3333333333333,1
"control","GPC000160","PPC3",49,124.333333333333,7,82.3333333333333,5.08333333333333,9.06666666666667,7,1.3,148.8,22.1466666666667,47063,95.3666666666667,1
"control","GPC000280","PPC4",46.3333333333333,121.666666666667,4.33333333333333,79.6666666666667,7.34333333333333,7.93333333333333,6.26666666666667,1.26666666666667,81.8,17.9333333333333,21922.6666666667,87.4733333333333,1
"control","GPC000300","PPC5",66.3333333333333,125.333333333333,24.3333333333333,83.3333333333333,5.38666666666667,8.86666666666667,5.76666666666667,1.53333333333333,91.2,14.6533333333333,23916.6666666667,68.9233333333333,1
"control","GPC000760","PPC6",68.3333333333333,127,26.3333333333333,85,6.04333333333333,10.6666666666667,7.13333333333333,1.5,112.866666666667,20.4033333333333,26474,93.63,1
"control","GPC001360","PPC7",48,107,6,65,175.42,4.9,1.56666666666667,3,4.56666666666667,20.6733333333333,26611.3333333333,82.7866666666667,1
"control","GPC001460","PPC8",51,110.333333333333,9,68.3333333333333,25.55,3.16666666666667,3.83333333333333,0.833333333333333,16.7333333333333,12.56,24779.6666666667,85.26,1
"control","GPC001490","PPC9",58.3333333333333,115,16.3333333333333,73,28.3,3.7,3.96666666666667,0.933333333333333,18.9333333333333,15.9666666666667,36396,89.1566666666667,1
"control","GPC002420","PPC10",64,125.333333333333,22,83.3333333333333,5.61,9.46666666666667,7.33333333333333,1.3,152.466666666667,24.79,18265.6666666667,74.3666666666667,1
"control","GPC002430","PPC11",50,125,8,83,7,8.7,6.86666666666667,1.23333333333333,125,25.8466666666667,36633.3333333333,94.1533333333333,1
"control","GPC002650","PPC12",55,120.666666666667,13,78.6666666666667,7.28333333333333,8.4,7.3,1.13333333333333,139,29.7966666666667,30618,91.2133333333333,1
"control","GPC002710","PPC13",46.6666666666667,111,4.66666666666667,69,182.393333333333,3.2,1.13333333333333,2.8,2.1,8.32333333333333,17589.6666666667,93.55,1
"control","GPC002770","PPC14",68.6666666666667,124.333333333333,26.6666666666667,82.3333333333333,67.7566666666667,3.8,2.5,1.53333333333333,7.13333333333333,13.93,17024.6666666667,90.5433333333333,2
"control","GPC002790","PPC15",63,127,21,85,43.5533333333333,7.96666666666667,2.26666666666667,3.5,14.2,18.3666666666667,24532.6666666667,90.8466666666667,1
"control","GPC002850","PPC16",52.3333333333333,107,10.3333333333333,65,42.7966666666667,7.93333333333333,2.3,3.46666666666667,12.5333333333333,15.91,26075.6666666667,92.08,1
"control","GPC002860","PPC17",45,110.333333333333,3,68.3333333333333,29.93,2.56666666666667,4,0.666666666666667,18.4,16.2,48597.3333333333,95.1066666666667,1
"control","GPC003010","PPC18",45.3333333333333,112.666666666667,3.33333333333333,70.6666666666667,35.91,11.4,1.36666666666667,8.33333333333333,9.8,10.3166666666667,27530.3333333333,91.47,1
"control","GPC003030","PPC19",59,119,17,77,13.34,18.9,2.76666666666667,6.86666666666667,45.6666666666667,17.93,51135.3333333333,93.5766666666667,1
"control","GPC003040","PPC20",53.6666666666667,119,11.6666666666667,77,7.32333333333333,23.9,4.13333333333333,5.86666666666667,90.2666666666667,18.9066666666667,30117.6666666667,70.4366666666667,1
