g2pname,genotype,environment,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC127510,AVPP9905,control,66.2788005,120.9900699,24.2788005,78.99006989,39.92512009,14.31715219,2.463764124,6.746420468,30.49322783,20.58225952,29259.91988,88.47725229,26.55655095,-0.15699888,6512045.672,1629.168472,4.886604704,4.660972335,-0.030329484,37.4926822,37.54354814,37.54300651,0.056422655,38.89239017,33.56757236,-5.286215258,33.56757236,42.88248934,-8.959405432,13827.37454,3431.234495,0.420251408,6630.544306,1648.272054,1.67,1.518173678,1.819819627,1.616302075,1.819819627,1.667206039,1.66364554,1.774009585,149.4704426,38.86919509,0.0414969,107.9579834,0.069231612,0.618432513,0.017795791,0.737146082,0.009172614,0.023639292,0.076690906,0.239700318,0.41745527,0.2339949,0.364849709,0.264574897,0.273826074,0.24982883,0.136671464,0.156260918,0.036955221,343340494.1,85939.20561,42.06644546,710.187148,799037.9019,1983.255433,0.694812567,367457.6191,913.1983405,193.373499,6.53E+11,1.64E+11
GPC026050,CM334,control,65.98804238,120.9900699,23.98804238,78.99006989,136.8198298,6.88777865,1.324299817,5.669737733,5.267050516,14.79573532,29813.28214,92.70796059,26.55655095,-0.15699888,7836170.026,1950.854508,5.410504226,5.771519389,-0.024381946,37.75471363,37.72726561,37.81114424,0.104968102,39.15270165,33.0350588,-5.905737486,33.0350588,41.47865597,-8.110166343,13494.8011,3351.394479,0.394980646,6212.006828,1546.388528,1.654508559,1.529384929,1.844368695,1.607618067,1.844368695,1.657926367,1.654354356,1.116025229,143.1813675,37.55314354,0.056510059,107.9726816,0.068683175,0.602655539,0.018250919,0.748698439,0.009826926,0.020870948,0.067362012,0.218674168,0.416116921,0.269965583,0.352754586,0.286732824,0.276609596,0.23461344,0.129138659,0.156260918,0.035968389,438541001.6,109086.1232,53.11143206,654.3605849,812074.8416,2014.430898,0.706381869,370471.5959,920.5100317,183.6018548,6.53E+11,1.64E+11
GPC050150,PPC1,control,46.5072484,106.3041675,4.507248402,64.30416751,112.8058876,3.854162076,1.686639622,2.31346676,4.021342468,12.15001795,25751.8164,86.95488732,26.55655095,-0.15699888,3200866.367,824.7003181,1.994434244,3.048887901,-0.04709073,38.44410584,38.41542767,38.48460647,0.093765306,38.94671604,36.19210351,-3.35116435,36.19210351,41.59113568,-5.80425975,12198.49521,3040.04035,0.387598176,5828.273859,1452.990518,1.620427389,1.531627179,1.704439008,1.605447065,1.704439008,1.623900904,1.623383741,1.754294698,114.9812541,31.63091157,-0.039701031,107.9187452,0.092441445,0.623375767,0.021469321,0.721347353,0.018260283,0.033108785,0.087614326,0.249419239,0.383253033,0.220587276,0.345341447,0.306700722,0.257947345,0.227180452,0.130119823,0.156260918,0.039473343,167291130.9,43134.80352,23.53333234,470.7890305,681178.9001,1701.434624,0.592381923,323076.2974,805.7164792,165.3868722,6.53E+11,1.64E+11
GPC002420,PPC10,control,63.08046119,124.0380874,21.08046119,82.03808737,6.940830604,9.464721761,7.2864366,1.377583508,150.6215107,23.59210753,21431.28073,79.74413881,26.55655095,-0.15699888,3916481.476,998.5387974,3.563069069,4.36414409,-0.047361072,39.9133535,39.80109336,39.92818521,0.127373693,40.96809127,35.67480462,-5.450656343,35.67480462,42.88681548,-7.355717038,10183.44942,2556.010252,0.327402652,4923.533282,1232.797112,1.580149643,1.511446928,1.728988076,1.549001013,1.728988076,1.586782216,1.583121943,1.379711843,125.5145581,33.84363909,0.013162205,107.8949542,0.08833914,0.660139372,0.018250919,0.722682457,0.008790932,0.025089377,0.088384098,0.272733306,0.405261429,0.194626534,0.35425022,0.284897065,0.276989167,0.239028762,0.129170309,0.156260918,0.040221974,209862264.1,53485.51125,33.98550893,555.9972716,602850.9653,1514.084922,0.524094826,285303.736,714.2640949,178.0593564,6.53E+11,1.64E+11
GPC015800,PPC100,control,57.26529881,119.6046074,15.26529881,77.6046074,8.439471869,8.877570166,6.298237133,1.474399017,96.66268312,20.09851289,31071.32387,90.24543822,26.55655095,-0.15699888,4645625.695,1175.711736,4.770182588,4.295054757,-0.039521135,38.66558479,38.58046201,38.74962632,0.157247814,38.85617292,35.28936623,-3.959213944,35.28936623,41.34238247,-6.272405216,9366.11322,2359.672904,0.327118711,4387.626282,1102.332304,1.623525678,1.54283843,1.753537144,1.618473077,1.753537144,1.626994128,1.623383741,2.781933187,168.5115213,42.86600658,-0.004811295,107.9179964,0.075220538,0.652176884,0.015747717,0.718380456,0.009790575,0.027044794,0.091793085,0.277422591,0.400329367,0.186915624,0.358444496,0.265219023,0.294797383,0.253005321,0.126448372,0.156260918,0.039575429,238496697.2,60447.64211,43.75127392,634.1357612,546442.7118,1379.234164,0.475278018,250203.3041,629.2235013,257.0997708,6.53E+11,1.64E+11
GPC015830,PPC101,control,51.74089455,123.2068099,9.740894546,81.20680987,9.714290088,5.028465266,6.660576938,0.828962291,83.2877125,21.03429717,22515.29606,89.8616125,26.55655095,-0.15699888,5772169.103,1449.3756,5.56369122,7.063745801,-0.055741695,38.07601407,37.9172108,38.14475747,0.1908562,40.03776068,33.58785859,-6.234619656,33.58785859,40.6350581,-6.933999222,9633.878507,2424.021983,0.357784355,4433.472831,1113.512545,1.657606847,1.551807431,1.829639254,1.577224039,1.829639254,1.664112815,1.651257295,2.106698304,165.0013398,42.12920307,0.042554164,107.9064432,0.072280919,0.676449151,0.014252298,0.721736758,0.008827282,0.025506826,0.087467703,0.271050458,0.416761311,0.187566677,0.364004351,0.253624759,0.302641855,0.255895927,0.128379048,0.156260918,0.040017802,310483676.9,77950.44278,52.33141889,738.7053869,593985.8598,1492.896402,0.516758196,260339.9012,653.8020326,226.1151109,6.53E+11,1.64E+11
GPC015960,PPC102,control,60.17288,112.9543875,18.17288,70.95438746,123.7797045,4.310835539,1.719579604,2.539369614,4.283596794,14.08964355,15583.20572,75.64712262,26.55655095,-0.15699888,9909140.787,2454.50677,7.432572556,7.053510344,0.022116993,37.76719132,37.64630537,37.76749391,0.127373693,39.42206744,36.61811436,-3.431472787,36.61811436,37.60026886,-1.90820616,13296.29578,3303.687876,0.4477937,6554.280617,1629.724321,1.663803424,1.704280443,1.694619381,1.598934059,1.694619381,1.670299263,1.66364554,1.254029438,158.8143691,40.83400445,0.031981517,107.9412312,0.060654065,0.65726814,0.012236733,0.727596381,0.009572471,0.02471587,0.081437829,0.254240883,0.432325808,0.199468742,0.374961491,0.217070621,0.29909919,0.293505575,0.136734765,0.156260918,0.038724712,540755527,133938.4266,66.27805452,798.1121975,798522.4471,1982.040804,0.694530389,376762.2568,935.7239739,202.3401849,6.53E+11,1.64E+11
GPC016020,PPC103,control,63.08046119,124.0380874,21.08046119,82.03808737,6.107170853,9.301624096,8.109936156,1.216224327,181.5675212,24.09402819,42019.22988,90.15271628,26.55655095,-0.15699888,6322022.735,1582.99216,5.784280493,5.014095592,-0.053038268,36.55061683,36.45369873,36.62323171,0.159114946,37.89415224,32.11457106,-5.534788991,32.11457106,39.79578638,-7.305420418,11156.25672,2789.635519,0.389869705,4842.440542,1213.045354,1.713376034,1.578714433,1.895921738,1.648867105,1.895921738,1.716697622,1.710101462,2.737574691,185.2207577,46.37624971,0.027541005,107.9331654,0.075483788,0.635689503,0.018380955,0.728634795,0.00871823,0.026165955,0.086936195,0.253144196,0.405682761,0.21605025,0.34485374,0.290082278,0.294923907,0.235439328,0.118219257,0.156260918,0.038214282,326427363.3,81826.95097,50.27218409,675.4103505,645222.0705,1615.438924,0.561342333,258828.7758,650.1180651,253.1073776,6.53E+11,1.64E+11
GPC016090,PPC104,control,46.79800652,116.8336824,4.798006521,74.83368242,22.08943387,14.39027125,4.091258324,3.539796538,40.14687587,24.07701393,22095.40812,87.34086937,26.55655095,-0.15699888,4816869.822,1217.303166,3.24750386,3.645103255,-0.0278964,39.28634972,39.19389154,39.27966604,0.108702367,38.99651476,36.22506863,-3.36454909,36.22506863,41.50461282,-5.697863053,12182.62848,3036.17447,0.415140467,5882.070677,1466.091466,1.60183766,1.54508068,1.706893915,1.614131073,1.706893915,1.60534156,1.601704311,1.379711843,152.7295026,39.55502477,0.018237076,107.930705,0.073970103,0.643933193,0.016202845,0.723702328,0.010335835,0.027703924,0.087760949,0.26271185,0.403476964,0.203395405,0.365987691,0.259969398,0.276894275,0.25481592,0.137715928,0.156260918,0.038962913,226918078.5,57632.42313,32.4566831,516.4550601,675604.6123,1688.100702,0.587584895,306153.963,764.7428863,191.0308962,6.53E+11,1.64E+11
GPC016110,PPC105,control,49.12407147,110.1834625,7.124071474,68.18346248,8.776828345,16.38006277,4.947697862,3.346165521,92.66330465,20.214777,42308.65595,89.84220558,26.55655095,-0.15699888,4921478.663,1242.72842,5.186851213,4.801709865,-0.0481721,35.98912091,35.96170956,35.97783041,0.065758318,38.44646529,33.97583276,-4.599769333,33.97583276,39.15551723,-5.314834944,8752.989787,2212.413039,0.308094654,3768.918705,951.7717308,1.728867475,1.634770687,1.80263528,1.629328087,1.80263528,1.732163742,1.728683831,3.378308521,230.4750546,55.8736006,-0.00015933,107.921548,0.079125406,0.644465999,0.01893361,0.72520432,0.009790575,0.026912968,0.087119473,0.258646542,0.410292627,0.204249913,0.355810881,0.269599078,0.276451442,0.255355924,0.133316517,0.156260918,0.039099028,263333237.2,66486.34127,49.77297566,716.354963,530824.3784,1341.850598,0.46173347,228028.48,575.5388144,303.106994,6.53E+11,1.64E+11
