"","DASanthesis_BLUP","DASmaturity_BLUP","DATanthesis_BLUP","DATmaturity_BLUP","fruitno_BLUP","fruitlength_BLUP","fruitwidth_BLUP","fruitshapeindex_BLUP","fruitweight_BLUP","yield_BLUP","pollenconcentration_BLUP","pollenactivity_BLUP","leaftemp_BLUP","leafminushobotemp_BLUP","growthrateplot_BLUP","growthrateplant_BLUP","height_BLUP","heightmax_BLUP","leafangledaily_BLUP","leafanglemean_BLUP","leafanglenoon_BLUP","leafanglemidnight_BLUP","leafanglemidnightminusnoon_BLUP","leafanglebright_BLUP","leafanglelow_BLUP","leafanglelowminusbright_BLUP","leafanglecold_BLUP","leafangleHot_BLUP","leafanglecoldminushot_BLUP","leafareadaily_BLUP","leafareadailyplant_BLUP","leafareaindex_BLUP","leafareaprojecteddaily_BLUP","leafareaprojectedplant_BLUP","leafinclinationmean_BLUP","leafinclinationhot_BLUP","leafinclinationcold_BLUP","leafinclinationbright_BLUP","leafinclinationdark_BLUP","leafinclinationnoon_BLUP","leafinclinationmidnight_BLUP","lightpendaily_BLUP","lightpenmeanplot_BLUP","lightpenmeanplant_BLUP","huedaily_BLUP","huemean_BLUP","huebin0_BLUP","huebin1_BLUP","huebin5_BLUP","ndvimean_BLUP","ndvibin0_BLUP","ndvibin1_BLUP","ndvibin2_BLUP","ndvibin3_BLUP","ndvibin4_BLUP","ndvibin5_BLUP","green_BLUP","greenb0_BLUP","greenb1_BLUP","greenb2_BLUP","greenb3_BLUP","npcimean_BLUP","psrimean_BLUP","biomassfinalplot_BLUP","biomassfinalplant_BLUP","heightfinal_BLUP","heighmaxfinal_BLUP","leafareafinalplot_BLUP","leafareafinalplant_BLUP","leafareaindexfinal_BLUP","leafareafinalprojectedplot_BLUP","leafareafinalprojectedplant_BLUP","lightpenetrationfinal_BLUP","biomassAUC_BLUP","biomassAUCperplant_BLUP"
"AVPP9905",69.5358585613932,115.062181441854,30.2025647644396,75.7292309798046,32.8599222247243,11.4554875867993,1.88509800286362,6.24055736554314,17.3473412641433,9.30026258227519,20721.469097049,56.3198078638615,32.3079941672631,0.0425513762066798,3422887.50613603,859.370219113692,5.47728171338125,4.53220692641918,-0.0396407847473027,35.728314554657,36.2952134322412,36.3945923346499,0.110840118899708,35.7543568445083,36.290818301227,0.80201523938591,35.5353455213661,36.2720696972958,0.834465419851161,7908.65274141114,1979.89694683799,0.213886124554198,3624.4230606774,908.203569661092,1.68163673300011,1.64017018558268,1.7436223046269,1.73874468774211,1.71473612659038,1.71553392606745,1.71184367668516,1.84829384940521,117.456707784171,29.8299363670472,0.0341442822973071,95.9208313397546,0.113397524690275,0.652715237511996,0.0205340673945509,0.653216344297084,0.033044101253139,0.0466224798966975,0.127985817243271,0.295421977045615,0.339227435391844,0.137228501691243,0.325447068471741,0.305279253344983,0.283698429723698,0.236502276115836,0.107608611725093,0.233094674158016,0.0909116332987161,197481308.251477,49600.8234031751,39.184015069046,585.33650669045,452099.33489139,29532.1843428835,0.390618664024312,214740.264212254,538.438452196683,171.995404931236,238213096989.526,59729033895.9612
"CM334",67.0190348701561,114.842342078909,27.6857130004539,75.5093801113303,117.831647118093,5.3572877839461,1.19774585439942,4.97350612374728,8.97978475167723,7.11895349287175,18690.1207587748,58.2518186983177,32.2173389183809,-0.0469869311639872,4273307.41526336,1074.60710017068,6.94822802277968,6.11635313089063,-0.0184358539564018,36.6204029694603,36.8223088816782,36.8885784978306,0.0859233070192713,36.8676215322159,36.6044955418599,0.80201523938591,35.9915427227579,36.3476602547506,0.83446542216713,7695.61650717175,1927.0628114117,0.217307695767205,3640.58200166408,912.229704664604,1.67554948013392,1.6376004079398,1.72689731646619,1.69140507073004,1.70644404523319,1.67478278673471,1.67206535413716,1.92556030197219,147.538152596286,37.1299312649887,0.0506684110408279,95.9208313460865,0.122036505689949,0.635458209581774,0.0246994116864813,0.657867476858195,0.0380500655420513,0.0503006499463044,0.125873062085953,0.280019484213076,0.33685100601363,0.155959423738951,0.303290844595316,0.352679328036923,0.288277430613939,0.211308588384791,0.0966958986638045,0.229191074754391,0.0902382431268951,250565770.495562,63060.1237852537,53.9784756314004,645.655477906858,474796.597889081,29724.9210531634,0.410626714275017,223762.666466443,560.933831711445,208.722810352586,238213096989.526,59729033895.9612
"PPC1",58.6021162961827,103.923653719309,19.2687005438459,64.5901203104407,60.1096891743447,3.56650039313655,1.72402775870499,1.97721274803784,9.04665540252492,6.78250059975794,20336.0648883323,58.5135062347916,32.3090571266302,0.0434437845857894,1944342.90565812,491.352663812997,2.22376364694386,3.2626671996841,-0.0578379239366573,34.7930457531433,35.5953156285016,35.7172909937262,0.127451326819999,35.0213999693716,36.9192792277861,0.80201523938591,35.8782235715799,34.3067152034714,0.83446543944724,6587.94771689722,1663.7284610885,0.197449164805437,3092.29114574634,796.792502634677,1.68250634055242,1.63631551911835,1.72510535344898,1.76654731995554,1.68212060658542,1.74076082184486,1.73997956336545,1.55799274904643,87.0457576869355,23.5810072657367,-0.0553390506200424,95.9208313043368,0.154044934826417,0.613740749456617,0.0317322031359,0.622646244808283,0.0464095398885845,0.0577146617013481,0.139582039724863,0.289357117650067,0.307138925708611,0.127699765544937,0.279543289722243,0.379169984114757,0.258345027253549,0.19534639926012,0.0950752936485517,0.240802291347826,0.100977044288041,104946197.604826,26533.4705411972,20.3480408150341,411.015711959012,381719.267129483,29311.7116184861,0.330594513272196,179347.646379351,462.652160422964,140.962352703282,238213096989.526,59729033895.9612
"PPC10",67.1015536797048,112.643948449459,27.7682327304206,73.3108714265875,15.3992582191903,9.6891535035754,5.22729393707225,1.92037180340086,52.3907526748338,8.27118927569213,16981.5990160788,52.4555721200326,32.3647865677353,0.0973601241569966,2046568.0543957,511.376137513503,2.7579787000419,2.66508587376638,-0.0669364935313346,36.7931245163017,37.5357219533519,37.7887525022205,0.230138793963616,37.181855664219,37.4774808782245,0.80201523938591,36.7561549335413,35.7952012662667,0.834465432041479,5023.21724146019,1266.16780573545,0.174504510788798,2347.90120754153,590.93725183725,1.62859067230903,1.63610137098145,1.68986341411034,1.68915080325328,1.66553644387103,1.66896119540147,1.66042291826945,1.43436642493926,93.3560226689536,24.3632819856278,0.00638681313185678,95.9208313237036,0.119593482225855,0.667900753861048,0.0206749244479012,0.64498197406441,0.0301239554179402,0.0508901824281229,0.143971647527446,0.305378369324816,0.319813215725754,0.126550308682874,0.3190613428057,0.309637067379161,0.288390028996486,0.229273377736242,0.10245911531568,0.240881956641778,0.0957316892654352,111379346.531202,27801.3879080283,25.0636285814423,407.027703250575,310612.064913093,29012.9041870485,0.26992953528785,143987.450949222,362.914802748987,143.238152999578,238213096989.526,59729033895.9612
"PPC100",65.2036210600834,109.712756943526,25.8702789411855,70.379526513597,22.0080156941511,6.59102852277866,4.97208911613157,1.34016517984231,41.9690970184748,9.39540769704825,31485.5796353718,58.6813913141995,32.2619072861312,-0.00266398166820851,2871175.31793814,719.730791924399,4.9421392035938,3.58325803976872,-0.0579883135167346,35.9579974626908,36.7045329753937,36.8663877131565,0.161428797566049,36.0255662542811,37.2412548081182,0.80201523938591,36.385239155201,34.7550751956889,0.834465438798616,5804.97027988408,1458.05541291816,0.196576999594278,2695.2001478326,676.476421728053,1.6607661517446,1.63310329706474,1.70838036528826,1.72446766038926,1.67769816319491,1.70000968251212,1.69535022587257,2.3074773389461,136.901339957458,34.5476831967224,-0.0164249191242799,95.9208313188369,0.122020433167159,0.669253918684231,0.0219124542737645,0.638986323238745,0.0339918323563797,0.0553052680800029,0.143875923992811,0.302555601714072,0.321162544271011,0.119503354397841,0.316296915241008,0.310536940810812,0.293672769777646,0.228687250840599,0.100675490861023,0.240941705612241,0.0989568737725781,159327261.824002,39927.0568556268,40.5858937607376,546.656896234325,349982.173225173,29318.457027207,0.303181348337954,159687.39231238,401.19052311739,223.300386877366,238213096989.526,59729033895.9612
"PPC101",65.0385834409858,113.230186750646,25.705239481252,73.8971404091856,18.2331092995148,4.13410350546605,5.48144419263711,0.762103497590811,39.923364611856,9.04190287992883,22258.6492489646,60.7215947553852,32.2835461018191,0.0186050847005712,2820583.19881421,709.164036796235,4.55075248066433,4.52451274625715,-0.0670116883213733,36.462381128733,36.9922151071376,37.2243347181175,0.215792750759729,36.5587654904916,36.8999164351544,0.80201523938591,36.3893279905528,35.3908997703943,0.834465433205187,5338.99579381784,1349.77182973816,0.194430131382195,2446.30321553522,618.385845196174,1.65989654419229,1.63578014877609,1.71136697031696,1.7071849430674,1.68212060658542,1.69127729551225,1.68273758701589,2.008897690098,131.067663779137,33.7950681818508,0.0147830641639474,95.9208313169721,0.114514565024186,0.711352379849921,0.0154129073834577,0.643367265526597,0.0293220290998135,0.0510119337015419,0.144997256827115,0.313105184288284,0.325613314547159,0.113834442146303,0.326201930611178,0.292741690926466,0.306321321417083,0.239344991559703,0.102219380845968,0.245821204866773,0.098708782656644,158250090.168932,39832.9486994078,39.4428985905082,565.694318963269,334492.386769622,29103.2140050025,0.289439164357933,150521.532855739,381.177119343587,194.034436158797,238213096989.526,59729033895.9612
"PPC102",68.421854632485,109.03757840834,29.0885484098885,69.7098284230378,63.8792530002866,2.96159476720812,1.43929510724227,1.7830955597493,10.7495403136948,6.80756445680629,14997.8871086515,51.1105736856617,32.3044256608163,0.039056110055167,4396037.52670352,1116.33099565424,7.21719046270752,6.83704133940085,-0.0273088391809632,35.4260518476845,36.0027044190921,36.2141716070818,0.199936597744905,35.0482904207655,37.4171796097431,0.80201523938591,36.7006635966242,34.882067332213,0.83446543974866,6484.82614682612,1644.2682146615,0.208988581445383,3117.22927810634,791.286465036988,1.70250731425561,1.65483933296083,1.69404466115051,1.77932150232388,1.67051169268535,1.73882029140044,1.72930733048672,1.76054123541843,159.510177955692,41.1905302553241,0.0929947176135588,95.9208313282801,0.129542373832922,0.613657220763828,0.0409482789122485,0.658909639340768,0.0311081377174594,0.0475772661987732,0.127021744501583,0.287081516949376,0.343255281795597,0.147697702542873,0.263334155403809,0.375297495077425,0.270552568561344,0.218674249706702,0.088449032905713,0.231441619308522,0.0916913482345089,253009101.409825,64465.2505267173,59.1590768174916,718.70167419096,398373.903201443,29093.5780315627,0.344265494226414,188839.159915789,478.053352835193,208.846547895349,238213096989.526,59729033895.9612
"PPC103",68.0092605847412,111.471471847086,28.6759497600548,72.1383334613913,15.5198476268637,6.09198138138771,6.11101972198246,0.98946727613871,65.6997443027987,9.07636568337032,27318.6015824327,56.968691893157,32.3822874344584,0.115319842786578,2785980.23126199,704.350442560242,4.70007300765875,4.263765529655,-0.0602441572178943,34.661667129748,35.1338657661741,35.3188216863167,0.179550115297275,34.4874324345498,36.0734018011058,0.80201523938591,35.2070704545515,35.0129469831204,0.834465428828882,5171.5723971532,1320.93552270946,0.191947815011974,2261.79183180969,574.7247189312,1.73120436348193,1.65184125904413,1.76094461379335,1.797355642138,1.72800345676189,1.77277957417772,1.76229423211189,2.1827472083737,142.391184533913,36.8787506381042,0.0170450678666568,95.9208313288938,0.110062476211331,0.687513290927921,0.0176968038913519,0.644473759026612,0.0305127681782441,0.0518449687301985,0.146850190961851,0.305194275784985,0.320598645774486,0.12363094949343,0.327334223820332,0.292054147180935,0.300278541553732,0.240868921488375,0.103935879649106,0.239886140467384,0.0968303784931432,155524857.92498,39475.006170388,39.4956522137495,523.836070919103,319764.64957336,28934.5705093508,0.276480213661746,135287.34715349,343.719841895899,215.621380547115,238213096989.526,59729033895.9612
"PPC104",61.1601993921942,107.294523951132,21.826812172815,67.9611669603798,29.6952088212796,9.58228684299472,3.52733455130221,2.72150738158615,24.9758192804765,10.3770754314419,22398.2742712523,59.594366365075,32.2516193579708,-0.012666392250729,3153438.31655601,791.167194474274,4.87907214871417,4.03977939604921,-0.04873935434198,36.0232274085724,36.9149850046561,37.0333010065749,0.13047154644187,35.922614240373,36.858424736658,0.80201523938591,36.3104718801969,34.2717275740209,0.834465442587344,6887.71636467247,1726.64150345131,0.218045681715109,3255.58073700628,816.224023669899,1.65641811398304,1.61929074223423,1.70658840227105,1.73498757528083,1.68875427167117,1.68933676506783,1.68661839897179,1.99785962544557,140.100884030375,35.3243967219224,0.00922390252169562,95.9208313302544,0.1143297310121,0.665436657423771,0.0180288240885347,0.645335794660345,0.0316832565920755,0.0497303413497625,0.138952999354399,0.303690845209697,0.326714259230851,0.125446568855098,0.327844265806437,0.291700264370734,0.288361879400849,0.239012852985506,0.109842936982808,0.236460532827468,0.0954835981495011,175147186.311083,43938.1172734635,40.5390016511898,554.62386028296,409506.200000175,29472.1650020624,0.3550171511227,186545.026588243,468.149812823414,212.806958005853,238213096989.526,59729033895.9612
"PPC105",60.8301241539992,105.315969684627,21.496733252948,65.9825091441112,20.873864682742,10.8354496647098,3.93861504785949,2.75260903053846,40.3797377680493,9.17766543894072,27757.9830123139,58.6776605346572,32.2936062529723,0.0284587605532401,2770724.31942927,694.305404613315,4.40143195366991,3.47724933531407,-0.0528750677941061,34.1526898055451,34.9446520150941,35.0660397043766,0.127451326819999,34.4736030595472,36.0805936955118,0.80201523938591,35.1942198291602,34.1093158620038,0.834465436726834,5171.47587411109,1300.91194343685,0.184702134796193,2289.71490527606,575.368676546504,1.72337789551112,1.63867114862433,1.76094461379335,1.80486986706055,1.73076748388096,1.77569036984435,1.7700558560237,2.08450843296711,171.962612469927,43.0553842084295,-0.0240160501943892,95.9208313116344,0.121843635416468,0.682443099275625,0.0208862100279266,0.636850533459645,0.0335868190643965,0.0546260241335598,0.14144864865026,0.301057284848224,0.323861201361526,0.118536765672924,0.319550983112361,0.295734528407015,0.288230514621211,0.24015580043201,0.106592137573514,0.245064384574233,0.100941602700051,155107054.091585,38857.0381231417,41.4270209757527,564.90848660029,328014.662305423,29226.8662785466,0.284810967680723,146333.219615924,367.903878525216,229.900531233468,238213096989.526,59729033895.9612
