"","DASanthesis_BLUP_GBLUPLOOCV","DASmaturity_BLUP_GBLUPLOOCV","DATanthesis_BLUP_GBLUPLOOCV","DATmaturity_BLUP_GBLUPLOOCV","fruitno_BLUP_GBLUPLOOCV","fruitlength_BLUP_GBLUPLOOCV","fruitwidth_BLUP_GBLUPLOOCV","fruitshapeindex_BLUP_GBLUPLOOCV","fruitweight_BLUP_GBLUPLOOCV","yield_BLUP_GBLUPLOOCV","pollenconcentration_BLUP_GBLUPLOOCV","pollenactivity_BLUP_GBLUPLOOCV","leaftemp_BLUP_GBLUPLOOCV","leafminushobotemp_BLUP_GBLUPLOOCV","growthrateplot_BLUP_GBLUPLOOCV","growthrateplant_BLUP_GBLUPLOOCV","height_BLUP_GBLUPLOOCV","heightmax_BLUP_GBLUPLOOCV","leafangledaily_BLUP_GBLUPLOOCV","leafanglemean_BLUP_GBLUPLOOCV","leafanglenoon_BLUP_GBLUPLOOCV","leafanglemidnight_BLUP_GBLUPLOOCV","leafanglemidnightminusnoon_BLUP_GBLUPLOOCV","leafanglebright_BLUP_GBLUPLOOCV","leafanglelow_BLUP_GBLUPLOOCV","leafanglelowminusbright_BLUP_GBLUPLOOCV","leafanglecold_BLUP_GBLUPLOOCV","leafangleHot_BLUP_GBLUPLOOCV","leafanglecoldminushot_BLUP_GBLUPLOOCV","leafareadaily_BLUP_GBLUPLOOCV","leafareadailyplant_BLUP_GBLUPLOOCV","leafareaindex_BLUP_GBLUPLOOCV","leafareaprojecteddaily_BLUP_GBLUPLOOCV","leafareaprojectedplant_BLUP_GBLUPLOOCV","leafinclinationmean_BLUP_GBLUPLOOCV","leafinclinationhot_BLUP_GBLUPLOOCV","leafinclinationcold_BLUP_GBLUPLOOCV","leafinclinationbright_BLUP_GBLUPLOOCV","leafinclinationdark_BLUP_GBLUPLOOCV","leafinclinationnoon_BLUP_GBLUPLOOCV","leafinclinationmidnight_BLUP_GBLUPLOOCV","lightpendaily_BLUP_GBLUPLOOCV","lightpenmeanplot_BLUP_GBLUPLOOCV","lightpenmeanplant_BLUP_GBLUPLOOCV","huedaily_BLUP_GBLUPLOOCV","huemean_BLUP_GBLUPLOOCV","huebin0_BLUP_GBLUPLOOCV","huebin1_BLUP_GBLUPLOOCV","huebin5_BLUP_GBLUPLOOCV","ndvimean_BLUP_GBLUPLOOCV","ndvibin0_BLUP_GBLUPLOOCV","ndvibin1_BLUP_GBLUPLOOCV","ndvibin2_BLUP_GBLUPLOOCV","ndvibin3_BLUP_GBLUPLOOCV","ndvibin4_BLUP_GBLUPLOOCV","ndvibin5_BLUP_GBLUPLOOCV","green_BLUP_GBLUPLOOCV","greenb0_BLUP_GBLUPLOOCV","greenb1_BLUP_GBLUPLOOCV","greenb2_BLUP_GBLUPLOOCV","greenb3_BLUP_GBLUPLOOCV","npcimean_BLUP_GBLUPLOOCV","psrimean_BLUP_GBLUPLOOCV","biomassfinalplot_BLUP_GBLUPLOOCV","biomassfinalplant_BLUP_GBLUPLOOCV","heightfinal_BLUP_GBLUPLOOCV","heighmaxfinal_BLUP_GBLUPLOOCV","leafareafinalplot_BLUP_GBLUPLOOCV","leafareafinalplant_BLUP_GBLUPLOOCV","leafareaindexfinal_BLUP_GBLUPLOOCV","leafareafinalprojectedplot_BLUP_GBLUPLOOCV","leafareafinalprojectedplant_BLUP_GBLUPLOOCV","lightpenetrationfinal_BLUP_GBLUPLOOCV","biomassAUC_BLUP_GBLUPLOOCV","biomassAUCperplant_BLUP_GBLUPLOOCV"
"GPC033290",60.6205935965808,121.241745504023,17.6146667866925,79.0029210473693,11.5579297015085,7.89577744934534,6.29613517381696,1.4039593007683,95.1014874220264,18.5099660438505,33577.1598462682,90.3313677741434,NA,NA,4954691.40553413,1237.95670341463,5.39750352016798,5.11048222564354,-0.0505328083222458,37.2120715637203,37.3280505938691,37.4270883503118,0.110855559534947,39.5798487974756,34.1401109841187,-5.80896026396062,33.8898542146411,40.9808882043447,-7.27821494571207,9516.16778732013,2341.45194910923,0.321607755605479,4147.27576111322,1046.65103311481,1.67939374714931,1.57011690646926,1.80591240778607,1.59121776868246,1.81438211945595,1.67861616866435,1.66940388203984,2.21748527411508,177.517970111854,44.5943953645384,0.0275089149778887,107.933457208669,0.0751966417383927,0.643265907913245,0.017818599321313,0.726045345244936,0.00973884190176762,0.026428352483281,0.0846347984567674,0.258352494723532,0.406666267035447,0.209676646051157,0.36353705502626,0.266303716013369,0.282540335282731,0.253381121063146,0.133265098093935,NA,0.0385975994049575,267319255.87234,66297.1649555733,47.9389275723849,645.224616564152,561484.95677551,1375.27938148813,0.486465420518082,240356.908398846,595.391262890008,237.207912157257,NA,NA
"GPC007370",56.0396550264183,115.60839205941,14.5099719101167,73.0011654292492,35.7644345377241,7.51867254644946,3.98397230042496,1.70666765107708,50.8181531952595,15.8856873965986,28046.7530899205,89.1111805038645,NA,NA,5426992.10622859,1361.5341534762,4.59662093069555,4.83136177709062,-0.0401370181112188,38.5512531439126,38.4044855973249,38.6675012304819,0.133198461958266,39.5512046080126,35.2065963409861,-4.54493153972588,35.1253946365804,41.2185675730127,-6.6044141509202,10431.1678002651,2680.16305919914,0.343273714445448,4927.94912215033,1257.91240178955,1.63796100982132,1.56495063199709,1.7586260114289,1.59684380170376,1.76166939852889,1.63862848422755,1.63350586826979,2.19560408488588,185.644203937899,48.35790065512,0.0257860179681338,107.935271385817,0.0712361184480699,0.640707353330195,0.0167970693391107,0.726374099869811,0.0108360674122022,0.0264880068479799,0.0832475097646362,0.254502443492921,0.413076998028263,0.209494457873715,0.362623444546556,0.257634385472296,0.276688108988502,0.261903657739413,0.13482827175052,NA,0.0384308037991809,297668824.873918,73697.2248643991,46.2742923664766,645.585705044128,627874.224005548,1627.24110081791,0.544246450733364,290275.391384414,730.964975015874,237.861029520613,NA,NA
"GPC049890",52.4546527501593,113.802715405535,9.99136581807386,71.5085876012637,29.1875640110507,17.072391018188,2.32236229534581,7.03537489148964,19.2967585595978,16.6097136870567,27623.7103161,89.6876537353215,NA,NA,5492149.22072903,1389.71447394375,5.4477570221329,5.64306660276173,-0.0529549722901526,35.9696228595569,35.9223938992444,36.0923212006809,0.135166987941526,39.4442497955108,32.2907444937836,-6.88730674003868,32.3155082801297,39.8160833083014,-7.01263001603523,9736.81528344846,2419.09802717562,0.320380233817222,4226.1326482137,1058.90193815237,1.73645376373731,1.61641019532316,1.89531747234221,1.60401836985355,1.89506794617758,1.74257062018949,1.73204750096094,2.09563894815632,176.803819409335,44.5009111017826,0.0387259428540633,107.93907541384,0.0725130068884515,0.640456515045355,0.0169753539472945,0.727423903840982,0.00946969168735858,0.0268920373386269,0.0852053238377679,0.253655569967461,0.410749373612015,0.207469617132131,0.364534513657748,0.248881722800648,0.287759463394728,0.265257129465358,0.131506063389569,NA,0.0383741462956972,294335673.640401,72321.5666007783,51.2231418750823,676.310626902852,572896.589748772,1415.72571885161,0.497900382634352,240801.270085204,596.043565629018,234.919503007861,NA,NA
"GPC026050",61.5227163722921,121.900328912486,18.8346756515633,79.519368522723,23.5559547234982,9.81934403551127,1.70472755161358,3.84000010434263,4.27559729066807,15.8978212978734,25858.9813268578,89.2294655242966,NA,NA,8119947.98434872,2054.34147042456,7.21608461781376,6.51794678094808,-0.011951058426795,37.9933551423227,37.9524891169856,38.089522236485,0.128215804388308,39.2492756123507,34.5233974774857,-4.63449232324043,34.5622183709565,40.4730384145918,-5.66841386429436,11960.9875060722,3049.81803482257,0.372333151118584,5758.68032075136,1474.88138903579,1.66398695541988,1.58284879653383,1.78434846485119,1.61343610588545,1.78853973904253,1.66137809946065,1.6592413019179,1.7402223712605,197.207707045389,50.6826994215531,0.0485307002336796,107.959799920917,0.0629099645319121,0.633990103690577,0.0105455498145389,0.734340384841876,0.0099653396416171,0.0247643949761191,0.0764863373631635,0.236593910233771,0.425517322783381,0.225217812561453,0.382529267216749,0.220914840572826,0.279657570409294,0.27723258464519,0.142797647143254,NA,0.0371328327120309,436932121.336258,112707.658941536,60.5183720133062,734.338952303339,712651.396767339,1820.39518050641,0.625136032831334,321697.991006849,820.208600366512,239.539425651115,NA,NA
"GPC006960",62.7299667141135,121.471366706263,20.9084875630615,79.5861661708457,12.4333189322362,9.94181337206653,5.99920989374987,1.88410077416017,103.463406227664,20.7738225886932,30759.6117258975,87.6988178844896,NA,NA,5391440.57859947,1333.28496433613,4.92127613400922,4.89574616294426,-0.0327855280162112,38.5086870752691,38.3499099572855,38.6597950627586,0.151310730292991,39.8926641254278,34.1063706052642,-5.59742494003443,34.1796016656071,40.9362553204082,-6.67737299085332,10228.3972607358,2579.44845771491,0.353769647141354,4798.34837016926,1220.14329522331,1.63321111839839,1.57793836844432,1.80173306997692,1.58336321938154,1.80135741597535,1.63915228236274,1.63401811021673,2.11049966946783,156.080714044178,40.3485110127401,0.0324447655618825,107.93627816797,0.0739089104444544,0.635910745441289,0.0169593695535407,0.731867867464575,0.00890030124264061,0.0232403744536096,0.0808834329988183,0.253092386862288,0.419132035073759,0.215366092740676,0.354591906010493,0.275513982745593,0.288755513673314,0.244968299095834,0.12620652949783,NA,0.0380845255751486,289525786.482834,72844.1772944438,44.6455022664426,629.623355288157,620911.849506644,1556.27552129561,0.544232574164643,284262.687784413,711.798301536063,219.207660870298,NA,NA
"GPC022230",52.0286664597136,109.596762740748,10.5067637512444,68.1731190680161,90.9892410740493,3.57890158760139,1.237424289579,2.58970344957308,10.3622783366754,14.2616270048934,27020.3984738453,88.2747315489204,NA,NA,6611339.32517941,1632.61412401884,4.94539632090242,5.31246903319447,-0.0237254689127182,38.4249277618236,38.4816659349925,38.3239745037525,0.13221327012711,39.0251605784404,35.3661918138342,-4.02541295939735,35.2541376600468,41.3586323374319,-6.1401875592525,12548.1601907432,3085.23838933192,0.376073026822993,5980.15312581603,1485.08002548805,1.63412332926375,1.56182706946771,1.74757334650262,1.60686935636202,1.75380517132666,1.63941877292323,1.62824642797358,1.35515757586624,163.090029732656,41.9908921391267,0.0266029664020641,107.939362503404,0.0863686478422714,0.613273631786617,0.0289665223227914,0.737284130939639,0.0103015678705641,0.0254424237050144,0.0754640770328558,0.232453465051578,0.417612992041222,0.239844550592653,0.32752715274179,0.31687409829942,0.257885896724442,0.234641955342284,0.125266559765392,NA,0.0374570964698798,372929832.784976,89766.7307785798,49.3740232111803,677.780129097427,744229.223959496,1833.51820513931,0.645892283736893,350673.98385321,865.132799425477,208.487749525035,NA,NA
"GPC042150",50.0128384199748,108.977304116246,7.85734280485847,67.6608216387442,242.175138679143,2.23914954399359,1.06016019996626,2.37850476542358,-2.19365724006537,11.3280917754873,20308.5349674219,80.5320243415656,NA,NA,5124836.63324546,1269.32953062649,3.1851479895106,4.43328208475726,-0.00657651517036897,37.3558412313454,37.341950232645,37.5049714113155,0.0777595425178477,38.2648474462384,35.9742990100546,-2.5294353868638,35.9780703165048,40.3362022831854,-4.81724704622227,15476.9637847093,3863.67531262097,0.401255143730191,7386.16820577066,1884.49686465811,1.65791223173087,1.58343204617602,1.7244458064152,1.63537952074204,1.71972885540929,1.65837188751946,1.65874727753024,1.65828336383194,125.909006688809,34.4961376820883,0.00340360940162158,107.937921570045,0.0869008886391991,0.618018292518301,0.0281837586456229,0.733597550840185,0.0142317387062312,0.0286986795712654,0.0794244127039134,0.234506883473718,0.396358620688742,0.240805430289658,0.343102929933067,0.303296983850135,0.249034148331883,0.227204780955615,0.137279689484071,NA,0.0382744709181164,289013982.288507,70929.0808915559,30.0275649632105,588.916445070269,863038.407523611,2203.50342605241,0.748741558721019,408643.642129602,1053.13772210742,181.576808697634,NA,NA
"GPC121710",54.0716996484032,115.654075649864,12.4658869692932,72.9268230043846,7.27262315353026,9.53865081895481,1.64496679047244,5.6022593771403,15.3549402820925,14.4303864969496,26419.2587260404,88.9634564991841,NA,NA,6246241.46078388,1596.40074652414,5.47060047957953,5.20950150826798,-0.032393537085541,37.3349181735324,37.2032399577799,37.2734098462016,0.123429527175208,39.2506306690985,34.1040211284,-5.1629573485713,34.1820901872827,40.2534568315705,-5.92622309335353,10433.3966001557,2635.20859342163,0.32498984667329,4874.01701086414,1219.87537364771,1.67732062424608,1.59140106267877,1.80706266455446,1.60871919193488,1.79820893662216,1.68183813711612,1.67883784400898,1.77617653356585,185.039735646235,46.5063440247038,0.0344735985488088,107.943838680332,0.0725473080217826,0.630985768267059,0.0157047746433416,0.729950713620877,0.011602976322024,0.026870775183468,0.0826104003209051,0.248367684547773,0.41464763227885,0.216481766564136,0.356548664354568,0.267815009367954,0.280691848204121,0.255866342146157,0.132644067420455,NA,0.0380345008957631,331664866.817254,83894.6181633968,51.2448069426873,677.850953711319,615058.907489356,1570.17505159819,0.532166529879245,266752.99997472,671.775806357708,233.343782015539,NA,NA
"GPC016110",54.5712722043551,118.648393628685,12.5170058571438,76.8641305110261,16.2562943770365,12.6583059414375,4.30331016232119,2.92936903050156,64.0060698857543,18.9315562673766,32623.6033168939,90.2549696351702,NA,NA,5505916.31835004,1339.59825972648,5.55694171385021,5.43098599991369,-0.0537739738162605,36.528160366393,36.3390030552991,36.5447898028186,0.126574179402171,39.024600968442,33.2156754393031,-5.58747496872474,33.2160404652619,40.4262328248055,-7.21097997131122,9431.91428232931,2421.164259497,0.325472034237525,4174.61006972684,1036.3958008884,1.71642714185042,1.60065295277834,1.85025094891654,1.6161718163807,1.84487972193523,1.72224544314937,1.7168139338708,2.45954421569669,196.153638560935,48.1467364223704,0.0269975154506109,107.934726452768,0.0739768865783222,0.63642197227708,0.0193880335531403,0.728035168306809,0.0097083026094172,0.0254179052279702,0.0832018390610888,0.254489296276356,0.410959745546831,0.21197029109798,0.356965323320405,0.269982544217843,0.284811584896896,0.246313055439333,0.127947784168452,NA,0.0384026233837323,288890294.098308,72713.8773110205,48.7977501590958,668.938115769706,576785.878891441,1436.85277025329,0.500320387910574,244197.241126215,612.277909598492,254.815312886755,NA,NA
"GPC068750",63.4055235653456,119.367266953821,21.7039158441593,78.1111141335454,229.666002591908,10.4409411366154,2.04915946671519,5.97871295931908,26.1779052044378,16.1015642451266,25171.0870248873,90.7852257623024,NA,NA,8169031.37706686,2024.09905229003,6.63098381685044,6.69626851384743,-0.0134673804197155,37.4846890651804,37.5516332041896,37.7172574924914,0.15871607536639,38.8649766187358,33.9986918747267,-4.99780064295201,33.7568187245611,40.7580358051792,-6.90109081398768,12069.6746342912,2980.47644251432,0.382237711416005,5643.5682544861,1383.5621200654,1.67713682429355,1.58125574972232,1.80894200104164,1.62320057341121,1.81364443495768,1.66958482373475,1.66281264020452,1.41240089402914,191.15474889291,47.8899610494326,0.0433630448654314,107.960116088334,0.0680532660635299,0.621280407529018,0.0162725019583174,0.738360333587235,0.00949175603227069,0.022410724907343,0.0745872229608539,0.232686438462201,0.43076300802145,0.239206849725777,0.359268470592439,0.264713272852005,0.280504153557452,0.269196455447565,0.132718440533638,NA,0.0368317877439124,457623560.064656,109824.694050885,62.7992547706134,747.376803295503,728481.632860262,1793.837748216,0.626993210465394,328643.323575337,801.995095949871,221.562751232982,NA,NA
