"","DASanthesis_BLUP_GBLUPLOOCV","DASmaturity_BLUP_GBLUPLOOCV","DATanthesis_BLUP_GBLUPLOOCV","DATmaturity_BLUP_GBLUPLOOCV","fruitno_BLUP_GBLUPLOOCV","fruitlength_BLUP_GBLUPLOOCV","fruitwidth_BLUP_GBLUPLOOCV","fruitshapeindex_BLUP_GBLUPLOOCV","fruitweight_BLUP_GBLUPLOOCV","yield_BLUP_GBLUPLOOCV","pollenconcentration_BLUP_GBLUPLOOCV","pollenactivity_BLUP_GBLUPLOOCV","leaftemp_BLUP_GBLUPLOOCV","leafminushobotemp_BLUP_GBLUPLOOCV","growthrateplot_BLUP_GBLUPLOOCV","growthrateplant_BLUP_GBLUPLOOCV","height_BLUP_GBLUPLOOCV","heightmax_BLUP_GBLUPLOOCV","leafangledaily_BLUP_GBLUPLOOCV","leafanglemean_BLUP_GBLUPLOOCV","leafanglenoon_BLUP_GBLUPLOOCV","leafanglemidnight_BLUP_GBLUPLOOCV","leafanglemidnightminusnoon_BLUP_GBLUPLOOCV","leafanglebright_BLUP_GBLUPLOOCV","leafanglelow_BLUP_GBLUPLOOCV","leafanglelowminusbright_BLUP_GBLUPLOOCV","leafanglecold_BLUP_GBLUPLOOCV","leafangleHot_BLUP_GBLUPLOOCV","leafanglecoldminushot_BLUP_GBLUPLOOCV","leafareadaily_BLUP_GBLUPLOOCV","leafareadailyplant_BLUP_GBLUPLOOCV","leafareaindex_BLUP_GBLUPLOOCV","leafareaprojecteddaily_BLUP_GBLUPLOOCV","leafareaprojectedplant_BLUP_GBLUPLOOCV","leafinclinationmean_BLUP_GBLUPLOOCV","leafinclinationhot_BLUP_GBLUPLOOCV","leafinclinationcold_BLUP_GBLUPLOOCV","leafinclinationbright_BLUP_GBLUPLOOCV","leafinclinationdark_BLUP_GBLUPLOOCV","leafinclinationnoon_BLUP_GBLUPLOOCV","leafinclinationmidnight_BLUP_GBLUPLOOCV","lightpendaily_BLUP_GBLUPLOOCV","lightpenmeanplot_BLUP_GBLUPLOOCV","lightpenmeanplant_BLUP_GBLUPLOOCV","huedaily_BLUP_GBLUPLOOCV","huemean_BLUP_GBLUPLOOCV","huebin0_BLUP_GBLUPLOOCV","huebin1_BLUP_GBLUPLOOCV","huebin5_BLUP_GBLUPLOOCV","ndvimean_BLUP_GBLUPLOOCV","ndvibin0_BLUP_GBLUPLOOCV","ndvibin1_BLUP_GBLUPLOOCV","ndvibin2_BLUP_GBLUPLOOCV","ndvibin3_BLUP_GBLUPLOOCV","ndvibin4_BLUP_GBLUPLOOCV","ndvibin5_BLUP_GBLUPLOOCV","green_BLUP_GBLUPLOOCV","greenb0_BLUP_GBLUPLOOCV","greenb1_BLUP_GBLUPLOOCV","greenb2_BLUP_GBLUPLOOCV","greenb3_BLUP_GBLUPLOOCV","npcimean_BLUP_GBLUPLOOCV","psrimean_BLUP_GBLUPLOOCV","biomassfinalplot_BLUP_GBLUPLOOCV","biomassfinalplant_BLUP_GBLUPLOOCV","heightfinal_BLUP_GBLUPLOOCV","heighmaxfinal_BLUP_GBLUPLOOCV","leafareafinalplot_BLUP_GBLUPLOOCV","leafareafinalplant_BLUP_GBLUPLOOCV","leafareaindexfinal_BLUP_GBLUPLOOCV","leafareafinalprojectedplot_BLUP_GBLUPLOOCV","leafareafinalprojectedplant_BLUP_GBLUPLOOCV","lightpenetrationfinal_BLUP_GBLUPLOOCV","biomassAUC_BLUP_GBLUPLOOCV","biomassAUCperplant_BLUP_GBLUPLOOCV"
"GPC033290",73.0592214052253,111.74746860329,33.0898981116949,72.0955925394101,10.8001079611214,5.57460474188253,4.68256005019828,0.983898252689731,28.9995735780609,5.53888223156284,21635.7420359995,77.2275767248086,34.4431490342491,-0.928590675634941,585486.992981548,163.656880612153,3.75124969951428,4.9873276533349,-0.0473119381324261,31.9628720026221,34.2979138926329,34.5346818521086,0.188210409143736,33.9875587924761,38.7662158255035,4.82581014801767,35.9878081941965,28.1954301831242,7.42166752517802,1316.43404524611,386.385333316735,0.0367377725740279,620.64857330021,189.199891414759,1.67753609059576,1.52370115294846,1.71011405684892,1.81062040049891,1.60891356458727,1.78697368368327,1.78030014656935,1.71011871599888,118.041489063269,37.00177981308,-0.103033184350272,75.750289617272,0.165789733124519,0.753327542211009,0.0171998505217577,0.541959468877219,0.0322545978222209,0.0884517052369609,0.222759765046232,0.366977552438033,0.210928779558455,0.0101366973977544,0.282470727101205,0.316243728513679,0.312302465945406,0.223259253296038,0.0701380779534658,0.383013060792781,0.146025029481694,49812737.4960215,15215.945397068,34.127020322627,443.920292776099,97837.8287837286,268.109562729964,0.0820967244111327,47872.3771365776,141.144039544797,192.561462376189,NA,NA
"GPC007370",72.1577568872067,110.972779173594,32.4468832934748,71.6290781709403,46.5824477438825,4.00750594974358,3.15751105860741,1.38368791784775,17.2484350466539,6.12794112418082,21072.6933125523,78.5315842399811,34.3927535517804,-0.970116482447943,885801.78318205,233.854021553952,5.29483615316324,6.49820759915386,-0.0316007802891888,33.3050315181246,35.3755676514807,35.5261365237817,0.170018330690782,34.6914836061643,38.8865419431059,4.58716573727015,37.1660003139484,30.5255100467591,6.71001262514221,1755.28600052923,467.749698664444,0.0451325250027602,940.378942570844,235.162196562374,1.67103101095134,1.53669352231324,1.66866710179495,1.78603145086987,1.60696381558903,1.75289800205133,1.75655540018207,2.2987199338669,144.877768132015,37.7045473805424,-0.103029437367092,75.1384429879461,0.193257472416408,0.746674386106498,0.0072418524102015,0.561596726553302,0.0290307165788028,0.0812650707141765,0.212052847458165,0.370734463869878,0.240092872209376,0.0153349598353966,0.29346968735381,0.375683342423042,0.303971414425405,0.210478269320274,0.0667511517842651,0.379343496484404,0.137621088193002,58929168.6480638,15177.3188702328,42.1297582983732,533.569936509523,122970.894131704,317.158913745388,0.101803838365346,65873.7464643816,169.160991794346,232.628139079074,NA,NA
"GPC049890",72.1970423789999,110.418822947627,32.2817800679864,70.3216026225865,22.7146128144067,12.7770221493784,1.98381273812512,6.76757606564568,13.8375772760992,8.11709051930191,19674.9213766892,77.3404825794902,34.1581894077594,-1.19379581141698,863389.079107293,249.565105149877,4.90957801152824,6.3877466238966,-0.0186005948889939,31.411281793515,33.8498802530399,34.186600540704,0.237103398864624,32.968179821073,38.449081509786,5.00090500716105,35.7248198601598,28.2603099047603,7.88049874733855,1633.74661326088,463.385664411091,0.0459333414242986,850.806976725839,229.971639015099,1.69440537306935,1.51766906803418,1.73286098362579,1.86365849947737,1.6186353397078,1.81377201353799,1.81465372041375,1.82473640530929,137.612919767573,39.7630923985193,-0.134864146882009,74.5325179387548,0.172621303664254,0.733735745801803,0.0204835551943211,0.555693296779408,0.0177870704562398,0.0817588441190968,0.21584598493723,0.36274375093521,0.23832291650661,0.0146678342091584,0.275156932102006,0.322313541302534,0.304809915718607,0.222978677943485,0.0699700184052056,0.381171876783975,0.138566831819632,64073089.4502117,16963.2633741493,42.6943387210014,543.21792864226,115615.68664819,320.448249273515,0.097693688987817,61004.5846291026,167.825499679238,208.493543804322,NA,NA
"GPC026050",73.7022554002776,115.891392789902,33.463017906529,75.2658236850023,-15.8276249942068,7.37371369685424,1.320392903243,3.2279234871406,3.96351694099113,4.70548209813661,19398.4233006845,81.4473127749255,34.9801039036381,-0.472358918856835,1475933.23714748,447.415645000619,7.37267488571946,8.77140329871096,0.00752894452604008,33.5306367366056,35.4182783886092,35.5253714396046,0.170883305966434,34.2810260257473,38.4784352501195,4.44067179132392,37.4009232874352,32.0077562766071,5.42502553404126,2523.03594408949,628.408217118655,0.0484119949457291,1316.99365349499,346.643327796068,1.68770074698397,1.5472466178144,1.65949745943785,1.80063844814998,1.61490112605229,1.75035150988477,1.74333984342155,2.53785172283399,149.635866882554,42.3841732652169,0.0258491161681139,79.5350401133436,0.170096089383408,0.787476788723529,0.0138872903756966,0.575000299878633,0.02069266160818,0.078931331868846,0.207527706321264,0.374052663073749,0.260394913491375,0.0157654168765051,0.303632709196727,0.312399630155491,0.324059579384003,0.241006756800125,0.0748786796502837,0.375422361166095,0.132567555838847,103524159.08851,29082.4576846316,58.00120989676,706.518143483653,137770.516978938,374.598025219477,0.118236147948766,77690.7525044828,214.614096477889,264.930031650026,NA,NA
"GPC006960",73.754786652915,114.408790650932,33.6986280787197,74.5078853917393,7.14764857873252,4.17840538989693,3.74481669601293,1.26224034270352,19.30548643625,3.17196290639866,18504.0200268855,70.4995023238712,34.90408036505,-0.463869883978742,526618.239501377,118.933237403567,3.13606307923098,4.29516702993328,-0.0526283725447449,32.9265666533831,34.9660823329387,35.1993753010666,0.252639066389881,34.3743722443856,38.9730157898079,4.72951809876485,36.3583766160487,28.9801187397083,7.36277725694962,1100.24514820535,280.353710645862,0.0376152264306939,530.087978281021,134.025840856218,1.6821418745826,1.52572409411203,1.69523535725939,1.801807692647,1.60244750180903,1.75859720367873,1.75479244396226,1.4529035712692,97.7584610466767,29.3207313118936,-0.067029746618354,77.1904001713814,0.149106952059787,0.775992681207162,0.0146314396928318,0.557580498505251,0.0196429083324713,0.090033783594676,0.231378905924547,0.375716573583267,0.21756162170241,0.0111566397445476,0.293745806235406,0.304750466514727,0.32513752451572,0.235492790678037,0.0725432918571542,0.384422736396169,0.143302518820096,39300537.9337169,9813.76566176057,29.9160393366286,403.226598877845,92618.3334885329,251.779348035973,0.0788989420404665,48037.3409360931,122.151107084337,146.287667769752,NA,NA
"GPC022230",71.2425527006435,111.938195518842,31.2732655625368,71.8738358427659,71.827086540036,1.65615237105124,1.38690082091961,1.82913947087073,3.78355622614375,5.82964029694041,15970.0618312787,79.1857361282257,34.6575576242152,-0.761493650109598,1179516.46118009,293.470572504731,6.02491957690658,7.56066822009295,-0.0286791746584727,33.6777978866375,35.1855064394683,35.2960798051066,0.118878499357387,34.4814633902025,38.748640127001,4.46543083331563,37.0075414437657,31.0164443542197,5.65441598421611,2500.77300780952,645.880372044245,0.0555988924066601,1300.55301588433,336.947649701148,1.70506135058253,1.56656524895101,1.67959609820144,1.78508794119912,1.60877921589246,1.7608598329069,1.75161275485316,2.20093521013064,133.446364460156,34.2677654313569,-0.0491917190025427,68.7481938590068,0.252211152591722,0.6611859488864,0.0383471385909605,0.578191167346263,0.0305183013463721,0.0837179370204591,0.202959771794927,0.360035310540845,0.274130903510858,0.0199142185318091,0.21900205146828,0.460720263413338,0.280686139461672,0.180771865359954,0.0607638137544041,0.381889738991362,0.139055700854255,77140959.854965,20683.1479558979,46.2533886479649,563.555995759345,151489.722336659,388.899590671881,0.125026965287427,82030.0929430285,212.080089305898,220.943765291649,NA,NA
"GPC042150",70.6927203616995,109.551764620392,30.7783169469034,69.8763004860776,69.4565441752605,1.75110675078442,1.08240567119665,1.92651306598069,-0.264136982978922,2.70767390935357,15654.5916226305,68.1590440804077,34.5970975065147,-0.740261903576056,810883.218719444,207.579939566703,2.95064819149424,4.84368031721992,-0.0601257402523967,31.1753180368397,32.7675047846427,33.1338295116704,0.0788411444816191,32.7763725940832,38.1460607984884,4.65472660221437,34.2326180064924,29.1557559601201,6.13343639132848,3635.53365137531,910.043657915789,0.0551407840991902,1755.94794486038,453.602674727256,1.73968198482228,1.55272729044779,1.78308740758233,1.85407834334393,1.6235624442466,1.8459202262129,1.8453212582978,1.71007433686053,83.1045091847199,23.6247858905624,-0.13830578784976,70.1962818449041,0.228992250423795,0.687997297814148,0.0349887124480087,0.548486975946236,0.032340450850144,0.0959021493274117,0.222653129929311,0.352752404679553,0.229547430908419,0.0140113382850852,0.24414155076825,0.395994429754898,0.28117713190336,0.195961294984058,0.0668104874057319,0.392601738131529,0.148204059453507,54256883.3647947,13577.4947546597,21.2035511359714,330.896909689327,182075.417648129,466.670812469062,0.155236234151785,91643.6231780085,230.390622742511,149.476562685296,NA,NA
"GPC121710",71.5286998335451,112.379933524648,31.4247677312046,72.1288766792166,23.0600786762635,6.27254660339699,1.52952609961906,4.12623900428837,5.1838510837226,4.65636648688713,18222.0916226128,78.5643767671468,34.5938847770347,-0.787146254857826,970302.579004728,271.216548815916,4.8074547697378,6.47855627190382,-0.0269543053870522,32.2913668957825,34.4182651593233,34.7128021137281,0.176994901485275,33.9624981640018,38.5571022605623,4.71472645318632,36.6919965157745,30.1910144517554,6.97814465161305,1717.31424236209,439.438462190201,0.0473526007176768,897.545152668509,234.765650396182,1.70024598213103,1.53426883620572,1.68611824680354,1.81633884362393,1.6133179642069,1.78614084489582,1.77969362088074,1.78360153208293,143.564395906456,38.5995888759268,-0.0713262917172752,72.7803326136556,0.192263187373971,0.728762254799034,0.0271884399320223,0.559332828338794,0.026077310763787,0.0822840303022378,0.211399361224536,0.367988721746016,0.239848769426641,0.0128634785990655,0.250063575609029,0.357242996222935,0.303333636426853,0.207879095136844,0.0674158232557546,0.376462011644013,0.136987025471364,72263229.0510129,18075.3874522035,45.1672491167754,588.720541211998,120928.366905023,317.294849670665,0.101793567811129,65444.1967226078,170.909130846938,213.725530403347,NA,NA
"GPC016110",72.300910398969,110.890366655719,32.2266383385179,70.7986745889666,19.9542930004637,8.03509124047811,3.33475680591701,2.27559321318022,26.283174180327,8.69445340818713,21920.1256225514,76.9314554285741,33.9965763381856,-1.32041686023979,785333.523181171,214.917996995505,4.94982394514398,6.43592097769695,-0.0238136883140555,31.8904136715809,34.0667009173833,34.2865904805131,0.182584984850577,33.1783135604274,38.4125225667952,4.88237093497434,36.1946449667708,28.6402513356843,7.62952031636898,1439.70880492805,396.905981699759,0.0474205850985828,769.102808205581,209.079832264553,1.69233998460663,1.52900340244871,1.70334337771008,1.85024477244957,1.61716930066763,1.8029771371599,1.79570769501973,2.08589273745706,140.967904518792,39.3615382220733,-0.129439220572537,76.5486231918348,0.161883409929341,0.758123130920444,0.0177266573594297,0.556019148345079,0.0257349515328049,0.0821016253462133,0.209482005358173,0.363770429763345,0.241378314542208,0.0135919906762668,0.285982624019675,0.325677810009955,0.314186871719766,0.225551560431755,0.0669452208226372,0.377278648612502,0.137533318763532,54820058.8716896,16310.3220714746,45.7653914360644,563.729734825684,115311.579472489,302.836899688462,0.094874176936516,59718.2523520419,161.546452146833,233.558225393398,NA,NA
"GPC068750",74.7919827695695,115.752190543271,34.8417483270685,76.4865784179301,40.6355471131774,6.60223364753991,1.76572394923175,4.82949634253011,9.49146708414733,4.51327321983803,17371.5710138796,78.6450336111193,34.8122662256263,-0.572778649282646,2035204.20653831,478.340445030615,7.81359112388353,9.15945385477453,-0.00405956068641437,34.0836125553617,34.9184283337656,35.083716689491,0.19569020792786,34.0643274113485,38.6945934459403,4.76049289205565,36.3872611597009,32.4600068421835,4.8887617510665,2578.99589198675,612.629866106834,0.0582806977380419,1311.13173264719,358.208922223027,1.71813903662644,1.55728190307682,1.69383082844044,1.80218552089263,1.60912261096585,1.77002466910346,1.7653701505788,1.94064456273623,155.206019117575,42.3777932182975,0.13720802516242,81.8448351797869,0.161878516829327,0.789340500377716,0.0188633311387133,0.587241388999837,0.0163075518522588,0.0792940229032966,0.210159405097795,0.3782018093301,0.268429068376504,0.0164891560939956,0.300671583364214,0.323830161021072,0.324152053690646,0.237257864689109,0.070161457466377,0.374244545113244,0.134048095772926,116913353.73681,28159.874657458,59.9506931797165,676.523248315748,136689.004282564,363.85299443142,0.11464923375981,78149.1147759526,197.30889701902,218.173721367832,NA,NA
