"","V1"
"DASanthesis_BLUP_BayesCCorr",0.939894482662707
"DASmaturity_BLUP_BayesCCorr",0.9660321335631
"DATanthesis_BLUP_BayesCCorr",0.935135167993613
"DATmaturity_BLUP_BayesCCorr",0.968651621890843
"fruitno_BLUP_BayesCCorr",0.99257051532245
"fruitlength_BLUP_BayesCCorr",0.973933159032795
"fruitwidth_BLUP_BayesCCorr",0.967167122738181
"fruitshapeindex_BLUP_BayesCCorr",0.967235371062467
"fruitweight_BLUP_BayesCCorr",0.937507517330817
"yield_BLUP_BayesCCorr",0.93633986024878
"pollenconcentration_BLUP_BayesCCorr",0.826962270405163
"pollenactivity_BLUP_BayesCCorr",0.829118745995461
"leaftemp_BLUP_BayesCCorr",NA
"leafminushobotemp_BLUP_BayesCCorr",NA
"growthrateplot_BLUP_BayesCCorr",0.939684613101844
"growthrateplant_BLUP_BayesCCorr",0.944641227436583
"height_BLUP_BayesCCorr",0.953608093266317
"heightmax_BLUP_BayesCCorr",0.902884474886477
"leafangledaily_BLUP_BayesCCorr",0.927197236521672
"leafanglemean_BLUP_BayesCCorr",0.857996897663727
"leafanglenoon_BLUP_BayesCCorr",0.856770750108468
"leafanglemidnight_BLUP_BayesCCorr",0.856196672240846
"leafanglemidnightminusnoon_BLUP_BayesCCorr",0.870952644386256
"leafanglebright_BLUP_BayesCCorr",0.803420390134923
"leafanglelow_BLUP_BayesCCorr",0.861706724835383
"leafanglelowminusbright_BLUP_BayesCCorr",0.911204679028181
"leafanglecold_BLUP_BayesCCorr",0.863747344218433
"leafangleHot_BLUP_BayesCCorr",0.799896971271173
"leafanglecoldminushot_BLUP_BayesCCorr",0.868466024464288
"leafareadaily_BLUP_BayesCCorr",0.908737360933047
"leafareadailyplant_BLUP_BayesCCorr",0.909859306502271
"leafareaindex_BLUP_BayesCCorr",0.863589918201049
"leafareaprojecteddaily_BLUP_BayesCCorr",0.93156764406612
"leafareaprojectedplant_BLUP_BayesCCorr",0.91857585985793
"leafinclinationmean_BLUP_BayesCCorr",0.837805807391956
"leafinclinationhot_BLUP_BayesCCorr",0.754600028508869
"leafinclinationcold_BLUP_BayesCCorr",0.830271657965374
"leafinclinationbright_BLUP_BayesCCorr",0.810125649485647
"leafinclinationdark_BLUP_BayesCCorr",0.832051655608453
"leafinclinationnoon_BLUP_BayesCCorr",0.82836928447554
"leafinclinationmidnight_BLUP_BayesCCorr",0.837041580854012
"lightpendaily_BLUP_BayesCCorr",0.835285709300666
"lightpenmeanplot_BLUP_BayesCCorr",0.926194502802385
"lightpenmeanplant_BLUP_BayesCCorr",0.928819522170205
"huedaily_BLUP_BayesCCorr",0.907683436162714
"huemean_BLUP_BayesCCorr",0.798763135853854
"huebin0_BLUP_BayesCCorr",0.924260635405423
"huebin1_BLUP_BayesCCorr",0.822033642130022
"huebin5_BLUP_BayesCCorr",0.952179469389474
"ndvimean_BLUP_BayesCCorr",0.849073625147244
"ndvibin0_BLUP_BayesCCorr",0.920210673319428
"ndvibin1_BLUP_BayesCCorr",0.881666729061165
"ndvibin2_BLUP_BayesCCorr",0.830061839792018
"ndvibin3_BLUP_BayesCCorr",0.881411681863236
"ndvibin4_BLUP_BayesCCorr",0.925089939678147
"ndvibin5_BLUP_BayesCCorr",0.862636488351884
"green_BLUP_BayesCCorr",0.97555153070124
"greenb0_BLUP_BayesCCorr",0.961017148586963
"greenb1_BLUP_BayesCCorr",0.945161783860849
"greenb2_BLUP_BayesCCorr",0.919554456399604
"greenb3_BLUP_BayesCCorr",0.952356088687596
"npcimean_BLUP_BayesCCorr",NA
"psrimean_BLUP_BayesCCorr",0.785529203500302
"biomassfinalplot_BLUP_BayesCCorr",0.931813986339287
"biomassfinalplant_BLUP_BayesCCorr",0.94982169656958
"heightfinal_BLUP_BayesCCorr",0.959044414913937
"heighmaxfinal_BLUP_BayesCCorr",0.917795516162013
"leafareafinalplot_BLUP_BayesCCorr",0.88729103807995
"leafareafinalplant_BLUP_BayesCCorr",0.907801824939231
"leafareaindexfinal_BLUP_BayesCCorr",0.884252690833345
"leafareafinalprojectedplot_BLUP_BayesCCorr",0.908011209493115
"leafareafinalprojectedplant_BLUP_BayesCCorr",0.908764257091339
"lightpenetrationfinal_BLUP_BayesCCorr",0.85382799323005
"biomassAUC_BLUP_BayesCCorr",NA
"biomassAUCperplant_BLUP_BayesCCorr",NA
