"","DASanthesis_BLUP_GBLUPKCV","DASmaturity_BLUP_GBLUPKCV","DATanthesis_BLUP_GBLUPKCV","DATmaturity_BLUP_GBLUPKCV","fruitno_BLUP_GBLUPKCV","fruitlength_BLUP_GBLUPKCV","fruitwidth_BLUP_GBLUPKCV","fruitshapeindex_BLUP_GBLUPKCV","fruitweight_BLUP_GBLUPKCV","yield_BLUP_GBLUPKCV","pollenconcentration_BLUP_GBLUPKCV","pollenactivity_BLUP_GBLUPKCV","leaftemp_BLUP_GBLUPKCV","leafminushobotemp_BLUP_GBLUPKCV","growthrateplot_BLUP_GBLUPKCV","growthrateplant_BLUP_GBLUPKCV","height_BLUP_GBLUPKCV","heightmax_BLUP_GBLUPKCV","leafangledaily_BLUP_GBLUPKCV","leafanglemean_BLUP_GBLUPKCV","leafanglenoon_BLUP_GBLUPKCV","leafanglemidnight_BLUP_GBLUPKCV","leafanglemidnightminusnoon_BLUP_GBLUPKCV","leafanglebright_BLUP_GBLUPKCV","leafanglelow_BLUP_GBLUPKCV","leafanglelowminusbright_BLUP_GBLUPKCV","leafanglecold_BLUP_GBLUPKCV","leafangleHot_BLUP_GBLUPKCV","leafanglecoldminushot_BLUP_GBLUPKCV","leafareadaily_BLUP_GBLUPKCV","leafareadailyplant_BLUP_GBLUPKCV","leafareaindex_BLUP_GBLUPKCV","leafareaprojecteddaily_BLUP_GBLUPKCV","leafareaprojectedplant_BLUP_GBLUPKCV","leafinclinationmean_BLUP_GBLUPKCV","leafinclinationhot_BLUP_GBLUPKCV","leafinclinationcold_BLUP_GBLUPKCV","leafinclinationbright_BLUP_GBLUPKCV","leafinclinationdark_BLUP_GBLUPKCV","leafinclinationnoon_BLUP_GBLUPKCV","leafinclinationmidnight_BLUP_GBLUPKCV","lightpendaily_BLUP_GBLUPKCV","lightpenmeanplot_BLUP_GBLUPKCV","lightpenmeanplant_BLUP_GBLUPKCV","huedaily_BLUP_GBLUPKCV","huemean_BLUP_GBLUPKCV","huebin0_BLUP_GBLUPKCV","huebin1_BLUP_GBLUPKCV","huebin5_BLUP_GBLUPKCV","ndvimean_BLUP_GBLUPKCV","ndvibin0_BLUP_GBLUPKCV","ndvibin1_BLUP_GBLUPKCV","ndvibin2_BLUP_GBLUPKCV","ndvibin3_BLUP_GBLUPKCV","ndvibin4_BLUP_GBLUPKCV","ndvibin5_BLUP_GBLUPKCV","green_BLUP_GBLUPKCV","greenb0_BLUP_GBLUPKCV","greenb1_BLUP_GBLUPKCV","greenb2_BLUP_GBLUPKCV","greenb3_BLUP_GBLUPKCV","npcimean_BLUP_GBLUPKCV","psrimean_BLUP_GBLUPKCV","biomassfinalplot_BLUP_GBLUPKCV","biomassfinalplant_BLUP_GBLUPKCV","heightfinal_BLUP_GBLUPKCV","heighmaxfinal_BLUP_GBLUPKCV","leafareafinalplot_BLUP_GBLUPKCV","leafareafinalplant_BLUP_GBLUPKCV","leafareaindexfinal_BLUP_GBLUPKCV","leafareafinalprojectedplot_BLUP_GBLUPKCV","leafareafinalprojectedplant_BLUP_GBLUPKCV","lightpenetrationfinal_BLUP_GBLUPKCV","biomassAUC_BLUP_GBLUPKCV","biomassAUCperplant_BLUP_GBLUPKCV"
"GPC016550",-8.93873499871282,-8.63746716310873,-8.93873499752335,-8.63746713708528,-11.2618951196861,-4.71452636982149,-0.647431928193606,-0.933592203564897,-17.7783528604947,-5.80590858932223,910.056782665299,-1.53050180719738,1.03200254607331e-25,-1.60305978846156e-25,-1458446.95146679,-423.908662130022,-0.920658822178905,-0.860674741622238,-0.0162929479717271,-0.160979355614274,-0.155595120679297,-0.170385026687906,-0.0099183535876711,0.255903091578749,-0.423400659574655,-0.742279347000856,-0.423400659574655,-0.145654863834408,-0.171928546202616,-1456.36661762069,-404.727077294082,-0.0421292325904101,-788.404805833003,-215.510367437965,0.00443359816787917,0.00334618510071909,0.0168337073420275,-0.0110830898554863,0.0168337073420275,0.00292165878081063,0.00446390915091889,0.299340160289537,1.21090156270983,-0.724880439852211,-0.014406288152894,-0.00942650013859119,0.00612112209611281,0.00218289099964238,0.00125518991876175,-0.00577210126126196,0.00124398767794909,0.002780330823604,0.00446843511903664,0.00857855320414939,-0.0101150682027196,-0.0115672580038901,-0.00493414576722711,0.0118838717666034,-0.00561690589082697,-0.0043394710450045,-0.00238119407187946,4.79287478287602e-25,0.00052841068402248,-79228697.685698,-22499.1011242537,-7.42414080961535,-40.3497497495922,-75252.8356687306,-206.871889733233,-0.0653979170284973,-35990.8939327059,-97.6945538749249,7.87696710673256,2.37132472071248e-13,-2.91673470710241e-13
"GPC003370",3.05039661293434,0.547872926268291,3.05039661234788,0.547872945265486,-51.4017429018514,0.00542926643251356,2.87299843413618,-2.06110436154599,47.17074113453,5.13338059894029,6621.42654936149,1.07122048153256,2.1683306404481e-25,-3.07437537642387e-25,-218093.124376559,-52.3506071553636,-0.232052404063338,-0.641037229776012,-0.0172516499069059,-0.824088602340192,-0.811180362777618,-0.839337214024222,-0.0207433657483209,-0.202716560572632,-1.21490726277196,-0.524884819196629,-1.21490726277196,-0.247544768651078,-0.468251485362025,-47.1928103903548,-4.37419950716474,0.0102413087464361,-179.776513427471,-41.8182923700526,0.0299704046071642,0.0109411160161669,0.0484896072701516,0.00649411321547003,0.0484896072701516,0.0299179288050169,0.0310352016729909,0.296277505691195,-6.47398702126429,-1.5483218110423,-0.0101991949847097,-0.019173248785557,-0.00149687083672581,0.0222659358309926,-0.00568845981802227,-0.0106421205455296,0.000488572442910089,0.00212861614650716,0.00829021398641308,0.0222111287178779,-0.0124866031571796,-0.0275199763459641,0.0138703859808966,-0.0272706556799096,0.0166417852543424,0.0120889092075317,-0.000331469120760193,9.18890485280932e-25,0.00135827654757332,-36787521.1887981,-9384.0295908826,-3.40823705751262,-12.6954567407879,-29991.380305547,-71.9616339681725,-0.025962768789909,-23807.4323127298,-58.7119225022046,11.8776751695026,4.55209053513166e-13,-5.59024912081419e-13
"GPC092820",-8.14807581902964,-3.15327342701875,-8.14807582075586,-3.15327338908729,-44.8425983951867,2.85604694116023,0.291588072442819,0.0678965169554688,6.62003164123044,0.527223053812316,5751.20433496891,1.64023543740928,1.90391979611044e-25,-3.00002554237868e-25,-323036.769689391,-97.8885413399631,0.188916156903701,0.24652701799402,-0.0216422419360403,-1.48857371081825,-1.47680655225851,-1.48564118109371,-0.00428172162556674,-0.242426836282685,-1.26222819057653,-0.712082092062972,-1.26222819057653,-0.42085215380986,-0.227590622995398,-436.154031263674,-123.079806287298,-0.0137196124026389,-497.865376767511,-132.998469514058,0.0580667119605774,0.0202413318001992,0.0560818197875288,0.0089977692402927,0.0560818197875288,0.0580221584965017,0.0587360111432131,0.888610820991091,18.8447455442949,3.26215979008154,-0.00343129094618906,-0.0043169527387225,0.000632027143518985,0.00164071198500365,0.00289495025874187,-0.00288808437663029,-0.000641359562700214,0.000427304332235359,0.00372035304008878,0.00695101882369904,-0.00679469357349493,-0.00560560257486451,-0.0044266437164949,0.0097906828029661,-0.00133327813587929,-0.00589211059639479,-0.00207010143725171,8.96999141081065e-25,0.000240538029541452,-29644945.3015706,-8304.51789375904,-1.89538900039314,-8.92173883061603,-37642.9022311669,-101.156305827065,-0.0326921655470152,-31621.4960479835,-84.4768951578014,35.8710233530615,4.4371585004355e-13,-5.45899477757555e-13
"GPC050760",28.6799838889944,7.07061428541841,28.679983888305,7.07061425807513,-51.1465887851388,-5.43876658260608,-1.56285496669856,-1.83866418000797,-32.8652043012333,-11.9517714716366,-11011.2779190172,-2.52722287984007,3.5607285352458e-25,1.6823507170455e-24,-3145873.8695365,-806.911179356352,-1.45154585121957,-1.81498630741,0.00860178497464039,3.75589760860561,3.73729123362976,3.73703908975452,-0.00914020018600049,2.24401542589361,4.12094673994112,0.583127588502985,4.12094673994112,1.30382505053613,1.12589567778007,-2970.50826991172,-769.88200416502,-0.100232851122181,-1245.31158677402,-325.873602596601,-0.130100642978736,-0.0379440375448347,-0.159571325862577,-0.0680988188942853,-0.159571325862577,-0.131826481834224,-0.130071166653963,0.207310659080125,-23.7391329947957,-5.42832686943679,-0.0117746712950081,-0.0190941336651559,0.00349198738543569,0.0190184719725507,-0.00311791809575388,-0.00563880182146668,0.000547961658597839,0.00286742377760044,0.00646383774236786,0.00954606053682915,-0.0190114274933842,-0.00669174692420011,0.0294287205998993,-0.0315733564734683,-0.0220889104159545,0.00764524704570865,0.0238727022637589,-5.05240286657935e-24,0.00151938818956174,-157857851.450401,-40705.162796458,-14.09196112705,-121.780811180758,-167701.842791154,-437.458455199382,-0.146132116846143,-59807.8411714742,-157.703076984513,-20.2326396652919,-2.45571842001463e-12,3.08774334668746e-12
"GPC020380",-3.22176507285403,0.815784084456426,-3.22176507283171,0.815784106554098,-54.4162821181428,1.76277221719364,3.15008685238368,-2.07176890492934,55.5154125630379,5.50138242941889,4057.27172548191,0.703268420323559,2.15698202630748e-25,-3.1507666134462e-25,-669791.070326189,-196.499436635421,-0.0540424883860868,-0.0442555988926835,-0.0320280355041233,-0.8346881340613,-0.840344437412806,-0.846929498887217,-0.00349844595896299,-0.0436567804409711,-1.68416869045362,-1.30192322591105,-1.68416869045362,-0.146524171888833,-1.22886791679918,-904.086585118399,-235.139092198177,1.88494684502204e-05,-707.857506030081,-179.673803385226,0.032606517386611,0.00923559325598247,0.0717337938654983,-0.000364933791905102,0.0717337938654983,0.0335560309807751,0.0337296621562039,0.484067977829231,-1.14932056541142,-0.25145924685631,-0.0253395400942207,-0.0202321304082712,0.00167074457488761,0.0212981846791513,-0.00244830769079519,-0.0095188866860509,-1.06765732484697e-05,0.00162277918235859,0.00740299730328328,0.0197924890875476,-0.00791596015978912,-0.0257682961945116,0.00362990563413383,-0.0090177382850428,0.0132848710907021,0.00450707159708055,-0.00300844925390645,9.41824629974028e-25,0.00129847516499075,-60251516.3888595,-16616.3779829089,-2.82517720707847,-8.61583838588702,-70848.9119996417,-183.937414464041,-0.061604814883694,-48987.3276719175,-123.497374139864,22.3406591478598,4.66370859478693e-13,-5.73036608150035e-13
"GPC106680",-2.82459357312163,-5.64674919553358,-2.82459357320058,-5.64674920582554,16.2986356242487,4.55547287617954,-1.52165035114168,8.08886676020088,-23.5673538152636,-1.03051156933994,-3861.53691074151,-0.0127055347523562,-2.69340955114915e-25,-1.01673422029612e-25,362614.653771195,74.4526171073737,-0.212073246780406,0.328754868153272,0.0255606890699803,-0.383460253774267,-0.43976624456272,-0.351297084756212,0.0673301631848711,-0.936782724446646,0.00716541738378633,1.36018536496355,0.00716541738378633,-0.562554442050494,1.2645086564793,325.092407784575,53.1556340653897,0.018070036943777,156.592652478446,26.9175076983507,0.0145603570081965,0.0211702766559084,-0.00884718080667972,0.0397914645937835,-0.00884718080667972,0.0174620947011278,0.0134708768117737,-0.365766336900601,27.0247129325008,4.87915364047628,0.0118745506322779,0.0146379050141009,-0.00825637727406068,-0.00513388157597567,-0.00403929612158046,-0.00113651765385077,0.000853467497756886,0.000593189356853533,-0.00092030692016395,-0.00128623353395605,0.0103578300242385,-0.00716209299308416,0.0128446186877654,-0.0244061423566149,0.00284273336417003,0.0191184319837493,0.00381704811754677,3.09211631533651e-25,-0.000762092171347721,9808635.37721115,1693.27201434567,2.74156735766946,11.5969189886375,12041.0734088724,13.9188274298654,0.0104674304996664,3379.93131042381,2.14826398882714,8.8046171494214,1.42747119406859e-13,-1.91213581598317e-13
"GPC014610",1.11450553948798,2.76456283624357,1.11450553911249,2.76456284245065,-54.7892403091819,-0.919387736010856,2.43484146843897,-2.34881255535482,33.9197233978934,1.58395871310467,6966.65663083488,2.23036841490002,1.84525072038831e-25,-2.78799460949345e-25,-1757339.26321414,-476.609248630381,-0.536258717357755,-0.727366282033352,-0.0244947067406147,-0.343040022908979,-0.284654597433641,-0.354550431556299,-0.0520366149824107,0.0826704860379445,0.267772166400901,0.185861122636662,0.267772166400901,0.266664259658217,-0.614343209067522,-1891.33291880469,-492.19210538254,-0.0405213266241094,-943.733395572659,-244.01983482541,0.00880809022126737,-0.00744455631278954,-0.00929568127783134,-0.00555568610900357,-0.00929568127783134,0.00568193273298916,0.00916738978594116,0.388237576179803,-4.49471849629563,-1.18933460580985,-0.00852074925000963,-0.0142804884617074,0.00496907585823121,0.0100790395127889,-0.000936427447343067,-0.00504137471741046,0.00114570623082861,0.00131207580739347,0.00367361005752817,0.00978652854501207,-0.00750810151957267,-0.0105151990353325,0.00423186461502167,0.00145797122481049,0.00131886190528292,-0.00643582425322036,-0.000125758312143704,8.33484038891217e-25,0.000910195342921861,-93948253.8995721,-25233.7809746295,-7.72447755887564,-84.0536487244089,-101586.030137801,-264.236399497358,-0.0884541085078711,-47519.4056090229,-122.292864716225,10.628472205228,4.12529108339416e-13,-5.0717626358503e-13
"GPC003330",-3.02877219164443,0.845128456455652,-3.02877219193083,0.845128471885873,-53.239354137878,0.48012379327652,2.62595057522296,-2.16675881330727,41.7375620155513,4.14216436070843,5083.8581943042,1.55345381013945,2.22999242972144e-25,-2.99456675301913e-25,-711130.549216557,-199.054296736092,-0.828381326441322,-0.47939777311075,-0.0152541176422002,-0.242562962052956,-0.274807710899738,-0.263392700755681,0.00654536685278443,-0.0423891988684709,-0.621978384687375,-0.331159569811912,-0.621978384687375,-0.0933879131376081,-0.571421531491207,-277.959285605115,-79.5043354603792,0.00805379085581835,-150.072927166478,-41.6530911931932,0.0086269033501512,0.00735398599383867,0.0273891208712542,-0.000713383630176675,0.0273891208712542,0.00957390669965827,0.00953193755000224,0.236324991722478,-13.3828232237418,-2.67017855829533,-0.0247448491174592,-0.0155302059788889,-0.000377535183933857,0.0169407614184271,-0.00476229591775614,-0.00718934060156232,-0.000529517462813614,0.000464482376040089,0.00495671060340232,0.0177143510134166,-0.00301678886143009,-0.0226023864508933,0.00857206914245436,-0.0153931473442757,0.0164598103483191,0.00639356217734014,-0.00408370361005865,8.94852638010122e-25,0.000935825448106843,-48745552.7122605,-13090.2971029789,-5.35291311724447,-38.3036984232645,-24739.8592523673,-66.4933066668783,-0.0215728379267065,-15314.4739961673,-40.3684879146489,10.2364481149315,4.43661772617396e-13,-5.44293854360022e-13
"GPC011120",-4.27529187253448,1.55082862829899,-4.27529187288676,1.55082864082999,-52.6723791010579,1.13176476007226,0.389932421356241,-0.82962239975904,-1.75042432616279,-2.05649665947633,5847.86287296427,1.73780749168084,1.70991183549745e-25,-2.99599575261327e-25,-1276714.76581709,-346.222520846644,-1.03168551564952,-1.05030233502365,0.00234211447535625,-0.783388074994953,-0.800640356660121,-0.797632523128079,-0.00129452580097513,0.0215981705650792,-0.474419531585765,-0.34016708449241,-0.474419531585765,-0.455714806709822,0.27358371534104,-925.897041990406,-233.175714046288,-0.0230705843645812,-455.1833520995,-112.65784768806,0.0312215566732618,0.0190734794851149,0.0273502230856657,-0.000348257524731056,0.0273502230856657,0.0322219756874071,0.0314024636394179,0.228906728282434,-1.98877487446508,-0.391948374339097,0.00501236736347078,-0.00598023024319325,0.00788960698226985,-0.00455150336206418,0.00526775202172798,-0.000942456224013995,-0.00037722488004433,0.000311751587858396,0.00189132241318283,0.00254006553230926,-0.00379323718605365,-0.000811767958457875,-0.0203979136449971,0.0404930195617272,-0.00467365300330335,-0.0220422305298836,-0.00968051402949137,8.96093060860957e-25,6.49920556308896e-05,-63739304.8413652,-16955.0953628803,-7.88341242103056,-74.3724266159423,-42751.7479678399,-104.613956409178,-0.0371833512363666,-21981.7618322651,-53.7924317563959,6.62699397870589,4.42682184836207e-13,-5.4552193292458e-13
"GPC050270",1.04307933557012,-3.01731530150674,1.04307933539584,-3.01731530419632,68.6290411532178,-6.25023155074769,-1.0422564527394,-1.19922674774247,-21.1474873619939,-4.27020841014531,-3538.74847674378,-2.144038408671,-3.42646184898968e-25,2.69726731912314e-26,362232.062668245,52.4991348058177,-0.242527601029774,0.338623230225603,0.00591945117830505,0.188880875053324,0.202235249577799,0.194138084199828,-0.00804259494599454,-0.476705961104042,0.385219561757396,0.719318841049216,0.385219561757396,0.136388635920163,-0.0723635600111733,1122.11623489703,273.333101386673,0.0156095649881621,652.635406931123,162.110398821752,-0.00955825777440785,-0.0081044461846257,-0.0196819035389486,0.0156644332869043,-0.0196819035389486,-0.00931022582158305,-0.00956187392965742,-0.379641834824465,-4.94977998330265,-0.917481687111634,0.00253600258633654,0.000903948386642981,0.0127413156932682,-0.0154823964515152,0.0125998404471954,0.00465054948660482,0.00115452506050838,-0.0003145330602901,-0.00395341115585404,-0.0107361821150225,-0.00173557086065232,0.0160844680274377,-0.036646896216597,0.0601971656388685,-0.023233402243174,-0.0248994956091754,-0.00654794586600201,-7.55666895935902e-26,-0.0004572339617494,34606371.4579661,6947.58214949946,-0.644793268614652,8.71510851969117,74112.0308224254,182.195914521932,0.0644471083673643,41803.4347771676,104.405804747501,-8.39322909965592,-4.73350305784899e-14,4.30321420949084e-14
