"","DASanthesis_BLUP_GBLUPKCV","DASmaturity_BLUP_GBLUPKCV","DATanthesis_BLUP_GBLUPKCV","DATmaturity_BLUP_GBLUPKCV","fruitno_BLUP_GBLUPKCV","fruitlength_BLUP_GBLUPKCV","fruitwidth_BLUP_GBLUPKCV","fruitshapeindex_BLUP_GBLUPKCV","fruitweight_BLUP_GBLUPKCV","yield_BLUP_GBLUPKCV","pollenconcentration_BLUP_GBLUPKCV","pollenactivity_BLUP_GBLUPKCV","leaftemp_BLUP_GBLUPKCV","leafminushobotemp_BLUP_GBLUPKCV","growthrateplot_BLUP_GBLUPKCV","growthrateplant_BLUP_GBLUPKCV","height_BLUP_GBLUPKCV","heightmax_BLUP_GBLUPKCV","leafangledaily_BLUP_GBLUPKCV","leafanglemean_BLUP_GBLUPKCV","leafanglenoon_BLUP_GBLUPKCV","leafanglemidnight_BLUP_GBLUPKCV","leafanglemidnightminusnoon_BLUP_GBLUPKCV","leafanglebright_BLUP_GBLUPKCV","leafanglelow_BLUP_GBLUPKCV","leafanglelowminusbright_BLUP_GBLUPKCV","leafanglecold_BLUP_GBLUPKCV","leafangleHot_BLUP_GBLUPKCV","leafanglecoldminushot_BLUP_GBLUPKCV","leafareadaily_BLUP_GBLUPKCV","leafareadailyplant_BLUP_GBLUPKCV","leafareaindex_BLUP_GBLUPKCV","leafareaprojecteddaily_BLUP_GBLUPKCV","leafareaprojectedplant_BLUP_GBLUPKCV","leafinclinationmean_BLUP_GBLUPKCV","leafinclinationhot_BLUP_GBLUPKCV","leafinclinationcold_BLUP_GBLUPKCV","leafinclinationbright_BLUP_GBLUPKCV","leafinclinationdark_BLUP_GBLUPKCV","leafinclinationnoon_BLUP_GBLUPKCV","leafinclinationmidnight_BLUP_GBLUPKCV","lightpendaily_BLUP_GBLUPKCV","lightpenmeanplot_BLUP_GBLUPKCV","lightpenmeanplant_BLUP_GBLUPKCV","huedaily_BLUP_GBLUPKCV","huemean_BLUP_GBLUPKCV","huebin0_BLUP_GBLUPKCV","huebin1_BLUP_GBLUPKCV","huebin5_BLUP_GBLUPKCV","ndvimean_BLUP_GBLUPKCV","ndvibin0_BLUP_GBLUPKCV","ndvibin1_BLUP_GBLUPKCV","ndvibin2_BLUP_GBLUPKCV","ndvibin3_BLUP_GBLUPKCV","ndvibin4_BLUP_GBLUPKCV","ndvibin5_BLUP_GBLUPKCV","green_BLUP_GBLUPKCV","greenb0_BLUP_GBLUPKCV","greenb1_BLUP_GBLUPKCV","greenb2_BLUP_GBLUPKCV","greenb3_BLUP_GBLUPKCV","npcimean_BLUP_GBLUPKCV","psrimean_BLUP_GBLUPKCV","biomassfinalplot_BLUP_GBLUPKCV","biomassfinalplant_BLUP_GBLUPKCV","heightfinal_BLUP_GBLUPKCV","heighmaxfinal_BLUP_GBLUPKCV","leafareafinalplot_BLUP_GBLUPKCV","leafareafinalplant_BLUP_GBLUPKCV","leafareaindexfinal_BLUP_GBLUPKCV","leafareafinalprojectedplot_BLUP_GBLUPKCV","leafareafinalprojectedplant_BLUP_GBLUPKCV","lightpenetrationfinal_BLUP_GBLUPKCV","biomassAUC_BLUP_GBLUPKCV","biomassAUCperplant_BLUP_GBLUPKCV"
"GPC011650",0.0789340856933128,-3.81996607711716,0.0789340856922556,-3.81996605829393,-18.5410188488046,4.8238751158218,0.73503795256382,0.410145738621469,11.0789299047211,2.9078241509295,2781.43103256719,2.67567636244734,-0.326662894953584,-0.325765048204527,144930.984245624,24.8289599628881,-0.618640436155592,-0.779274742678211,-0.00901409292178409,-0.58564684054668,-0.421236211433774,-0.363954674656607,0.0413296248731149,-0.462794717514886,-0.112437802971893,0.168580348756712,0.182976905983412,-1.90831816849326,1.5979861090774,123.985738495195,18.5160293426381,0.0111325409195616,41.085295785232,2.92056661218905,-0.000664152013272839,-0.0157738724218189,-0.00638041321193286,0.0303665720852584,0.00553057041485177,0.0220155591120629,0.0211366799743683,-0.273191015256975,11.2376887658727,1.07760998348563,-0.108270351241583,-0.916122543309558,-0.0105402612178229,-0.00105059929875134,-0.00623269473194219,-0.0120560847544867,0.0098182105593095,0.00147456338490081,-0.00125723239309367,-0.00597160152315432,-0.0106565979152869,-0.00203738119467629,-0.00363780939015882,-0.0248238052307564,0.013668030334894,-0.00211453721757208,-0.0062687490074431,0.000955290526544606,0.00588866117595385,8799662.33855584,1466.14553414003,1.37642141540258,26.6907581041414,8987.66148984194,16.29875479906,0.00775717785561745,3935.27047816126,6.06426718324049,-0.278815297417533,1.55131277473908e-05,2.52917092689476e-06
"GPC011680",-0.132502737899835,-2.83936472571622,-0.132502737897141,-2.83936471475863,-19.5197749814562,-0.403919834868627,0.814453206659046,-1.1932092192286,5.0546534899993,-1.08407693837546,2925.74103511658,2.28682598677085,0.183724953491511,0.184087944545136,-659476.853958928,-177.118470089579,-2.5554368409515,-3.180338277108,-0.0723120647289081,-1.36504526523597,-1.66694905868091,-1.65624763698053,0.00837221629984996,-0.519924283662801,0.0846599441362504,0.263606223257197,-1.81819229939379,-2.39525006926503,1.20262350394889,-789.51795409191,-211.758019802208,-0.00735443192599143,-506.780760042256,-133.51153702659,0.0259414903991427,-0.00526657336163597,0.0727635850133507,0.0224896369499,-0.00111821168687348,0.0806106713369495,0.0817926851934064,-0.761362187138173,-28.7398543749755,-7.42182658040118,-0.150159012946736,-0.31342410033747,-0.02095706609163,0.0113283417897375,-0.00329724654894057,-0.0260412589361771,0.0102428631204441,0.0160179190088433,0.0134460463524562,-0.0197388131158508,-0.037506520686611,-0.00360208543716058,0.00772000563696667,-0.0492601505569837,0.00961104095128872,0.0119450311810916,0.00227704538344961,0.00813376384489836,0.0137042416925829,-34866375.5644476,-9547.13002528843,-13.0087305325872,-140.896813080258,-25136.1675646554,-68.5942803643924,-0.0205637980649225,-16973.0177690548,-45.4061178371257,-56.2920007808772,1.45931509577627e-05,2.3771761318745e-06
"GPC008850",1.1314725384337,3.18952888158819,1.13147253843375,3.18952887138509,-5.37216364960223,-2.3527305034077,-0.611515943977978,-0.685003235151368,-5.41389692982201,-2.15209566751593,-1572.21916200984,-2.58402327100064,0.32738065255337,0.326930564597214,-467832.60484316,-114.704408812428,-1.29375162306008,-0.593442561681052,0.0317291499272183,1.53661204026004,1.50317160153413,1.3642659512758,-0.0970786753432864,1.11081326179423,0.477273418187913,-0.155027541735101,0.87037357821731,2.50198467713231,-1.71533394371101,-136.975247870708,-39.9195369126499,-0.00819111864899555,-42.561931152089,-12.4302880081251,-0.0369655501186115,0.0138234351762532,-0.0360248421093488,-0.053251039735568,-0.00923708335572384,-0.0852621753798147,-0.0849969277203131,0.196631433195337,-19.0564475772724,-3.71933853501629,0.0314942192507241,-0.710742664643955,0.0183490650295854,-0.0012778977711772,0.000492021322456326,0.000655881427331912,-0.000221148697773258,0.00232186184654851,0.00618163305002543,0.00914378914400875,-0.0106634068732623,-0.00268457984473922,-0.00262193994052928,0.024942477878057,-0.00225927143615743,-0.00536486954574877,0.00335801062811065,0.0102093101596649,0.00515473229755666,-22701889.7966641,-5581.83256391777,-11.3636789083885,-86.0187617753328,-9756.84515726573,-28.1187347425891,-0.00766391059373541,-4195.05798297681,-12.1911396695635,-2.53003233380336,-0.000101445069278307,-1.6296416476081e-05
"GPC093310",-1.4663987005767,-1.26754624161466,-1.46639870057226,-1.26754624753464,18.5896005211469,0.99527665335763,-0.42630514632997,0.50871474719871,-5.2339800458055,1.17855612459241,-60.0149246738347,3.41087659904454,-0.340197762804031,-0.339159171332357,882119.198250188,235.449955083818,3.44549252445948,3.45431031943587,0.0266589312276313,0.90913013203033,1.16517833144541,1.16287201387964,-0.00365525568115772,0.663463503881443,-0.238423188806778,-0.41228271241873,1.59272059065883,1.34338418175084,-0.496652610063728,604.655245774625,158.15184921835,0.0110894084335001,380.799917865475,100.630491478266,-0.0154223698048663,0.00494498774146863,-0.0575141586684195,-0.0305593477499797,0.00359208943251291,-0.0432022846503227,-0.0455665467036219,0.684808573198201,30.7067752904237,5.81743254982403,0.0837550613393332,-1.55973946095493,0.0201237728517848,-0.0302444895737739,0.00902828183423205,0.0158488460768247,-0.00350853968215773,-0.00889811717727344,-0.0141814091005175,0.00192263713431087,0.0298845262797091,0.00468591384993491,-0.0200286680429972,0.0240661064009028,-0.00945660200550759,-0.0142841004579318,-0.00488199834412791,-0.0102379281559017,-0.00868733335098699,55045676.3835213,14383.3971024599,21.7748782527261,212.12439348904,24196.8231460758,62.828049844501,0.0201040450976639,16164.3275526462,42.7578214550908,49.086550059027,9.60401001384225e-06,1.54579157306105e-06
"GPC000040",-1.00202057073641,-2.92642420006104,-1.00202057073517,-2.92642419341601,-22.0728403720236,2.39486945369604,2.09873790113784,-1.21673915774518,18.8100552326637,3.00826830902591,3384.24759408951,-1.22409525926324,-0.497418544432408,-0.495697111013578,-338266.981008405,-104.595216084512,-1.59563378324687,-1.52622859629324,-0.0244492283172708,-1.04459050270397,-0.699826410174021,-0.647599124626971,0.0376151196101108,-0.506904823098561,-0.0197935992163874,0.217932664812661,-0.778627580900919,-1.6732198418665,1.0683315072863,-227.731378222929,-72.2593005635815,0.00165965959973537,-166.807986717909,-50.9914794463569,-0.00431045624650482,0.00189338299410854,0.0294768968332733,0.0280542234474444,0.00233910029286982,0.0364562890886614,0.0330002070941201,-0.382830025573574,-19.3538642689352,-4.98508354678107,-0.141152929210455,-2.9508789878517,0.00942813905428506,-0.0217024624612124,-5.57777497187938e-05,-0.023326758565402,0.0124294154541998,0.00634393123624109,0.00507067845164281,-0.0109378488220887,-0.0276100166416189,-0.00222603507743165,-0.0124189296639979,0.0123200453849095,0.0012850294175031,-0.0132390872898518,-0.00687504533043416,0.00626082842974354,0.00967972934836898,-19204760.4369418,-6036.23402904326,-10.5873602508883,-89.3807199103668,-1733.79472117414,-11.2149512976548,-0.00136608532918072,-2675.67059034681,-11.0122647385146,-31.2005957960281,1.40942340545254e-05,2.30331701226136e-06
"GPC116260",-1.23241578795667,-0.925719154060999,-1.23241578795165,-0.925719155697256,53.2246061855251,1.21439729926273,-1.26512541251857,4.1703410691586,-6.93755646571821,1.50153548194295,-1398.14196362001,4.6548892863621,0.0154126340876089,0.0157199442072667,826453.815121109,200.727077907256,1.32827586704337,1.4344770967898,0.00263462926268678,0.729046731303045,0.429268283776536,0.380344586915557,-0.0308722291802019,0.180860410990468,-0.230060193923087,-0.206864729771835,1.08049507895385,1.24962504153132,-0.611222877658169,1197.70921870533,292.404803799494,0.0221794550220873,662.426996670645,161.497890129669,0.00121933055863617,0.00890230627739061,-0.0385639107480742,-0.00689397642392236,0.00436368473119176,-0.0174910976069177,-0.0155901754557913,-0.0238036878311982,24.7781147473974,4.55248059383434,0.0275003822193021,1.88203103761284,-0.00683742679487573,0.0121084875636579,-0.00328231624677191,0.00932988694565203,-0.00061365873830693,-0.00124214040046396,-0.00499334484736634,-0.00744343948100677,0.0157819048963675,0.0024857194135723,-0.00015696500143019,0.00266198692543193,0.00776164960388361,0.00358134879988145,-0.00231286256087914,-0.0102179413740648,-0.00296521011996479,38980819.1309533,9399.64315696164,12.1668334360318,122.359279572769,38129.6081309874,90.8703159859442,0.0324569836952912,22979.669505141,55.0450057897081,33.4939858573462,8.78572144022663e-06,1.4166653069354e-06
"GPC036000",2.12655581402538,-4.59199034634589,2.12655581401959,-4.59199033084191,-21.9883707728684,1.40868827172167,0.229516781390839,-0.337300116328555,1.53298278027171,-1.70987531147119,3902.58108129116,2.00110039450875,0.1554800171918,0.155368166725284,-638512.718472351,-170.197025616559,-2.36800065959724,-2.76602836534486,-0.054255506091645,-1.8851479368218,-2.05207685082949,-2.04816621981286,0.00317690594251873,-1.11515622912037,-0.346804496517184,0.2135839786351,-2.28844115671738,-2.60069623348373,1.18230890073881,-787.786045027159,-208.7830123308,-0.0114093037894515,-508.108650034568,-133.286197585188,0.0305366052467079,-0.00683437710922115,0.0886801081696097,0.0459248026062797,0.00286821785993916,0.0906453592368446,0.0911435285158478,-0.501515476046793,-27.7317280487042,-6.37523128432906,-0.179769768281582,-1.32214980442386,-0.00690094293244108,-0.0085024341987239,0.00276887455481283,-0.0164170426656057,0.00339740355915947,0.00876690671671594,0.00729105072785598,-0.0139185400306203,-0.0194063652646529,-0.000312174824548117,-0.00407982848133335,-0.0187460570865478,-0.00323721860450706,0.00392810694112864,0.00143297310167113,0.00389800797101091,0.00711987205762054,-36751103.8946783,-9773.97085414485,-13.8725931985656,-154.198135764312,-30017.4062343801,-79.2187846490855,-0.0242375961134601,-20528.2741565431,-53.5985816694169,-47.0535936315334,1.61242682465253e-05,2.61783707552588e-06
"GPC008400",-1.87932063189958,-0.640655550501199,-1.87932063189743,-0.640655563461668,-16.2328821996923,-1.92732946813119,2.08520130430545,-1.78164659639045,15.99739327854,1.20219171996265,3970.3287739933,0.834476392362682,-0.283529954541015,-0.28199501481914,-523345.640714851,-139.271487388224,-2.5883879726018,-2.69507104764766,-0.0186072233877065,-0.815584131561953,-0.379473307673579,-0.399460907429986,-0.0120695566590411,-0.442913602970242,0.140503532641427,0.301210619015249,-0.746637816229644,-2.35237557852125,1.57702241922295,-438.141048850005,-109.401283041283,-0.00236669653182164,-270.459477424112,-68.7890118141372,-0.014928589022438,-0.0192436592908312,0.0288297892118869,0.0206664980576346,0.000873180144313403,0.0130158676341548,0.0176312550009024,-0.457432666151828,-25.4742257024631,-4.54563334915175,-0.145385399212285,-0.87685755135679,-0.0124944924898456,-0.00273015483287555,-0.00938142149502752,-0.025574072388771,0.0179028049669303,0.00585022926419393,0.00288058673216337,-0.00755086830262808,-0.0283728128753421,-0.00317963828227683,0.0084509137254787,-0.0370333465343546,0.00249085948991096,0.000344031563219114,-0.00148972446784855,0.0022557315761803,0.0092351649151246,-35470220.5120969,-9263.34702590195,-15.8841188882534,-164.154231452389,-14689.7251865209,-32.6256996085361,-0.0126747123404036,-9905.70454836756,-23.0158554629366,-38.7575937212785,1.48560993707119e-05,2.43736404899679e-06
"GPC092820",0.0973289343202608,-2.72569966037648,0.0973289343173638,-2.72569966419277,-17.5939956274769,2.1264308828737,0.625131961075708,0.0240690413503659,10.8489398806716,2.96886311517708,1899.91917890553,1.34469637916994,-0.429446728740921,-0.428658054613939,-275436.811011761,-71.9293405018949,-0.0916611688623818,-0.293558631535207,-0.00293955705090125,-0.861620054838473,-0.830867088100026,-0.772885559338074,0.0422632576672797,-0.859184112650044,-0.368327741378678,0.141845213633371,-0.114722765541491,-0.818384467428365,0.664510978226291,-309.290038116537,-76.584288278963,-0.00340224063846162,-212.663659658017,-52.970358026339,0.0243293542457936,-0.0063664385524192,0.00447800689881148,0.0401522138508931,0.00789049254023849,0.0407272785285526,0.0388066023415539,0.273958583837719,15.0165014385231,3.90483808023199,-0.0928941030198017,-0.506798385864874,0.0221187624545608,-0.0070339573928959,0.0117263581763511,-0.000752438044650771,0.000633985219382613,-0.00112288213138846,-0.00198725963860445,-0.00179774900002304,0.00431956900687141,-0.000431251510616603,-0.0114679265524513,0.0514649827935023,-0.000928505988882999,-0.00791505465925847,-0.00488250476969261,-0.000936299576658571,-0.000877929279351134,-18644096.2281829,-4855.08613488062,-1.60587149455305,-24.4685765742096,-7945.46853293294,-17.415967496901,-0.00573140715784955,-6756.85134183019,-15.4331435066694,18.9380630982601,1.59071189965812e-05,2.59657132195024e-06
"GPC007530",0.504473379428287,3.38938622702465,0.504473379426401,3.3893862108013,7.48685198193114,0.122821377867393,-0.941187190156726,0.504385121768523,-7.14070947416347,-0.503781098997971,-1298.86812843703,1.1191707206572,0.174135813768836,0.17447853765977,343237.230056924,99.6941479695676,1.29592081343645,1.37117918607758,0.0210747137431502,0.718873758335354,0.473822030856752,0.428760860402888,-0.0340269508096255,0.227401993748038,0.0920852679278913,-0.0524995179308662,0.514242891686319,2.07041480092797,-1.46061486367431,201.179257484346,63.4901844560363,0.00125571479973407,139.529504028891,43.2574808897097,0.0145198407592946,0.00960553127905298,-0.0180277179860733,-0.0106464835106469,-4.52953151213488e-05,-0.020182620734221,-0.0189956583166557,0.304403047811072,19.6910400173251,4.69734793261478,0.0972085926183342,0.97147760065478,0.013858812049279,0.00675575930515067,0.00702146389307791,0.0151746891540567,-0.00488121715416228,-0.00325021683227303,-0.000597593935306765,0.00912700797129755,0.0123290337888564,0.00221759791408331,0.00584638846686112,0.0121660232375544,-0.00385777401353046,0.00373721178139847,0.00392628262980151,0.00616298348243845,-0.00102708100913148,24200668.7108593,6634.05699561321,7.96950012653008,78.4934942213773,4858.21540656372,15.324116238749,0.00457176056688719,3913.65565460315,11.9815287755556,31.1265572816256,-1.86872522105174e-05,-3.04250598991934e-06
