"","DASanthesis_BLUP_GBLUPLOOCV","DASmaturity_BLUP_GBLUPLOOCV","DATanthesis_BLUP_GBLUPLOOCV","DATmaturity_BLUP_GBLUPLOOCV","fruitno_BLUP_GBLUPLOOCV","fruitlength_BLUP_GBLUPLOOCV","fruitwidth_BLUP_GBLUPLOOCV","fruitshapeindex_BLUP_GBLUPLOOCV","fruitweight_BLUP_GBLUPLOOCV","yield_BLUP_GBLUPLOOCV","pollenconcentration_BLUP_GBLUPLOOCV","pollenactivity_BLUP_GBLUPLOOCV","leaftemp_BLUP_GBLUPLOOCV","leafminushobotemp_BLUP_GBLUPLOOCV","growthrateplot_BLUP_GBLUPLOOCV","growthrateplant_BLUP_GBLUPLOOCV","height_BLUP_GBLUPLOOCV","heightmax_BLUP_GBLUPLOOCV","leafangledaily_BLUP_GBLUPLOOCV","leafanglemean_BLUP_GBLUPLOOCV","leafanglenoon_BLUP_GBLUPLOOCV","leafanglemidnight_BLUP_GBLUPLOOCV","leafanglemidnightminusnoon_BLUP_GBLUPLOOCV","leafanglebright_BLUP_GBLUPLOOCV","leafanglelow_BLUP_GBLUPLOOCV","leafanglelowminusbright_BLUP_GBLUPLOOCV","leafanglecold_BLUP_GBLUPLOOCV","leafangleHot_BLUP_GBLUPLOOCV","leafanglecoldminushot_BLUP_GBLUPLOOCV","leafareadaily_BLUP_GBLUPLOOCV","leafareadailyplant_BLUP_GBLUPLOOCV","leafareaindex_BLUP_GBLUPLOOCV","leafareaprojecteddaily_BLUP_GBLUPLOOCV","leafareaprojectedplant_BLUP_GBLUPLOOCV","leafinclinationmean_BLUP_GBLUPLOOCV","leafinclinationhot_BLUP_GBLUPLOOCV","leafinclinationcold_BLUP_GBLUPLOOCV","leafinclinationbright_BLUP_GBLUPLOOCV","leafinclinationdark_BLUP_GBLUPLOOCV","leafinclinationnoon_BLUP_GBLUPLOOCV","leafinclinationmidnight_BLUP_GBLUPLOOCV","lightpendaily_BLUP_GBLUPLOOCV","lightpenmeanplot_BLUP_GBLUPLOOCV","lightpenmeanplant_BLUP_GBLUPLOOCV","huedaily_BLUP_GBLUPLOOCV","huemean_BLUP_GBLUPLOOCV","huebin0_BLUP_GBLUPLOOCV","huebin1_BLUP_GBLUPLOOCV","huebin5_BLUP_GBLUPLOOCV","ndvimean_BLUP_GBLUPLOOCV","ndvibin0_BLUP_GBLUPLOOCV","ndvibin1_BLUP_GBLUPLOOCV","ndvibin2_BLUP_GBLUPLOOCV","ndvibin3_BLUP_GBLUPLOOCV","ndvibin4_BLUP_GBLUPLOOCV","ndvibin5_BLUP_GBLUPLOOCV","green_BLUP_GBLUPLOOCV","greenb0_BLUP_GBLUPLOOCV","greenb1_BLUP_GBLUPLOOCV","greenb2_BLUP_GBLUPLOOCV","greenb3_BLUP_GBLUPLOOCV","npcimean_BLUP_GBLUPLOOCV","psrimean_BLUP_GBLUPLOOCV","biomassfinalplot_BLUP_GBLUPLOOCV","biomassfinalplant_BLUP_GBLUPLOOCV","heightfinal_BLUP_GBLUPLOOCV","heighmaxfinal_BLUP_GBLUPLOOCV","leafareafinalplot_BLUP_GBLUPLOOCV","leafareafinalplant_BLUP_GBLUPLOOCV","leafareaindexfinal_BLUP_GBLUPLOOCV","leafareafinalprojectedplot_BLUP_GBLUPLOOCV","leafareafinalprojectedplant_BLUP_GBLUPLOOCV","lightpenetrationfinal_BLUP_GBLUPLOOCV","biomassAUC_BLUP_GBLUPLOOCV","biomassAUCperplant_BLUP_GBLUPLOOCV"
"GPC057060",2.04010107454213,1.52173686639056,2.04010107503825,1.52173685889176,-54.6626528627754,6.01871548137921,0.873246004757923,2.89159704484068,30.0823715571437,0.538326192210156,334.560209535466,-0.589431671554636,5.88606977366063e-15,-6.13029714304729e-17,-1418.39638658805,-32.7943493268784,0.797265080094147,0.374543522221739,-0.0218340165985789,-1.12087311165615,-1.09496585431132,-1.11903352334454,-0.0088076778622598,-0.23180807219068,-1.20272677847533,-0.669013380856848,-1.20272677847533,-0.272917284458514,-0.526677994602621,-738.249023884193,-212.521080563496,-0.0160954593812265,-609.222096430056,-169.64868157482,0.0459055822686355,0.0140523712206505,0.0544969736146583,0.00851476134903971,0.0544969736146583,0.0448465688410755,0.0457859826714358,0.314035097173798,4.27445135219161,0.196373314386436,0.00564214588057561,-0.0030608830337975,-0.00740472813353721,0.0120952312768821,-0.00592701924842472,-0.00406490289568012,-0.000121201138439281,0.000849568618919628,0.00334299049563378,0.00756807651322965,-0.00147876679641947,-0.0116605289151212,0.0170570505797581,-0.0307056935135947,0.0104350117522034,0.0160360234217567,0.00498105724100916,5.55748982839996e-17,0.000502788758395248,-6628806.30439672,-3270.14858404025,4.91290284438312,30.4018584796889,-50207.5424787614,-139.894669877555,-0.0437174384778415,-36661.8212220917,-100.417437863293,11.2129730321616,4.70475991948843e-05,7.34000476695333e-05
"GPC002420",1.35247419666671,5.22323809494981,1.35247419671472,5.22323808138658,-48.0761002942935,0.300278974427229,3.73287767160409,-2.17280765357805,101.129024954197,5.8235856143621,6393.00191025356,-0.596554057836086,2.97180738513674e-15,-2.49390566001025e-17,-1604994.35175078,-454.758410096686,-1.56720833301207,-0.96270163728894,-0.000587177574933478,0.72981674578717,0.676969362798884,0.721595097353455,0.0240884017140898,0.457555158298051,0.197309469993694,-0.191878752102224,0.197309469993694,0.269602326925891,-0.261741152909825,-673.623210379002,-199.89999042421,0.00640505531587532,-266.098337194025,-81.1428879876748,-0.027835920582889,-0.00441796315337461,-0.0121732105049528,-0.0155174461223962,-0.0121732105049528,-0.0266717256587428,-0.0274658105372253,0.140070763467766,-26.6057344172053,-6.00378638491004,-0.0158007142519506,-0.00873356731272783,0.00471183349891001,0.00409055335037086,0.00102564563812925,-0.00296418073689105,-0.000810190201490987,-0.000393910462564878,0.00245034339900468,0.00997487891359319,-0.00304940383666407,-0.00991535341684173,-0.010869175690186,0.0239016391552095,0.00511342635939775,-0.0156015135379861,-0.0092420041265146,-2.22911102647203e-17,0.00036813280132477,-90051524.3882747,-25116.4991089407,-11.8859322803512,-72.1399996125546,-35242.7242163929,-107.433212314603,-0.0306510029148095,-12532.5285531264,-39.7260499574894,-11.2588806061926,6.91543883913888e-05,1.5815334255889e-05
"GPC011040",-2.63448770868064,-1.8836492526113,-2.63448770799554,-1.88364925702452,7.21522730822467,-0.417989515321944,-0.3200509137846,-0.118444593018025,-2.64865031711131,0.227346836651653,-1089.30376393622,0.0523497307624878,6.78335727800998e-16,7.7714509320357e-18,-510796.719012513,-138.367225805789,-0.461985130010175,-0.52741098063359,0.00138307048225046,0.98312647902928,0.955347507835398,0.952723624489755,-0.00658997773297666,0.483548639109324,0.777594561329916,0.00527088557414184,0.777594561329916,0.260086525614112,0.107673314387156,-128.776295233896,-35.797619157167,0.00363753201048766,-34.1835134752516,-9.10207251819028,-0.0384595291469289,-0.00932469283887374,-0.0323180788188103,-0.0248856193424059,-0.0323180788188103,-0.037795303966788,-0.0378972929682276,0.0998076097563988,-6.32354111695365,-1.5019426361506,-0.00144230669035233,0.00319640842315675,0.000360605743676201,-0.00604487124267672,0.000387277748195981,0.00503524063403389,-0.00102250936511562,-0.00249696124652143,-0.0040309870500585,-0.00519060273321282,0.0055219172094425,0.0116362324929319,-0.00369798295100335,0.0168267887206205,0.000157051577696499,-0.0144527941311924,-0.00421533378844009,1.48249382242333e-17,-0.000329795748146019,-16335399.7211902,-4547.85130248972,-2.78507095924194,-20.5343395143657,9125.36264556192,21.1660779367415,0.00794335762966712,8084.88712631047,20.2968955261821,-2.26500430051242,1.17834544296426e-05,-4.5441314315075e-07
"GPC023060",-11.5340944964983,-4.34525496964748,-11.53409449613,-4.34525496813062,28.4425434984066,-0.529666769774868,-1.27970203759552,-0.050511205949156,-24.978568995512,-4.85833322051121,2968.57061170214,-0.101277150869237,1.54234738916933e-16,-1.20519236697165e-18,-1081312.35681275,-220.020805735084,-0.370098115264857,-0.677385730954273,-0.0175806748823936,-0.0803523716700832,-0.0436909843680478,-0.0791348623233493,-0.0230692214336949,0.638341811643317,0.0153763801428606,-0.804806332638169,0.0153763801428606,-0.12408276247134,0.0793870779002094,-1078.03176340998,-230.003567960145,-0.0453127335484474,-556.969775355638,-122.230817677326,0.000219043791579908,0.00346196065601565,0.002666111557063,-0.0253692770248034,0.002666111557063,-0.00178053594893182,0.000544221738503051,0.337791038006452,9.72628990939902,2.70345029935136,-0.00466517545830501,-0.000222338457572361,0.0027976109602293,-0.00634825052720416,0.00120848848141142,-0.00215048756766075,0.000622165271651696,0.00142282583228836,0.0019987691062686,0.00167071542621919,-0.00221864511714237,-0.00397904526204444,-0.00409167974041223,0.00824326134932139,-0.00570246094909958,-0.00227867904651815,-0.00148219435751646,-2.43692438118261e-18,-7.98384149399496e-05,-66106876.404764,-14254.7002528626,-5.8980769592932,-48.2000371713644,-67868.8500548663,-147.419458900609,-0.0590447883325864,-31877.9263928928,-69.8366839177903,12.3455398367486,1.50331076851824e-05,-3.628737766296e-06
"GPC010350",-8.02168039072662,-5.71749993815367,-8.02168039028694,-5.71749995444861,28.6281097757994,-6.22489007155162,-2.86732834996579,-0.607000110277539,-51.41943284333,-4.57393097338654,-5737.94519265055,-4.16742256918242,-3.86285366856301e-16,-7.95701059023686e-19,-776754.272327098,-180.08181347848,-1.417895576919,-0.847687568904731,0.0135785818384779,-0.242068207532268,-0.183118114216769,-0.262233433080398,-0.0446257705969086,-0.782718463389679,1.18394536484761,1.97144110509874,1.18394536484761,-0.409446307595417,1.63842508321521,1184.3163064992,271.350710769428,0.00416593593005196,668.640725014913,153.210665341499,-0.00122992208672375,0.00627011140099135,-0.0527427729476999,0.0220613610787862,-0.0527427729476999,-0.00327838016303324,-0.000173380395718065,-0.2000798297316,-10.7830879305976,-2.35440589720828,-0.0363715987636645,-0.00784182975618124,0.0123320722001074,-0.00454544788361329,0.00627206707635226,-0.00176024445000268,0.00508186654663354,0.00317295703402387,-0.000640191715800657,-0.00706280971196509,-0.0105393089529188,0.00764206443904085,-0.00844618541606193,0.0246842158684568,-0.032749715729534,-0.0133013245208448,0.0099962051458571,-1.01769925476999e-18,0.000290622147889381,-43274312.7222624,-10407.630687197,-8.91526631400506,-54.0350822480081,55004.2549172296,125.4421749689,0.0479283701859472,33013.2655002591,75.5014800431786,-17.0801433161826,3.03531105374543e-06,2.15128790519511e-06
"GPC017760",-1.33573093964995,-1.77539399711815,-1.33573093988608,-1.77539397609205,-35.5087102035276,5.98390004661458,0.199884771193105,1.27738727769489,4.04151373714363,1.34769106022186,2879.6269945858,0.952446111936675,3.69244066707669e-25,1.17972979238203e-26,-1852123.59062143,-466.895677743533,-1.21914880509268,-0.0985633214685596,-0.024184899190457,-0.349666733800959,-0.279836165819894,-0.36082185579662,-0.0485789783533018,0.15683914887279,0.256851125566002,0.256324009504402,0.256851125566002,0.231320190959666,-0.23466679570104,-1197.54459865797,-289.878141844944,-0.0288664919266806,-597.006593940427,-147.727469895869,0.0112369924147105,-0.00411766574692528,-0.00934453999052934,-0.00731703884146414,-0.00934453999052934,0.00765460711843158,0.0121286523216462,0.182616398898989,-17.0459876078214,-3.14264132752519,-0.0172372854841151,-0.0159307480550371,0.0138449093383997,0.00246641462638758,0.00596634698291562,-0.00168830691033758,-0.000193398820694785,0.000566479832475214,0.0026360187769565,0.00451838123179119,-0.0092562268256179,-0.000772435728651398,-0.0153336657881189,0.0320847686414764,-0.0132655546782003,-0.0185445117316831,-0.00337967920305574,-1.17959211195248e-26,0.000653693924530885,-106075669.168749,-26617.8455154591,-11.4878760922078,-57.5266081023402,-79225.7074195099,-191.700390641466,-0.0689545494219294,-33646.0902363831,-82.2783809870302,-6.25459969947694,3.46087091486925e-06,6.55581806822769e-09
"GPC049320",-4.91426737825984,-9.41382419061504,-4.91426737640161,-9.41382419581186,295.056991662582,-4.9786851552621,-2.32025614921853,-0.757807975892095,-46.5712823952029,-1.98473964422709,-6705.45290224907,-1.43918715048195,-2.71855269171476e-24,-1.28540180124052e-26,-222319.203244959,-42.8949406101515,-1.77902177677902,-0.92339484865561,0.00308978640225676,0.00463608044227836,0.0270575080258268,0.0104462538918962,-0.0083836747997661,-0.44326622962189,1.03861141630822,1.19637790382739,1.03861141630822,0.218305316824531,0.579647764278861,2246.27476090766,627.462903095929,0.0261159633876312,1206.64352527557,338.560687524042,-0.00870095323871444,-0.00851939131516938,-0.0473566080079909,0.0103747542738926,-0.0473566080079909,-0.00916246273591529,-0.008969016942605,-0.846953106477165,-47.256499816785,-8.64526151547363,-0.0257887028358718,-0.000225513479934213,0.0095752550922182,-0.00957555945139319,0.00494561390646596,0.00155150978681647,0.00330821681821164,0.00315207815161154,-0.00197986170854388,-0.012034192882776,-0.0120190399917395,0.0160829552846694,-0.014536504953659,0.0300097244478304,-0.0198629108866414,-0.0144478520698872,0.0010793305906935,-1.46405942863373e-27,-6.19721210028776e-05,5557150.50181797,2567.94708144222,-10.073770247347,-79.7604901093133,124667.100477773,349.643277677228,0.108400989927122,66865.8157434869,187.363687738675,-46.6413559797384,5.65012069912791e-14,2.13619170819502e-14
"GPC043310",-5.48084204988603,-3.78200703099633,-5.48084205083878,-3.78200703874343,-32.4308774939061,3.59248299860801,-1.10670769911135,3.89274085045311,-17.8733067792524,-1.18061296472485,591.969415388895,0.997277716789269,-4.41726934357056e-16,2.29956040638567e-18,-1157459.36606145,-327.969823138802,-0.755067068580048,-0.344246189668031,0.0228725944067861,1.12042284593387,1.08545273595323,1.09578634811955,-0.00555436946363979,0.459869630542415,1.34622127902303,1.01558655573068,1.34622127902303,-0.178039442469779,1.15216543760587,-476.859314947707,-122.389344828068,-0.0205178624763376,46.3226631487158,11.6056279763957,-0.0386885693123373,0.00301185797234888,-0.0395195856350366,-0.0183612816155834,-0.0395195856350366,-0.0400863616743772,-0.0391013110405291,-0.081522439636352,-20.6917804288956,-4.06859375614153,0.00152662462346388,-0.00367707088953034,-0.000638257463959336,0.00939959990985731,-0.00346293789431559,-0.0019495873242094,-0.000728793208977983,-0.000234673012520346,0.000999880131984746,0.00757814029485346,-0.0013641084443141,-0.00892072137497039,0.0174968053292799,-0.0230697608612951,-0.00331272538607894,0.00992436579798421,0.0096207342301882,5.46458783177627e-18,0.000352261990506344,-59633482.6176454,-16671.4042181844,-8.70670938414578,-39.3619682113296,-20779.0524373282,-53.6495729584789,-0.0180138879145696,2999.95193597735,7.98399309673118,-13.1538656005725,-7.52471193289918e-06,9.29154156076779e-06
"GPC003320",2.198335717008,2.62403651577113,2.19833571640838,2.62403651823234,-56.5998641972502,-0.343804844870781,2.25464703459553,-2.08413202028023,36.6370624839958,2.67060274130529,3977.40563889648,1.04014264032836,2.10355931477735e-25,1.01233890908688e-26,157372.155681199,55.9174046275906,0.411325828481762,-0.134396873421066,-0.0161608330709854,-0.620041882086803,-0.637469471595761,-0.63888952194694,0.000518504543352,0.036283117825328,-0.894102310512295,-0.677051724911749,-0.894102310512295,-0.295885860968211,-0.28019020052163,-391.03773849849,-90.8731431738568,0.000409129416612978,-340.180887622005,-80.8696982890017,0.024237808625902,0.0123042197525611,0.0401103295349703,-0.00248485017979779,0.0401103295349703,0.0253837175965653,0.0247243743430997,0.389081963935917,0.57436201477556,-0.414511040262466,-0.0049668961121775,-0.0109158847756221,-0.00400643865826283,0.0154271309412905,-0.0057252062730233,-0.00559839719187781,-0.000496812465053895,0.00075396281344244,0.0048669911838731,0.0125908458487864,-0.00490029269867107,-0.0155518536046166,0.014006954124343,-0.0246014816745397,0.0158019072612935,0.00968542558502269,0.00011866305500747,-1.01201846004398e-26,0.000826495407898648,5345492.10567722,2409.37394662658,2.90964172870387,18.1520433987028,-24875.756736243,-56.3973651368708,-0.0216283968985968,-18701.5246805835,-44.1536234452959,18.8238724415426,-7.02501535319346e-14,-1.4346871751091e-14
"GPC123750",-0.146107694132652,3.60777219405038,-0.146107693943027,3.60777220412105,-42.3279957369334,-1.39356902211268,2.54126136515551,-2.15582178845017,43.2790557150375,2.96782411675862,4811.69948314402,0.315025333381828,-5.19276951527605e-16,2.52194836137657e-18,-26614.143812377,50.3010436009429,0.026621592358217,-0.0921746298396761,-0.0105120168025594,-0.0303434252936948,-0.0322755014935131,-0.029021702997777,0.00491748484187941,0.0706709822292549,-0.311680629967991,-0.214545107471722,-0.311680629967991,0.0270533446522291,-0.237288173082693,-193.191039518189,-13.9839971215225,0.00489912117450471,-136.50735782315,-16.9535254651536,-0.000967069310652777,-0.00594531094534963,0.0075632901191226,-0.00401429789537568,0.0075632901191226,-0.00145026318731625,-0.00105844953706212,0.344901073799515,0.249312566342717,0.291193978490139,0.0109340796843469,-0.00388278089160624,-0.00296415402840562,0.00476632320518674,-0.00291322256883673,-0.00192221149420453,-0.00105672382096621,-0.000100451174963854,0.00222616392958799,0.00604560512298056,-0.00160217275033813,-0.0063402293877216,0.00732166694944227,-0.011044318242446,0.0110042094994656,0.00160795677532191,-0.00226253860746647,-5.40796859532177e-18,0.000307290661762004,-7396074.05061017,994.494928499128,-0.0468952999065047,2.81164053429847,-15242.6870988394,-18.6701330156361,-0.0132179181800543,-10067.5965208828,-15.4865573866224,6.31072075943016,-3.98161633669013e-05,-6.32318115355224e-06
