"","DASanthesis_BLUP_GBLUP","DASmaturity_BLUP_GBLUP","DATanthesis_BLUP_GBLUP","DATmaturity_BLUP_GBLUP","fruitno_BLUP_GBLUP","fruitlength_BLUP_GBLUP","fruitwidth_BLUP_GBLUP","fruitshapeindex_BLUP_GBLUP","fruitweight_BLUP_GBLUP","yield_BLUP_GBLUP","pollenconcentration_BLUP_GBLUP","pollenactivity_BLUP_GBLUP","leaftemp_BLUP_GBLUP","leafminushobotemp_BLUP_GBLUP","growthrateplot_BLUP_GBLUP","growthrateplant_BLUP_GBLUP","height_BLUP_GBLUP","heightmax_BLUP_GBLUP","leafangledaily_BLUP_GBLUP","leafanglemean_BLUP_GBLUP","leafanglenoon_BLUP_GBLUP","leafanglemidnight_BLUP_GBLUP","leafanglemidnightminusnoon_BLUP_GBLUP","leafanglebright_BLUP_GBLUP","leafanglelow_BLUP_GBLUP","leafanglelowminusbright_BLUP_GBLUP","leafanglecold_BLUP_GBLUP","leafangleHot_BLUP_GBLUP","leafanglecoldminushot_BLUP_GBLUP","leafareadaily_BLUP_GBLUP","leafareadailyplant_BLUP_GBLUP","leafareaindex_BLUP_GBLUP","leafareaprojecteddaily_BLUP_GBLUP","leafareaprojectedplant_BLUP_GBLUP","leafinclinationmean_BLUP_GBLUP","leafinclinationhot_BLUP_GBLUP","leafinclinationcold_BLUP_GBLUP","leafinclinationbright_BLUP_GBLUP","leafinclinationdark_BLUP_GBLUP","leafinclinationnoon_BLUP_GBLUP","leafinclinationmidnight_BLUP_GBLUP","lightpendaily_BLUP_GBLUP","lightpenmeanplot_BLUP_GBLUP","lightpenmeanplant_BLUP_GBLUP","huedaily_BLUP_GBLUP","huemean_BLUP_GBLUP","huebin0_BLUP_GBLUP","huebin1_BLUP_GBLUP","huebin5_BLUP_GBLUP","ndvimean_BLUP_GBLUP","ndvibin0_BLUP_GBLUP","ndvibin1_BLUP_GBLUP","ndvibin2_BLUP_GBLUP","ndvibin3_BLUP_GBLUP","ndvibin4_BLUP_GBLUP","ndvibin5_BLUP_GBLUP","green_BLUP_GBLUP","greenb0_BLUP_GBLUP","greenb1_BLUP_GBLUP","greenb2_BLUP_GBLUP","greenb3_BLUP_GBLUP","npcimean_BLUP_GBLUP","psrimean_BLUP_GBLUP","biomassfinalplot_BLUP_GBLUP","biomassfinalplant_BLUP_GBLUP","heightfinal_BLUP_GBLUP","heighmaxfinal_BLUP_GBLUP","leafareafinalplot_BLUP_GBLUP","leafareafinalplant_BLUP_GBLUP","leafareaindexfinal_BLUP_GBLUP","leafareafinalprojectedplot_BLUP_GBLUP","leafareafinalprojectedplant_BLUP_GBLUP","lightpenetrationfinal_BLUP_GBLUP","biomassAUC_BLUP_GBLUP","biomassAUCperplant_BLUP_GBLUP"
"GPC000040",5.42220372987177,2.75412435115318,5.42220372954413,2.75412436614043,-48.2275080804619,-0.0762703900851781,2.72336486595104,-2.18657038159345,40.6560361869136,1.86720808953146,1753.67829668313,0.272933588875665,-1.16967852155513e-15,7.37463467497864e-18,-704116.580105336,-182.533948427128,-0.112164455678193,-0.682609053241305,-0.0226703094243077,-0.405767639392883,-0.405910818802245,-0.424617286538362,-0.0114207619970551,0.160410488986548,-0.89899009309881,-0.893556523578422,-0.89899009309881,-0.11811791707265,-0.542709092594428,-919.850063287994,-227.416007461015,-0.00736360889414097,-622.478902332659,-153.255478676918,0.0155551835192522,0.00779231808933415,0.0385393846077131,-0.00671521165212141,0.0385393846077131,0.0160583345056249,0.0169626984623064,0.460394311833711,-0.395311702985122,-0.371545765614063,-0.0192170001812884,-0.0181330057907675,0.00213344883726426,0.0181140287464617,-0.00209185791253068,-0.00834077151656861,-9.79595421101983e-05,0.00168361379165493,0.0069855510554635,0.018084034629067,-0.0115883489590559,-0.0209193629361374,0.000463975014070962,-0.002129707311566,0.0102671678996271,2.39927173952908e-05,-0.0031532392387096,-4.22265091208828e-18,0.00122209757815514,-51036331.777124,-13208.1155789589,-2.59295288882517,-29.6124971986571,-59325.173365931,-147.995384961181,-0.0515797302984306,-33996.7820022985,-83.4888566448132,23.3009855967844,-3.71617439832194e-05,-6.91201602687356e-06
"GPC000160",1.78268553055282,5.82767263502562,1.78268553068524,5.82767262107844,-48.8373608401705,0.233140773653147,3.84167030053727,-2.35143157590678,103.616631710723,5.74281489622237,4810.77631389418,-1.23161951411787,-3.32529647072308e-18,-3.03463609341132e-21,-1936368.69595445,-542.098115130491,-1.67966070841778,-0.945382812138157,-0.00478921556700666,0.943811364287295,0.890287168885251,0.928950994975962,0.0182516469923586,0.592872600416758,0.392243026435914,-0.246435648926084,0.392243026435914,0.418200755149325,-0.347007090856701,-877.732007236948,-252.750961560822,3.70585356714411e-05,-349.634579635187,-102.792192890162,-0.0356538043251955,-0.00780815292209838,-0.0199906939586877,-0.0210046659746918,-0.0199906939586877,-0.0342153449287029,-0.0346290243760143,0.0804519971261282,-34.564466814552,-7.60845171306317,-0.0175372643989716,-0.0138080776931029,0.00752093116607376,0.00822215976751151,0.000615076263912427,-0.00396152100909501,-0.000864827343495909,-0.000320839956820697,0.00320547102389512,0.0126708898971595,-0.00484165773920351,-0.0128109369019592,-0.00886864340148893,0.0230623807097994,0.00304812074353944,-0.0158937210577171,-0.00780443384206311,-1.10544787417605e-19,0.000623535388977509,-105901157.843824,-29169.4517518321,-13.2648403984134,-82.2673090742122,-46535.7994803635,-136.884549176539,-0.0405106730733197,-15963.6040476275,-48.5563306926418,-15.4617535869934,2.28394210346432e-07,-4.70482326962239e-08
"GPC000280",-3.39775671298712,2.81541835308318,-3.3977567133364,2.81541836214921,-46.6067883355297,-1.2924081738243,2.35908544030874,-2.24616039246478,36.5739994785657,1.67065785966127,-38.8737725270697,-0.664434620814561,-7.22811226716674e-17,4.32382700791569e-19,-1458648.00700296,-412.640202318128,-0.842990901040876,-0.470937332620582,-8.19660150962618e-05,0.560099623709941,0.49928071877214,0.536867432908028,0.0202429711728817,0.563892335734768,-0.213587797725774,-0.856646176775327,-0.213587797725774,-0.0856215437278701,0.0128961015956216,-1365.56529172545,-362.280353489183,-0.0191240145495285,-670.209944013558,-176.390983421727,-0.0230460219123426,0.00275449554128949,0.00565516770764592,-0.0228309279628222,0.00565516770764592,-0.0214339532759385,-0.0230009945622251,-0.0076919611538059,-16.8321593493927,-3.69438771449135,-0.00723832988407194,-0.0137920723147103,0.00582010575834219,0.0121111338318884,-0.000266970359425151,-0.00482916257352134,-0.000595192622938953,0.000656231452854121,0.00376313129663559,0.0126208818742588,-0.00639371266342799,-0.0147194355668124,-0.008744947052757,0.014942223779231,0.00944544088813064,-0.00973905471196365,-0.00875091709644942,-3.51243424184268e-19,0.000695486183195703,-73789678.5949045,-20567.9626949064,-4.92314527280167,-21.8022486477497,-64814.5488267851,-175.174212462239,-0.0564340859513259,-28832.6126586806,-77.0265469705387,-14.3609301128006,-1.96520371405189e-06,-4.53243365515405e-07
"GPC000300",4.81702767080378,4.53545805214525,4.81702767053108,4.53545804521112,-48.5197226571073,-0.527112474566385,2.69964149204473,-1.94663887041565,70.5277175312591,2.12027461792874,2055.39477963414,-3.25724009830381,-2.48625576495312e-17,1.40885168315261e-19,-1239844.44221661,-320.157217610866,-0.44668846730634,-0.138506466381209,-0.019958604073304,0.865364434219537,0.818077991104358,0.867063290791903,0.0260557557534511,0.902190692490481,-0.104499078756252,-1.57065263960399,-0.104499078756252,0.114852686435745,-0.0851760023063756,-692.592423644362,-189.580009502247,-0.00572925127359513,-359.358611482802,-97.6185697914229,-0.0313553019817595,-0.00404389191545253,-0.000787978552634136,-0.030512412048099,-0.000787978552634136,-0.0306188884611194,-0.0318496893188064,0.370534359953663,-12.7159345183257,-3.04188931077509,-0.0160008363067804,-0.014629619348959,0.005024419083213,0.0104695813709655,-0.00164988717480571,-0.00555192186900506,-0.000552373029933204,0.000511606757247011,0.00431327591172782,0.0151842573744222,-0.0091731206903303,-0.0164302965690997,0.00347848863438744,-0.000253805055026066,0.00445708952173361,-0.00317859347495386,-0.00302877433383263,-1.58356403047398e-19,0.000762659340818911,-70857591.7803729,-18456.7854140514,-4.80136617732892,-42.8432695120542,-36716.4953771475,-104.076779240539,-0.0319008845011228,-19416.2847347763,-53.7842260695281,-0.174589486813327,-5.72893008778966e-07,-1.65362585900792e-07
"GPC000760",7.62941480586213,6.39029666778651,7.6294148050619,6.39029665079903,-47.8673868400472,0.744446107613791,3.10621860015333,-2.32407363961914,52.7023098408204,3.87505084188782,2296.70650143807,1.3422534025513,-4.271870761391e-17,2.45795646319636e-19,316813.661190366,22.856853998699,0.0592385816623504,-0.353317121868228,-0.00783394643052247,-0.208946937540516,-0.244915796578211,-0.202574792864411,0.0251776046299873,0.110445013005572,-0.769919102134758,-0.714815648624033,-0.769919102134758,-0.0349174842308327,-0.534790649592201,83.4528418825295,11.0527170966091,0.0143787440810136,-71.7143380446965,-22.370077635433,0.00854976464634981,-0.000781583804571938,0.0329653892001955,-0.00476104234665819,0.0329653892001955,0.0100289585429844,0.00728289970561484,0.0373837901787119,-3.58596952879353,-0.815066147821027,0.0154331178795782,0.00130310424267243,-0.00442213643515777,0.00289306921776377,-0.000336950082495027,0.00118221507932306,-0.00130331690081914,-0.00168901613929039,-0.000226572878671701,0.00131851213867227,0.00217216716414638,0.00102911204560539,-0.00344956794411548,0.00632831693790202,0.00790566638380595,-0.00396263936347172,-0.00388700229111213,-2.44695244975445e-19,3.55460499723608e-05,25290314.087387,3875.66948445253,0.816083066285345,-12.121019695369,16805.0619729655,37.2272013994125,0.0146915807871195,2796.19148151365,4.73973526432242,-0.57607717478253,-1.02292595556486e-06,-2.78735822320957e-07
"GPC001360",-4.91205628162507,-8.64664819142942,-4.91205627952771,-8.64664818393907,116.979059025962,-4.60983173607587,-2.08640256162801,-0.750042644816674,-44.0178996165097,-0.383199157566671,-5517.87417472378,-1.9530282266839,2.00755674569991e-16,-1.21525398176407e-18,-442587.024600741,-110.999493923491,-2.1179024815468,-1.98760495217474,0.00683021083953959,0.281191447877336,0.302746349645753,0.276432953829556,-0.0154295441150644,-0.268058620744088,1.96293187513936,1.71344940616684,1.96293187513936,0.31686109087578,1.18747397094644,2795.52836233107,720.261005331197,0.034096039758024,1560.56461130824,400.94234483997,-0.0238659959594151,-0.0123261016420088,-0.0861246684479872,-0.000359480356214315,-0.0861246684479872,-0.0241341126949451,-0.022994191422325,-0.69425938389974,-58.5251007773524,-11.6993956281379,-0.0242053151439088,-0.00461688126499204,0.00901125141593043,-0.00915553578177503,-0.000265190561186592,0.00247224584369219,0.00280220497768994,0.00241893136595012,-0.00284917621650858,-0.0113904850645094,-0.00945300393933882,0.0166039138364995,0.00717868668043302,0.00488940501103015,-0.0221952667825127,-0.00594656070964669,0.00870614720316806,9.14497089709427e-19,9.42332795265984e-05,-7637165.41408427,-1818.63486100981,-13.2381512895004,-136.432075349079,157139.187364718,409.768453887124,0.13671866405157,90945.3508147366,234.414643594647,-53.5227104146016,5.65675046906433e-06,1.24233329725906e-06
"GPC001460",-1.79600332934502,-4.12488606236871,-1.79600333086835,-4.12488608247186,-28.8219411151064,-5.1205074230683,0.518981183217586,-2.29747478716144,-13.7407640706545,-0.772267168759488,-1459.81425312829,-0.781374815206088,3.29218067835986e-17,-2.22199363008566e-19,169812.414685817,12.7839647046445,0.688562153177609,0.453092196911411,-0.00295987915583697,-0.399495557246242,-0.383357447766505,-0.389819102486662,-0.00265637396707008,-0.183300691455137,-1.07305657862947,-0.621764687113542,-1.07305657862947,-0.395544933557199,-0.451772408181837,-806.834236572318,-214.438344169993,-0.00218773301462144,-516.840092815782,-134.583546371174,0.0190487502709866,0.0106228228742681,0.0481719015135596,0.00429278786184144,0.0481719015135596,0.0188408543775139,0.0185439421442031,0.0174917579803858,11.7491457258992,2.40800433922672,0.0194434101061084,0.00437702536338114,-0.00848429008776659,0.0073461154770468,-0.004666360125723,9.389242863741e-05,-0.000986038407280747,-0.00140612293817888,-0.00140829366601619,0.00249758164823564,0.0116230774539992,-0.0077261713074295,0.00860212192001946,-0.0232908355856108,0.0181441163669724,0.0124952529485474,-0.000924846488267833,5.90123481017479e-20,-0.000116085043818256,-6539559.28579992,-3252.69276429577,7.29629407998784,40.0363208596606,-50791.7242289561,-137.213833829002,-0.0441646073865959,-38227.9361682604,-99.1559817929968,8.87519601823291,1.24920361847661e-06,1.77835129909083e-07
"GPC001490",1.8326031014288,1.44843365777534,1.83260310125332,1.44843368181375,-26.2933847302361,-3.81786865771632,2.39326870966573,-2.65715373485264,54.2031169681765,2.77139698540474,3687.76600010507,-1.03893001582089,-5.83488974304575e-17,3.46889061090602e-19,-267986.839791809,-32.6357591354142,0.280245407813283,-0.353537477645024,-0.0013124315770935,0.465841355194882,0.451759897027981,0.454878044943213,0.00249037192244157,0.366712760622143,-0.068712817318284,-0.196148803197827,-0.068712817318284,0.107221076131063,-0.0315335464827688,-584.384705140372,-157.466265366415,0.00129019094445407,-234.398710665644,-64.1524175513668,-0.0193402376338575,-0.00507056857821598,-0.000777468297742175,-0.013901359582111,-0.000777468297742175,-0.0190807141547249,-0.0199949259977666,0.259461631894983,-22.8620874068318,-5.15563053281166,-0.00654126704469761,-0.00980312986827326,0.00300673548791195,0.00551604106594378,-0.00136678027183428,-0.00218547189604069,-0.000743458606741492,-0.000738318437257757,0.00153396467591184,0.00817735596947485,0.00106623863408356,-0.00840177740426189,-0.0091671566586089,0.0174701631901549,0.0141834706250665,-0.0151858073335182,-0.0123728094807322,-2.95898003143716e-19,0.000400498670560772,-24761099.6386543,-5145.40714783937,0.217450561525745,-16.9748792291314,-32738.2063401635,-90.1269393182823,-0.0284599115319994,-12300.9746327556,-34.3727296413222,-6.85431746421013,-1.56026529184479e-06,-3.68664158716197e-07
"GPC002420",2.7904520889633,5.66902179576016,2.79045208885932,5.66902178263296,-48.2970051859586,0.198601150888696,3.79606254364979,-2.23956539082387,103.229129596128,6.08523044798973,4454.39327045769,-1.76322340148293,2.79683583319492e-18,-3.96644546642806e-20,-1886871.90048231,-520.386686615971,-1.8200912015244,-1.04008990141372,-0.00438672860349384,0.970693328473939,0.91570093911227,0.955926442439151,0.0190650832353999,0.578972387333119,0.426326455748042,-0.169725644884265,0.426326455748042,0.446632458014942,-0.350733848906374,-680.495415941744,-196.986738788033,0.0018250940053839,-231.29885434765,-70.0116527102683,-0.0367787657909556,-0.00938541429282834,-0.021740567125763,-0.0198119983527677,-0.021740567125763,-0.0353936032127576,-0.0357130924621076,0.0199290158591465,-34.2520284922756,-7.48026387657598,-0.0182159034808657,-0.0140258173088372,0.00826656903626071,0.00757478366271542,0.00101509035545762,-0.00397014714697129,-0.000837671097632468,-0.000244557827653695,0.00319800721982165,0.0126943212128728,-0.00524524627390581,-0.0127129815490276,-0.00856831539495982,0.0236161196267231,0.00162044477138464,-0.0163059979436462,-0.00754232187578628,-8.20658065594002e-20,0.000616640233139903,-103478565.337304,-28170.3900658017,-14.2311287166836,-87.5569288667192,-36956.2000358998,-109.414573758631,-0.0321707088812284,-10505.9797828578,-33.308472775513,-18.0780505121481,3.93470546231366e-07,-8.78857406789316e-09
"GPC002430",0.400899786941491,6.08183780598781,0.40089978678349,6.08183779986419,-46.9674122427813,-0.213421337465627,3.65226591717445,-2.43557018016894,93.6979664337758,7.14462846262756,5059.58817069455,0.0326408896325467,1.63288278195737e-17,-1.25905317909911e-19,-223334.662709628,-65.4184188995197,-0.138570367763644,-0.227094938523941,-0.0116883051572206,0.176738312444405,0.15873881447343,0.163324005607802,0.00358275165500461,0.183576801317471,-0.633884143675677,-0.754841837821014,-0.633884143675677,0.0882802842873638,-0.623968568044349,-157.570576461925,-52.2724682498205,0.0179302875248303,-83.0713390284591,-28.1895163579919,-0.00818255045684507,-0.00426836986353366,0.0198909476690131,-0.00773048260788665,0.0198909476690131,-0.00763105633158413,-0.00771929770146653,0.20856293044376,-13.6897270669454,-2.95736364210314,-0.00429114937458661,-0.0118950925109952,-0.000254473145633446,0.0159657094419944,-0.00340856558444222,-0.00342702256431932,-0.000987734381126549,-0.000522369138113342,0.00227927779314215,0.0109901988615106,0.00138185312623744,-0.0141472684743467,0.00952715581350154,-0.0155709967708312,0.0101098884449023,0.00397307099568191,0.00078204632990347,-3.54879556753068e-20,0.000665535409356049,-9919378.84412747,-2943.95945691026,-0.932430963998345,-14.5801869034343,942.855149433426,-4.36934341701839,0.00086926220347985,-1967.99463668841,-9.29175259693902,-2.33049225847424,8.37920494964706e-07,7.02645263106192e-08
