"","V1"
"DASanthesis_BLUP_GCorrLOOCV",0.633651673048787
"DASmaturity_BLUP_GCorrLOOCV",0.655504021087042
"DATanthesis_BLUP_GCorrLOOCV",0.633651673041848
"DATmaturity_BLUP_GCorrLOOCV",0.655504020870273
"fruitno_BLUP_GCorrLOOCV",0.537114712443108
"fruitlength_BLUP_GCorrLOOCV",0.745259376445571
"fruitwidth_BLUP_GCorrLOOCV",0.883528185154423
"fruitshapeindex_BLUP_GCorrLOOCV",0.649159980048882
"fruitweight_BLUP_GCorrLOOCV",0.82501739896593
"yield_BLUP_GCorrLOOCV",0.65413841328346
"pollenconcentration_BLUP_GCorrLOOCV",0.525394441106426
"pollenactivity_BLUP_GCorrLOOCV",0.252102928807211
"leaftemp_BLUP_GCorrLOOCV",NA
"leafminushobotemp_BLUP_GCorrLOOCV",NA
"growthrateplot_BLUP_GCorrLOOCV",0.585267347958237
"growthrateplant_BLUP_GCorrLOOCV",0.605322444228389
"height_BLUP_GCorrLOOCV",0.577133260599099
"heightmax_BLUP_GCorrLOOCV",0.49717584464716
"leafangledaily_BLUP_GCorrLOOCV",0.571207550738792
"leafanglemean_BLUP_GCorrLOOCV",0.408996009079015
"leafanglenoon_BLUP_GCorrLOOCV",0.401313914545464
"leafanglemidnight_BLUP_GCorrLOOCV",0.405875751284355
"leafanglemidnightminusnoon_BLUP_GCorrLOOCV",0.333234889106605
"leafanglebright_BLUP_GCorrLOOCV",0.274525353836706
"leafanglelow_BLUP_GCorrLOOCV",0.427348724668432
"leafanglelowminusbright_BLUP_GCorrLOOCV",0.515293535387969
"leafanglecold_BLUP_GCorrLOOCV",0.427348724668432
"leafangleHot_BLUP_GCorrLOOCV",0.177237010064593
"leafanglecoldminushot_BLUP_GCorrLOOCV",0.331693976928765
"leafareadaily_BLUP_GCorrLOOCV",0.52496789617373
"leafareadailyplant_BLUP_GCorrLOOCV",0.530771222411056
"leafareaindex_BLUP_GCorrLOOCV",0.401427957010645
"leafareaprojecteddaily_BLUP_GCorrLOOCV",0.582460413513175
"leafareaprojectedplant_BLUP_GCorrLOOCV",0.583771169395827
"leafinclinationmean_BLUP_GCorrLOOCV",0.410330759766255
"leafinclinationhot_BLUP_GCorrLOOCV",0.196572701534214
"leafinclinationcold_BLUP_GCorrLOOCV",0.411651838131817
"leafinclinationbright_BLUP_GCorrLOOCV",0.271747716000332
"leafinclinationdark_BLUP_GCorrLOOCV",0.411651838131817
"leafinclinationnoon_BLUP_GCorrLOOCV",0.404413979921606
"leafinclinationmidnight_BLUP_GCorrLOOCV",0.408011949211013
"lightpendaily_BLUP_GCorrLOOCV",0.484639112026883
"lightpenmeanplot_BLUP_GCorrLOOCV",0.458435463294423
"lightpenmeanplant_BLUP_GCorrLOOCV",0.440433755397431
"huedaily_BLUP_GCorrLOOCV",0.468382426319628
"huemean_BLUP_GCorrLOOCV",0.408309089633142
"huebin0_BLUP_GCorrLOOCV",0.461213323059813
"huebin1_BLUP_GCorrLOOCV",0.356450927205432
"huebin5_BLUP_GCorrLOOCV",0.495289201153012
"ndvimean_BLUP_GCorrLOOCV",0.447548830458081
"ndvibin0_BLUP_GCorrLOOCV",0.524175871270976
"ndvibin1_BLUP_GCorrLOOCV",0.420040628620833
"ndvibin2_BLUP_GCorrLOOCV",0.450692041796507
"ndvibin3_BLUP_GCorrLOOCV",0.536839668467074
"ndvibin4_BLUP_GCorrLOOCV",0.485456147815016
"ndvibin5_BLUP_GCorrLOOCV",0.478505142088564
"green_BLUP_GCorrLOOCV",0.355574515235977
"greenb0_BLUP_GCorrLOOCV",0.398767079333274
"greenb1_BLUP_GCorrLOOCV",0.643264506571854
"greenb2_BLUP_GCorrLOOCV",0.411116394866105
"greenb3_BLUP_GCorrLOOCV",0.208403082458756
"npcimean_BLUP_GCorrLOOCV",NA
"psrimean_BLUP_GCorrLOOCV",0.411621390692907
"biomassfinalplot_BLUP_GCorrLOOCV",0.596595629246039
"biomassfinalplant_BLUP_GCorrLOOCV",0.612924971322295
"heightfinal_BLUP_GCorrLOOCV",0.612243187178976
"heighmaxfinal_BLUP_GCorrLOOCV",0.524692139179775
"leafareafinalplot_BLUP_GCorrLOOCV",0.511593170100516
"leafareafinalplant_BLUP_GCorrLOOCV",0.515650553616503
"leafareaindexfinal_BLUP_GCorrLOOCV",0.511689493780043
"leafareafinalprojectedplot_BLUP_GCorrLOOCV",0.563438453718915
"leafareafinalprojectedplant_BLUP_GCorrLOOCV",0.562002527085047
"lightpenetrationfinal_BLUP_GCorrLOOCV",0.380418368739941
"biomassAUC_BLUP_GCorrLOOCV",NA
"biomassAUCperplant_BLUP_GCorrLOOCV",NA
