"","V1"
"DASanthesis_BLUP_GCorr",0.95449557782706
"DASmaturity_BLUP_GCorr",0.980640599148126
"DATanthesis_BLUP_GCorr",0.954495577822395
"DATmaturity_BLUP_GCorr",0.98064059923862
"fruitno_BLUP_GCorr",0.999999872643402
"fruitlength_BLUP_GCorr",0.989977294791315
"fruitwidth_BLUP_GCorr",0.980674630599716
"fruitshapeindex_BLUP_GCorr",0.976805298666
"fruitweight_BLUP_GCorr",0.94686936442232
"yield_BLUP_GCorr",0.947715444162557
"pollenconcentration_BLUP_GCorr",0.813615438388785
"pollenactivity_BLUP_GCorr",0.828052268053167
"leaftemp_BLUP_GCorr",NA
"leafminushobotemp_BLUP_GCorr",NA
"growthrateplot_BLUP_GCorr",0.954024588927342
"growthrateplant_BLUP_GCorr",0.97398529262046
"height_BLUP_GCorr",0.969900797551781
"heightmax_BLUP_GCorr",0.916187107676542
"leafangledaily_BLUP_GCorr",0.940813478391201
"leafanglemean_BLUP_GCorr",0.851107990915611
"leafanglenoon_BLUP_GCorr",0.846932792252342
"leafanglemidnight_BLUP_GCorr",0.849214214841242
"leafanglemidnightminusnoon_BLUP_GCorr",0.860634836887737
"leafanglebright_BLUP_GCorr",0.786116005079929
"leafanglelow_BLUP_GCorr",0.859409986891485
"leafanglelowminusbright_BLUP_GCorr",0.921230966174736
"leafanglecold_BLUP_GCorr",0.859409986891485
"leafangleHot_BLUP_GCorr",0.753243037842254
"leafanglecoldminushot_BLUP_GCorr",0.872549080422669
"leafareadaily_BLUP_GCorr",0.905460678059154
"leafareadailyplant_BLUP_GCorr",0.920434439648042
"leafareaindex_BLUP_GCorr",0.841989688347568
"leafareaprojecteddaily_BLUP_GCorr",0.930918251423751
"leafareaprojectedplant_BLUP_GCorr",0.938488234228083
"leafinclinationmean_BLUP_GCorr",0.834894715645328
"leafinclinationhot_BLUP_GCorr",0.706614801769036
"leafinclinationcold_BLUP_GCorr",0.82685106236568
"leafinclinationbright_BLUP_GCorr",0.795600402679216
"leafinclinationdark_BLUP_GCorr",0.82685106236568
"leafinclinationnoon_BLUP_GCorr",0.834745042937026
"leafinclinationmidnight_BLUP_GCorr",0.834560159172844
"lightpendaily_BLUP_GCorr",0.852150719106747
"lightpenmeanplot_BLUP_GCorr",0.939321214097979
"lightpenmeanplant_BLUP_GCorr",0.930664982025455
"huedaily_BLUP_GCorr",0.907760340655738
"huemean_BLUP_GCorr",0.81414680358451
"huebin0_BLUP_GCorr",0.947545141953693
"huebin1_BLUP_GCorr",0.844935779999175
"huebin5_BLUP_GCorr",0.995150464503159
"ndvimean_BLUP_GCorr",0.855177527601682
"ndvibin0_BLUP_GCorr",0.88887037585192
"ndvibin1_BLUP_GCorr",0.880026076380825
"ndvibin2_BLUP_GCorr",0.811409923448831
"ndvibin3_BLUP_GCorr",0.877575424531223
"ndvibin4_BLUP_GCorr",0.920152030196189
"ndvibin5_BLUP_GCorr",0.884014746299873
"green_BLUP_GCorr",0.990846382245059
"greenb0_BLUP_GCorr",0.980184617870373
"greenb1_BLUP_GCorr",0.963524753575633
"greenb2_BLUP_GCorr",0.965972567222378
"greenb3_BLUP_GCorr",0.966293911075844
"npcimean_BLUP_GCorr",NA
"psrimean_BLUP_GCorr",0.801768828156879
"biomassfinalplot_BLUP_GCorr",0.950778960785084
"biomassfinalplant_BLUP_GCorr",0.969515027340962
"heightfinal_BLUP_GCorr",0.971519907049773
"heighmaxfinal_BLUP_GCorr",0.929356319207072
"leafareafinalplot_BLUP_GCorr",0.884160129630058
"leafareafinalplant_BLUP_GCorr",0.905021421275051
"leafareaindexfinal_BLUP_GCorr",0.88437510089803
"leafareafinalprojectedplot_BLUP_GCorr",0.916023513401376
"leafareafinalprojectedplant_BLUP_GCorr",0.926725099891
"lightpenetrationfinal_BLUP_GCorr",0.855237886104624
"biomassAUC_BLUP_GCorr",NA
"biomassAUCperplant_BLUP_GCorr",NA
