"","V1"
"DASanthesis_BLUP_LassoCorr",0.937514717046629
"DASmaturity_BLUP_LassoCorr",0.950282393531281
"DATanthesis_BLUP_LassoCorr",0.952045294215709
"DATmaturity_BLUP_LassoCorr",0.949189832641421
"fruitno_BLUP_LassoCorr",0.978676417875845
"fruitlength_BLUP_LassoCorr",0.956588922767863
"fruitwidth_BLUP_LassoCorr",0.970943092868018
"fruitshapeindex_BLUP_LassoCorr",0.963088405363546
"fruitweight_BLUP_LassoCorr",0.946453446917887
"yield_BLUP_LassoCorr",0.93423049386727
"pollenconcentration_BLUP_LassoCorr",0.913210113360384
"pollenactivity_BLUP_LassoCorr",0.86911337634111
"leaftemp_BLUP_LassoCorr",NA
"leafminushobotemp_BLUP_LassoCorr",NA
"growthrateplot_BLUP_LassoCorr",0.985277251835728
"growthrateplant_BLUP_LassoCorr",0.968804625705742
"height_BLUP_LassoCorr",0.928519355333172
"heightmax_BLUP_LassoCorr",0.903826176428109
"leafangledaily_BLUP_LassoCorr",0.923295185379512
"leafanglemean_BLUP_LassoCorr",0.849681851478267
"leafanglenoon_BLUP_LassoCorr",0.892609067478258
"leafanglemidnight_BLUP_LassoCorr",0.81644095873557
"leafanglemidnightminusnoon_BLUP_LassoCorr",0.848309927905903
"leafanglebright_BLUP_LassoCorr",0.767264187678216
"leafanglelow_BLUP_LassoCorr",0.797098224893776
"leafanglelowminusbright_BLUP_LassoCorr",0.892349325010369
"leafanglecold_BLUP_LassoCorr",0.861724168653695
"leafangleHot_BLUP_LassoCorr",0.798552059933868
"leafanglecoldminushot_BLUP_LassoCorr",0.882503419023469
"leafareadaily_BLUP_LassoCorr",0.945619669317803
"leafareadailyplant_BLUP_LassoCorr",0.934023489296042
"leafareaindex_BLUP_LassoCorr",0.838570941194491
"leafareaprojecteddaily_BLUP_LassoCorr",0.94945866676324
"leafareaprojectedplant_BLUP_LassoCorr",0.92763569849176
"leafinclinationmean_BLUP_LassoCorr",0.776176915851997
"leafinclinationhot_BLUP_LassoCorr",0.741229879888523
"leafinclinationcold_BLUP_LassoCorr",0.771043456419686
"leafinclinationbright_BLUP_LassoCorr",0.810143653873814
"leafinclinationdark_BLUP_LassoCorr",0.841880326427291
"leafinclinationnoon_BLUP_LassoCorr",0.815502762437943
"leafinclinationmidnight_BLUP_LassoCorr",0.809997396559478
"lightpendaily_BLUP_LassoCorr",0.845919533214188
"lightpenmeanplot_BLUP_LassoCorr",0.953653523064268
"lightpenmeanplant_BLUP_LassoCorr",0.942891346235514
"huedaily_BLUP_LassoCorr",0.875091291809846
"huemean_BLUP_LassoCorr",0.823360923808967
"huebin0_BLUP_LassoCorr",0.900087754417605
"huebin1_BLUP_LassoCorr",0.893860317974268
"huebin5_BLUP_LassoCorr",0.969720594189948
"ndvimean_BLUP_LassoCorr",0.873150362191512
"ndvibin0_BLUP_LassoCorr",0.897925533986184
"ndvibin1_BLUP_LassoCorr",0.867665740463126
"ndvibin2_BLUP_LassoCorr",0.816920882889425
"ndvibin3_BLUP_LassoCorr",0.838419010645895
"ndvibin4_BLUP_LassoCorr",0.907000609365667
"ndvibin5_BLUP_LassoCorr",0.87229699201304
"green_BLUP_LassoCorr",0.941681283830695
"greenb0_BLUP_LassoCorr",0.925369325646714
"greenb1_BLUP_LassoCorr",0.936695232744936
"greenb2_BLUP_LassoCorr",0.910700678751886
"greenb3_BLUP_LassoCorr",0.938753820879411
"npcimean_BLUP_LassoCorr",NA
"psrimean_BLUP_LassoCorr",0.810696592542609
"biomassfinalplot_BLUP_LassoCorr",0.782463277915633
"biomassfinalplant_BLUP_LassoCorr",0.980927042705742
"heightfinal_BLUP_LassoCorr",0.9472940080212
"heighmaxfinal_BLUP_LassoCorr",0.91354884387919
"leafareafinalplot_BLUP_LassoCorr",0.992752760929113
"leafareafinalplant_BLUP_LassoCorr",0.934358461904854
"leafareaindexfinal_BLUP_LassoCorr",0.894171683250334
"leafareafinalprojectedplot_BLUP_LassoCorr",0.991049622772225
"leafareafinalprojectedplant_BLUP_LassoCorr",0.90898694176058
"lightpenetrationfinal_BLUP_LassoCorr",0.861880510208202
"biomassAUC_BLUP_LassoCorr",NA
"biomassAUCperplant_BLUP_LassoCorr",NA
