"","DASanthesis_BLUP_RRBLUP","DASmaturity_BLUP_RRBLUP","DATanthesis_BLUP_RRBLUP","DATmaturity_BLUP_RRBLUP","fruitno_BLUP_RRBLUP","fruitlength_BLUP_RRBLUP","fruitwidth_BLUP_RRBLUP","fruitshapeindex_BLUP_RRBLUP","fruitweight_BLUP_RRBLUP","yield_BLUP_RRBLUP","pollenconcentration_BLUP_RRBLUP","pollenactivity_BLUP_RRBLUP","leaftemp_BLUP_RRBLUP","leafminushobotemp_BLUP_RRBLUP","growthrateplot_BLUP_RRBLUP","growthrateplant_BLUP_RRBLUP","height_BLUP_RRBLUP","heightmax_BLUP_RRBLUP","leafangledaily_BLUP_RRBLUP","leafanglemean_BLUP_RRBLUP","leafanglenoon_BLUP_RRBLUP","leafanglemidnight_BLUP_RRBLUP","leafanglemidnightminusnoon_BLUP_RRBLUP","leafanglebright_BLUP_RRBLUP","leafanglelow_BLUP_RRBLUP","leafanglelowminusbright_BLUP_RRBLUP","leafanglecold_BLUP_RRBLUP","leafangleHot_BLUP_RRBLUP","leafanglecoldminushot_BLUP_RRBLUP","leafareadaily_BLUP_RRBLUP","leafareadailyplant_BLUP_RRBLUP","leafareaindex_BLUP_RRBLUP","leafareaprojecteddaily_BLUP_RRBLUP","leafareaprojectedplant_BLUP_RRBLUP","leafinclinationmean_BLUP_RRBLUP","leafinclinationhot_BLUP_RRBLUP","leafinclinationcold_BLUP_RRBLUP","leafinclinationbright_BLUP_RRBLUP","leafinclinationdark_BLUP_RRBLUP","leafinclinationnoon_BLUP_RRBLUP","leafinclinationmidnight_BLUP_RRBLUP","lightpendaily_BLUP_RRBLUP","lightpenmeanplot_BLUP_RRBLUP","lightpenmeanplant_BLUP_RRBLUP","huedaily_BLUP_RRBLUP","huemean_BLUP_RRBLUP","huebin0_BLUP_RRBLUP","huebin1_BLUP_RRBLUP","huebin5_BLUP_RRBLUP","ndvimean_BLUP_RRBLUP","ndvibin0_BLUP_RRBLUP","ndvibin1_BLUP_RRBLUP","ndvibin2_BLUP_RRBLUP","ndvibin3_BLUP_RRBLUP","ndvibin4_BLUP_RRBLUP","ndvibin5_BLUP_RRBLUP","green_BLUP_RRBLUP","greenb0_BLUP_RRBLUP","greenb1_BLUP_RRBLUP","greenb2_BLUP_RRBLUP","greenb3_BLUP_RRBLUP","npcimean_BLUP_RRBLUP","psrimean_BLUP_RRBLUP","biomassfinalplot_BLUP_RRBLUP","biomassfinalplant_BLUP_RRBLUP","heightfinal_BLUP_RRBLUP","heighmaxfinal_BLUP_RRBLUP","leafareafinalplot_BLUP_RRBLUP","leafareafinalplant_BLUP_RRBLUP","leafareaindexfinal_BLUP_RRBLUP","leafareafinalprojectedplot_BLUP_RRBLUP","leafareafinalprojectedplant_BLUP_RRBLUP","lightpenetrationfinal_BLUP_RRBLUP","biomassAUC_BLUP_RRBLUP","biomassAUCperplant_BLUP_RRBLUP"
"GPC000040",62.1277655387429,120.357310941514,20.1277655386399,78.3573109405628,7.00895178313236,9.31447336468644,6.07149272413775,1.55994526492774,81.3021478394023,18.6394930904377,30438.5073840317,89.8500888816304,26.55655095,-0.15699888,5770310.01390418,1448.88223053243,5.7401523314074,4.97252984559416,-0.0541937492897026,37.2064919490483,37.1236100310757,37.2414079825996,0.125395171321609,39.5539713864756,33.1513507946317,-6.23725068186481,33.1513507946317,40.4444967330336,-7.05906735581574,9955.7945412649,2510.64061664328,0.345485798664073,4410.31042689271,1113.4346245778,1.68616002255271,1.5916136308071,1.84843849442527,1.59624268757329,1.84843849442527,1.69083759369753,1.68531130167,2.49283042989528,182.647638995058,45.8749983763584,0.0214271710869711,107.927553209235,0.0722014938314484,0.650102542190479,0.0151686156509761,0.723903878473981,0.00965762127497924,0.0262889046509833,0.087007595331801,0.264754334350886,0.406874461665717,0.199544917793166,0.360512219830778,0.260171909524275,0.293684256852263,0.256471459054813,0.129556701740538,0.156260918,0.0390275080355353,295898724.616279,74209.8951312107,50.1155883355334,663.068853362913,587583.243794897,1480.65713502418,0.51099346903022,253932.302421338,641.288011023536,257.814833352184,6.53e+11,1.64e+11
"GPC000160",58.4877579482269,123.430854577797,16.4877579485928,81.4308545479203,6.42829886586071,9.624036968914,7.1897866368156,1.39506263508564,144.262609535689,22.5151500434088,33495.6041026226,88.3455358566465,26.55655095,-0.15699888,4537950.43768201,1089.34743362578,4.17259593392705,4.7097606185964,-0.0363131793519613,38.5560670643606,38.4198049812064,38.5949862484068,0.15506824274307,39.9864305011868,34.442552932663,-5.5900851350053,34.442552932663,40.9808112502134,-6.86336214516199,9997.91733112583,2485.29922889215,0.352886381121485,4683.15721629122,1163.89880781708,1.6349513470436,1.57601306551157,1.78990843913708,1.58195307194481,1.78990843913708,1.64056424079907,1.63371989940796,2.11287738060519,148.47795194669,38.6381386706113,0.0231070388242198,107.931878137242,0.0775888767624808,0.640210562395501,0.0178756005591698,0.728283087487896,0.00889075138806739,0.0242844739674243,0.0832275160682745,0.259341205819395,0.413621188302652,0.207653336719662,0.351179629645071,0.285363336871553,0.286465379740026,0.24055422572346,0.124905469982421,0.156260918,0.0384289467240327,241034420.197994,58247.1841157353,39.4437657590253,610.413905665385,600372.567718114,1491.76890098976,0.522062577978202,271965.467290377,676.220631860557,219.052062388645,6.53e+11,1.64e+11
"GPC000280",53.3072102781441,120.41860226536,11.3072102780301,78.4186022584929,8.62761478308907,8.09849402938958,5.70720999209548,1.50034923617589,77.2203865584381,18.4429674374509,28645.9556527218,88.9127207881771,26.55655095,-0.15699888,5015690.81937024,1218.80361979881,5.00928780384544,5.18417421607913,-0.0316061518665771,38.1723575664425,38.0288004411302,38.2028969584184,0.157059928364416,39.9574503327166,33.8367497832411,-6.20037658755993,33.8367497832411,40.4769940505538,-6.50346946746906,9510.09280638023,2375.75971023743,0.333725140892655,4362.5986655115,1090.30411453135,1.64755897584209,1.58657582378262,1.81555428265836,1.58012677924005,1.81555428265836,1.65334546049283,1.64534778644839,2.02473718844737,166.210726338822,42.5521660466497,0.0334061324193123,107.93189414232,0.0758880354169598,0.6440997153478,0.016993672145982,0.727415499451427,0.00916039050546842,0.0252614916439625,0.0837851756891463,0.259291175248885,0.412068859256248,0.205744851321507,0.351303159598078,0.277243236193526,0.292862622027093,0.246708651253671,0.12395900850072,0.156260918,0.0385008967569108,273145781.17918,66848.7487674653,47.785423235014,670.879293699194,582093.684817259,1453.48103081262,0.50613930164351,259097.349316132,647.751376076348,220.152891081174,6.53e+11,1.64e+11
"GPC000300",61.522426540286,122.138646160872,19.5224265402409,80.1386461379959,6.7234938085709,8.863863331115,6.04775058139491,1.7998585129579,111.174171149057,18.8925199726682,30740.2233028011,86.3199132823888,26.55655095,-0.15699888,5234568.14930297,1311.26296883416,5.40565238724879,5.51656293383274,-0.0514807998765931,38.4776217734368,38.3475971181488,38.5330947813918,0.162872841021319,40.2957423015477,33.9458463176329,-6.91453721922271,33.9458463176329,40.6774676056131,-6.60153873490627,10183.0597288897,2548.46693930779,0.347119939454013,4673.44733221258,1169.07587242496,1.6392496785582,1.57977740449319,1.80911113033559,1.57244503407873,1.80911113033559,1.64416052905354,1.63649908812046,2.40298089894743,170.327453564587,43.2046241356253,0.0246435536804815,107.931056595363,0.0750924715154731,0.642458156286049,0.0156104214181218,0.726692753410184,0.009203206690237,0.0251168731766112,0.0843353200301553,0.261854536035835,0.409289274937454,0.204033994032167,0.363528127751019,0.262053833641928,0.287874262786431,0.253266874927696,0.129680967446658,0.156260918,0.038568069585195,276077547.236113,68960.9192016868,47.9071228594251,649.838384263524,610191.79896764,1524.57767926935,0.530672440452347,268513.910570104,670.99393884747,234.339266161863,6.53e+11,1.64e+11
"GPC000760",64.3349434360039,123.993491878097,22.3349434354289,81.993491845154,7.36252959621818,10.1356213191759,6.45435202484043,1.42242959586372,93.3482301258365,20.6473850576604,30981.5350523695,90.919409862074,26.55655095,-0.15699888,6791161.25605711,1654.30716257015,5.91147738499844,5.30185312189006,-0.0393584573909156,37.403313380555,37.2846058216329,37.463448935305,0.161994597528618,39.5040062836539,33.2804151582625,-6.05848362522593,33.2804151582625,40.5276966888446,-7.05115582964833,10959.0942166307,2749.11181502397,0.367228200418858,4961.06712835356,1244.31836486297,1.67915453714691,1.58303967711665,1.84286450183784,1.59819690762206,1.84286450183784,1.68480813473051,1.67563146576202,2.06981261834778,179.456783240138,45.4314922395642,0.0560782818822933,107.946989321108,0.0656459521344508,0.634881254143617,0.0169237017145458,0.733426741556525,0.00845225317219317,0.0229163516135761,0.0797954732177722,0.24798886789469,0.42063523916229,0.221493367728819,0.356598368248906,0.268627470487052,0.291322932881075,0.252485728505906,0.128822924976855,0.156260918,0.0378409597093338,372225677.43455,91292.1649537761,53.5247161734212,680.560074795436,663713.617752658,1665.87829847836,0.57726463834284,290724.662164109,729.516070675989,233.93775243179,6.53e+11,1.64e+11
"GPC001360",51.7930928251835,108.956531004621,9.7930928275129,66.9565309961875,172.190368780412,4.78127663912121,1.2617227338012,2.99646166716045,-3.37178893723759,16.3892527942244,23166.9536405082,87.6241271079646,26.55655095,-0.15699888,6031824.63864457,1520.42562453125,3.7343739783023,3.66755627528856,-0.0246937608896839,37.8934524406119,37.8322684178169,37.9424548862463,0.121387004536981,39.1255023809353,36.0132527354277,-3.6302208851044,36.0132527354277,40.8794744386861,-5.32889823415816,13671.1586101855,3458.33062174432,0.386945603485041,6593.33162966927,1667.62839392808,1.64673878267088,1.57149514357221,1.72377445832147,1.60259830613406,1.72377445832147,1.65064509085336,1.64535436465508,1.33817466418054,124.517298192675,34.5472008567032,0.0164395458554553,107.941069333365,0.0790793938389976,0.622833086249277,0.0169949591658169,0.734716876683432,0.0125577853988332,0.027024198128135,0.0771728685347701,0.235279829023169,0.409009922694731,0.237068192502706,0.367228552809876,0.267197689053414,0.26122183244074,0.250498926082661,0.14141583969253,0.156260918,0.0378996429856572,339297899.424776,85599.0563463365,39.4704221704634,556.249002632721,804047.962992456,2038.41700948509,0.699291497339256,378872.904206054,959.190267065754,180.991097977861,6.53e+11,1.64e+11
"GPC001460",54.9092062930448,113.478281972196,12.9092062917524,71.4782819361907,26.3453416933893,4.27009318861581,3.86709902211903,1.44906476058998,26.9057378845973,16.0000352706656,27225.0149799477,88.7957796672862,26.55655095,-0.15699888,6644209.49178762,1644.21564747538,6.54087097763314,6.10819099328582,-0.0344837114264391,37.21276427178,37.146163543599,37.2762058119758,0.13415963148915,39.2102635407168,32.9772861396827,-5.96543701692477,32.9772861396827,40.1670706274069,-6.96812152458933,10068.8196655055,2523.60668693088,0.350661564209997,4515.96443492297,1132.11045290191,1.68965351722338,1.59444415176661,1.85807100753918,1.6072508639244,1.85807100753918,1.69362005440189,1.68689249325967,2.04992617404418,194.792330828667,48.6545321517321,0.0600885333291973,107.950063241511,0.0615838374791281,0.639334597136631,0.0125940486503668,0.732338499495856,0.00876953747304769,0.0231992024331069,0.0786137519384108,0.249167897426724,0.430086412828262,0.212738110630558,0.368650898393848,0.23901348852038,0.301561144954546,0.268941726353952,0.131785027357601,0.156260918,0.0376893273723252,340395697.24794,84164.3874096065,60.0048145915991,732.71790510916,596116.509837854,1491.44131242315,0.518408779185107,249702.501604929,625.622378164212,243.389041978654,6.53e+11,1.64e+11
"GPC001490",58.5378538925093,119.05158904323,16.537853892564,77.0515890513918,29.0214335755301,5.57246775417851,5.74135921580685,1.089344959789,94.8500603179475,19.5436642828509,32372.5940790906,88.5382255556636,26.55655095,-0.15699888,6206580.57153286,1598.73555703423,6.13261947364479,5.30155330633713,-0.0328370017190919,38.0781019882909,37.9812815289956,38.1209008385455,0.139306412784893,39.7602758372172,33.9816219571753,-5.53976636548245,33.9816219571753,40.6698361159885,-6.54790797642488,10291.2550199491,2580.59602652537,0.354139601464725,4798.37676439524,1202.53446026636,1.65126453180656,1.57875070753579,1.80912164662117,1.58905667114613,1.80912164662117,1.65569848392082,1.64835363670416,2.29189803332231,160.180635470465,41.090935864504,0.0341037642543369,107.935883085857,0.0730748481961615,0.637504364617658,0.0158934673578711,0.730059092202775,0.00901211802104969,0.0238670259042003,0.0815560104386987,0.25484770369206,0.41952982902917,0.212062487932239,0.350881893076543,0.279774876831639,0.297600426870237,0.241261207896038,0.120337120001942,0.156260918,0.0382059110950948,322173184.814918,82274.8756533697,52.9258870716121,675.706964505814,614170.289149438,1538.52458022008,0.534113208115469,275627.622561425,690.403683575448,227.659513732747,6.53e+11,1.64e+11
"GPC002420",59.495643472995,123.272202227918,17.4956434731224,81.2722021988647,6.94083119373442,9.58953093190876,7.1441794610435,1.50692880798309,143.87512308645,22.8575823220432,33139.2213390946,87.8139313727779,26.55655095,-0.15699888,4587454.4575106,1111.05588356377,4.03216053918739,4.6150571520312,-0.0359107199010989,38.5829490098772,38.4452187410976,38.6219617152515,0.155881658006033,39.9725306777029,34.4766359043806,-5.51336191429459,34.4766359043806,41.0092428186347,-6.86708934855146,10195.1506839135,2541.06794636669,0.354674439031771,4801.48613781889,1196.67743198446,1.63382638428232,1.5744357876602,1.78815856639988,1.58314578405197,1.78815856639988,1.63938598211736,1.63263582790936,2.05235202782091,148.790412261057,38.7663225744052,0.0224283788479948,107.931660397548,0.0783345000388471,0.639563187522238,0.0182756346384666,0.728274466083476,0.00891790741255237,0.0243607533581866,0.0832200522101119,0.259364633367871,0.413217585121881,0.207751293706748,0.351480191244072,0.285917631439327,0.285037737294954,0.24014180747344,0.125167558356427,0.156260918,0.0384220514876668,243456991.596408,59246.3467190233,38.477490716604,605.124248983529,609952.213864955,1519.2381135665,0.53040249444465,277422.834431401,691.468157387227,216.435761726483,6.53e+11,1.64e+11
"GPC002430",57.1059085820247,123.685018851029,15.1059085821012,81.6850188289775,8.29349249612002,9.17749012030829,7.00038504872554,1.31092575903843,134.343932569751,23.9170090168925,33744.415770708,89.6097970750443,26.55655095,-0.15699888,6251105.29825875,1565.99847317714,5.71373498480567,5.42801087842044,-0.0432115346052681,37.7889988163935,37.6882604216861,37.8293470136397,0.140398821249452,39.5771400959336,33.416472685826,-6.09858805077394,33.416472685826,40.6508941374104,-7.14029980760916,10718.0715310285,2685.78614953944,0.370779798560887,4949.71384801856,1238.49978256472,1.66242220456967,1.57955288814769,1.8297900486636,1.59522754716562,1.8297900486636,1.66714812017336,1.66062923071922,2.24099954802061,169.353233374627,43.2891785006058,0.0363535361370519,107.933791122397,0.0698135964585003,0.647954411959888,0.0138518813713029,0.728817609677982,0.00876784259375416,0.0240829366056977,0.0823013228385966,0.257660501995065,0.419845139782839,0.206317018760656,0.369575911281117,0.246734044568584,0.293526981252041,0.260419226146243,0.133491850680776,0.156260918,0.0384709460416365,337015506.288104,84474.2339131724,51.7760992338103,678.101387075725,647851.39881095,1624.2817879935,0.563442332407348,285960.874092295,715.484986009386,232.183346319769,6.53e+11,1.64e+11
