"","DASanthesis_BLUP_RRBLUP","DASmaturity_BLUP_RRBLUP","DATanthesis_BLUP_RRBLUP","DATmaturity_BLUP_RRBLUP","fruitno_BLUP_RRBLUP","fruitlength_BLUP_RRBLUP","fruitwidth_BLUP_RRBLUP","fruitshapeindex_BLUP_RRBLUP","fruitweight_BLUP_RRBLUP","yield_BLUP_RRBLUP","pollenconcentration_BLUP_RRBLUP","pollenactivity_BLUP_RRBLUP","leaftemp_BLUP_RRBLUP","leafminushobotemp_BLUP_RRBLUP","growthrateplot_BLUP_RRBLUP","growthrateplant_BLUP_RRBLUP","height_BLUP_RRBLUP","heightmax_BLUP_RRBLUP","leafangledaily_BLUP_RRBLUP","leafanglemean_BLUP_RRBLUP","leafanglenoon_BLUP_RRBLUP","leafanglemidnight_BLUP_RRBLUP","leafanglemidnightminusnoon_BLUP_RRBLUP","leafanglebright_BLUP_RRBLUP","leafanglelow_BLUP_RRBLUP","leafanglelowminusbright_BLUP_RRBLUP","leafanglecold_BLUP_RRBLUP","leafangleHot_BLUP_RRBLUP","leafanglecoldminushot_BLUP_RRBLUP","leafareadaily_BLUP_RRBLUP","leafareadailyplant_BLUP_RRBLUP","leafareaindex_BLUP_RRBLUP","leafareaprojecteddaily_BLUP_RRBLUP","leafareaprojectedplant_BLUP_RRBLUP","leafinclinationmean_BLUP_RRBLUP","leafinclinationhot_BLUP_RRBLUP","leafinclinationcold_BLUP_RRBLUP","leafinclinationbright_BLUP_RRBLUP","leafinclinationdark_BLUP_RRBLUP","leafinclinationnoon_BLUP_RRBLUP","leafinclinationmidnight_BLUP_RRBLUP","lightpendaily_BLUP_RRBLUP","lightpenmeanplot_BLUP_RRBLUP","lightpenmeanplant_BLUP_RRBLUP","huedaily_BLUP_RRBLUP","huemean_BLUP_RRBLUP","huebin0_BLUP_RRBLUP","huebin1_BLUP_RRBLUP","huebin5_BLUP_RRBLUP","ndvimean_BLUP_RRBLUP","ndvibin0_BLUP_RRBLUP","ndvibin1_BLUP_RRBLUP","ndvibin2_BLUP_RRBLUP","ndvibin3_BLUP_RRBLUP","ndvibin4_BLUP_RRBLUP","ndvibin5_BLUP_RRBLUP","green_BLUP_RRBLUP","greenb0_BLUP_RRBLUP","greenb1_BLUP_RRBLUP","greenb2_BLUP_RRBLUP","greenb3_BLUP_RRBLUP","npcimean_BLUP_RRBLUP","psrimean_BLUP_RRBLUP","biomassfinalplot_BLUP_RRBLUP","biomassfinalplant_BLUP_RRBLUP","heightfinal_BLUP_RRBLUP","heighmaxfinal_BLUP_RRBLUP","leafareafinalplot_BLUP_RRBLUP","leafareafinalplant_BLUP_RRBLUP","leafareaindexfinal_BLUP_RRBLUP","leafareafinalprojectedplot_BLUP_RRBLUP","leafareafinalprojectedplant_BLUP_RRBLUP","lightpenetrationfinal_BLUP_RRBLUP","biomassAUC_BLUP_RRBLUP","biomassAUCperplant_BLUP_RRBLUP"
"GPC000040",73.3121322927734,112.437049922166,33.3121323478867,72.4370500772168,9.48675646501708,5.95411708160018,4.93836664756942,1.3088911083966,32.5510493245386,7.66052907126324,22608.2020343188,76.043336516728,34.0406227081508,-1.35154129242996,866527.89012457,213.920591527176,4.58586450117751,5.96856150909555,-0.046510912781288,32.1697687669544,34.7331568679129,34.9463446642004,0.204203267097829,34.0816953228226,38.8024727435325,4.80354188007233,36.4759167981874,28.8510895459199,7.51981956079622,1714.6669276064,434.329468352952,0.0482227760673249,885.372309336124,222.654412994021,1.66375169771821,1.53493565846783,1.69468559434336,1.81355870756906,1.61047089904546,1.77890207828441,1.77013056903931,1.8322263909357,114.530780274266,31.0776942688274,-0.149536472151726,73.9467818624307,0.16453511277071,0.739187378039074,0.0140554590199534,0.542171040696534,0.0319138024755592,0.0870327059686205,0.216460640820021,0.359676047319243,0.219095651048821,0.0127435995352169,0.273645596917808,0.323965560912424,0.313989823153603,0.210647438221938,0.0648880729081546,0.382259126569817,0.144720826278292,60114477.0426795,14963.8810069047,37.1264284083616,479.759717546502,120979.141274558,309.206388410332,0.100529447414529,63241.4687542765,160.65996857294,198.399078954616,56582904652,15321492597
"GPC000160",74.6678880187347,117.341899882411,34.6678880311383,77.3419000589695,5.58605271643257,3.87256656367057,4.30530402530828,1.04119330931881,24.4529113670328,3.47073336610784,19382.2113786014,68.985386069304,34.8257728820333,-0.568689998701595,439907.256743285,113.230834991241,3.13190195806175,4.0245329900448,-0.0537141702281354,33.1624645958993,34.9656713950291,35.2539404961472,0.260651319391027,34.6059078199727,38.8952023875534,4.62408893344727,36.6061916419131,29.3862846977822,7.10538564520911,1089.75346343312,287.952393284471,0.0361765730444627,541.506470126951,142.163663236639,1.68047656480241,1.53296153951558,1.68754017113093,1.79195492044418,1.60570975193496,1.76781964080389,1.7572865171417,1.46850713957312,89.5073457686106,27.0188443712736,-0.059684582889414,77.9725994229898,0.159114989497997,0.779255615713223,0.0170201386735981,0.553452539688916,0.0229887890460677,0.0905548408110012,0.231731060515481,0.378087621146224,0.209727655717641,0.0103212497103717,0.292940693290942,0.318196818744155,0.327783587981179,0.235963647966483,0.0711721326685613,0.38652471172249,0.145782878876121,35441095.9876031,9276.26345825647,25.5450927537768,332.073379547579,92941.4347252442,250.474294720986,0.0776940795441197,47706.3520875152,128.090167080387,145.627845703646,56582904652,15321492597
"GPC000280",71.8050804811466,112.309306421086,31.8050803660314,72.3093062699786,10.9609435831102,4.47746376601985,4.19671560864542,0.938945962525988,21.6029128904638,4.87738295975081,21556.3136229352,77.5685116083248,34.5035696769798,-0.890869203904042,1339689.60985425,361.505056871328,6.32530807147629,7.76736804828197,-0.0507187041606937,32.4581558306306,34.8237168405378,35.0609039923209,0.223985146363186,34.2938898390755,38.8749307837426,4.71807897442528,36.5099565272577,28.1874060483794,8.03229304151692,1748.53210087044,471.309684478934,0.0481849488549971,912.756289412298,245.397916400583,1.66373968464506,1.52156471171731,1.69052138098914,1.79845738794461,1.60628949406343,1.76864984034815,1.7622466704248,2.31148266577469,132.38172652319,36.5596778890009,-0.0459992868407009,75.5362029853814,0.149175385838055,0.756585391052367,0.0169516979382834,0.556497092228199,0.0156825465162623,0.083098418495145,0.215912277016299,0.369730668832961,0.234809782158055,0.0131487248180743,0.277329299154321,0.31202856262253,0.319407835658581,0.219230653880986,0.0681766054068296,0.375696921234203,0.135720536133152,85089508.8209652,23427.0211382553,52.0309709750445,633.874943341006,123381.569438831,329.280999753839,0.103180848743352,65369.1546715839,173.919259998709,237.769299666693,56582904652,15321492597
"GPC000300",74.5590989613299,116.037550029015,34.559099025762,76.037550236867,10.9344211215344,4.57160471146016,4.11499367584242,1.30261586149975,21.2667960075249,4.08959610685476,18743.3708986971,70.2375557036133,34.6211497412109,-0.773028722727112,881014.532995171,221.376780980066,4.01096038049042,5.47121747819269,-0.0606724159282937,33.6123839218344,35.3631899710384,35.6547917552059,0.264605363885148,34.6549874829431,38.984661679706,4.65905941789498,37.0632752909418,29.3267245078557,7.28809033978659,1633.33431369688,418.663665235112,0.0480383016582417,844.564678104933,215.007412097945,1.6846030410501,1.53040735731899,1.67731794559847,1.78994408378278,1.60452398326501,1.75452729439739,1.74409702714441,1.68448084423601,109.179404712118,30.1818634431802,-0.0435544681513113,80.2056312544308,0.129332903410417,0.816003010544496,0.00805293071158715,0.55822042202084,0.0200002814408827,0.0922136508494978,0.230313862815712,0.380574372920183,0.212153460114492,0.0107661806941912,0.318319811574749,0.262446030649909,0.34158847791517,0.250695496598542,0.0754167848145797,0.38781528305403,0.145659561020936,63507093.0429022,16115.9538611149,34.8806876510971,451.382683254512,115224.106475291,298.29563724505,0.096316397949645,60823.8183802653,156.169431625701,176.22993604585,56582904652,15321492597
"GPC000760",74.9688322737637,117.807387487083,34.968832351089,77.8073877529658,9.41806157463416,4.84039241809689,4.50104972403371,0.959221478447888,25.6015856550683,5.34343624621478,20822.8948142969,78.253229823219,34.6463545414408,-0.747123833457539,502528.810538253,133.681514999923,3.9264905739616,5.21958683953866,-0.0569445346694515,32.632106733876,34.4099603970323,34.667380757012,0.23850512177562,34.0122413009328,38.9830653135414,4.90940574219549,35.8935361761417,29.8797174466934,6.51825330392095,1138.19693014645,301.506350484206,0.0393261769788939,547.406377551868,145.61417185918,1.68957754446785,1.53254744416686,1.71288012084121,1.81078101692203,1.60625048584164,1.79153827771052,1.78049012827496,1.5991399234485,124.284542164946,34.2470683608913,-0.0399827871191128,76.7526867142526,0.171416896900006,0.764526644549407,0.0199812164979822,0.564150359569925,0.0185208591867502,0.081966302704873,0.217282653785355,0.375595442327765,0.238276433722995,0.0138447808383202,0.283805534463796,0.338778977076953,0.313139535307942,0.228225354189355,0.0733387375284589,0.378736859146435,0.137073996688395,42602619.2462521,11375.2981003513,35.9354802531843,457.49790667609,97828.1337585116,261.821644334388,0.0824108197492011,49456.6779846222,132.915530464944,185.945698446239,56582904652,15321492597
"GPC001360",71.1050474674837,106.279812775236,31.1050474108995,66.2798125640049,81.3230733152656,2.92739663693348,1.3555086267076,1.81170355033769,-0.231178319884075,5.29256735652704,15572.3108612949,79.4699566985243,34.6601794806027,-0.735116058135486,782434.578448947,204.790948318125,2.52560822929932,3.64825456671354,-0.0660095361670799,32.0009050048166,34.0046006426855,34.1205847215597,0.133776750279148,33.9891994823714,38.4961862510978,4.55559770039912,35.3492083207505,29.0988503287256,6.85373849872227,2659.90094236913,694.556880066339,0.0538967783554155,1329.81799861407,347.680030955549,1.68427758974939,1.54769924437068,1.73557490188939,1.80530032142281,1.60812668699855,1.79661890134402,1.79605056771295,1.22422062057404,85.6749814689003,26.4817079085608,-0.29532310759677,69.242924105689,0.215768962134075,0.672550712734437,0.0294487913440612,0.553709709697927,0.030672860706888,0.0882031395169602,0.206774760560164,0.349463310544002,0.245398110249955,0.0165237666154555,0.244592204419525,0.374689486409917,0.276273009089869,0.192833299232932,0.0632829185159611,0.382238981609226,0.139818695404229,57952724.1448504,15305.2146629769,26.2046878470538,356.320243158295,160747.855603629,416.598053827139,0.133142887958212,84063.9160958493,218.046408078778,138.374318740525,56582904652,15321492597
"GPC001460",75.0839691821634,112.555356663027,35.0839692399487,72.5553566539465,15.9230592014982,2.75200010072027,2.79329558434438,1.21102351316234,9.40836599328756,3.68699422075316,22412.3634788078,77.7656520827413,34.6998327309068,-0.694503436954837,663013.567681559,175.798814880792,5.86801019729132,7.10323812638698,-0.0284550903980229,32.0707931620061,34.5318406406327,34.7324167195259,0.195031541566396,33.8642911988655,38.618535657798,4.73544713364928,35.8464894600857,29.7564739284243,6.5613771726429,1067.82991758673,288.207388848603,0.0367997471810818,535.167533309909,144.345277189847,1.66892077991775,1.53141694844191,1.71533286687979,1.81964575864493,1.61113124312038,1.7865402589252,1.77938584239365,2.24181485204342,143.428522420975,38.6892115515767,0.000823957282350497,75.9715649486757,0.15203084987918,0.753853728883492,0.0139480050464533,0.560694194601252,0.0137319287499017,0.0781455416154416,0.209342139934032,0.369043250332175,0.245019958183156,0.0145052883828827,0.283373130582448,0.303412959469077,0.314120681692118,0.225668514150529,0.0713326846091633,0.369743913828995,0.130386047390728,53888572.6594328,14435.8073672682,49.6293300467084,591.879755019707,93445.9400034585,252.169277937749,0.0788150297127225,48013.3423364416,129.656001134439,236.571161943342,56582904652,15321492597
"GPC001490",72.9270735235364,115.073173172265,32.9270734478449,75.0731731668189,10.6371814000307,2.96275071361067,4.0161186808953,0.873554479501868,21.0578137045533,3.67089426384761,19524.4818710169,74.4226972683102,34.692824045261,-0.703190497860166,491684.912387543,135.84237644994,3.86242860742604,5.238938224199,-0.0430099957122039,32.7585937581459,34.6818772957517,34.9017295196062,0.209409729187787,34.1230696150475,38.935422296432,4.79115904168619,36.0312207790033,29.2921641040039,7.07154280543895,1036.7801132684,290.668326769309,0.035633155881465,509.682360401103,143.316129043294,1.67976262796541,1.5313170576288,1.70781388744134,1.80610821285631,1.60368357797149,1.7729290400878,1.76487296428174,1.69905694853829,112.095798465705,32.452097469038,-0.0477195691001961,76.2963775239512,0.16105813029238,0.76483142644113,0.0200213929097655,0.55513494972603,0.0198541204620068,0.0875954529073841,0.225133147430947,0.374486357017981,0.22051058071348,0.0109542212818295,0.28319879536058,0.328883074947538,0.320208705734255,0.224949246850259,0.0697580698277976,0.383140135489046,0.141778115225133,38451387.3089796,10754.2146640939,35.6237583466864,463.916266287349,90862.7820464873,253.513510792473,0.076004852060066,45763.4828849764,128.343730639734,188.150534149535,56582904652,15321492597
"GPC002420",74.5310822458621,116.75504804387,34.5310822494451,76.7550481309799,6.96444293657061,3.81619057118752,4.17924100898455,1.12997176083761,22.8900610907392,3.00579169909698,18968.9573735982,68.91242031619,34.8866474686361,-0.507850154232479,307697.102950097,77.7601382785039,2.57721344664625,3.64100324759029,-0.0564915018754236,33.0878786006641,34.9345390585212,35.2362540996337,0.27100916315737,34.632093548477,38.9086498044949,4.62158025774891,36.4653817480287,29.3249707405446,7.10890652676428,1010.48626563515,263.792643498049,0.0348071363802604,490.227082162072,127.195144518234,1.6782356047251,1.53241555481105,1.69297059880735,1.79129043111894,1.60557177072199,1.76874198968656,1.758251885233,1.36733740978731,89.2144133772711,26.7347144004077,-0.0731583380814859,77.072724811147,0.159548857001302,0.771123828283674,0.0169472409294707,0.551371659550402,0.0227323168466532,0.0911249326500471,0.233152126500596,0.37757443800309,0.206222595152115,0.00976815733054031,0.286482632567828,0.315009132282302,0.325265363983426,0.232982047570601,0.0707389251200194,0.386874500137671,0.146001019516673,28261811.7071531,7270.3702880236,22.6638930349825,312.719047967271,89246.512534389,240.08203190026,0.0747566437332798,45307.4467835614,121.567042479051,140.788810602811,56582904652,15321492597
"GPC002430",75.018669856015,116.071420214145,35.0186698701593,76.0714201940547,10.0159271560699,4.79129713056569,4.54066498392059,1.06773857145142,27.2793655980733,4.01123197472581,19649.1501632921,74.8295208683457,34.7414800826706,-0.65355931881738,717335.365908723,215.365056058657,3.93226655782932,5.21845246411692,-0.0452514390659573,32.7612504091912,34.6324863809183,34.8695722076888,0.223364877972653,34.3566750567797,38.7912047802386,4.63287168295019,36.2571869574436,28.719469437089,7.49162064837642,1253.75311514166,367.040024956938,0.0419593482692588,639.570949671214,188.287132158148,1.6817593231618,1.53014818177839,1.70146571682358,1.79770952193315,1.60636737314395,1.77813150775597,1.77028304809487,1.61012074728972,106.833381918377,31.7107726595759,-0.0440748621816734,78.4918495122877,0.136947348642827,0.788677539675446,0.0137720488219718,0.555243837752976,0.0192986519690923,0.0877489917581061,0.225926168937825,0.377929704813611,0.217823434797508,0.0102192032252011,0.300197896471023,0.286673212414147,0.327046169582577,0.244762916751271,0.0771277697417317,0.383877992565936,0.141625379186522,55967869.5027334,16603.5555080504,36.4958675290767,469.205862281759,101228.266824569,287.333966261684,0.0846438532339016,52309.9637614256,149.271401382009,181.16585499391,56582904652,15321492597
