"","V1"
"DASanthesis_BLUP_RRCorr",0.954500662992821
"DASmaturity_BLUP_RRCorr",0.980640930269798
"DATanthesis_BLUP_RRCorr",0.954500662988064
"DATmaturity_BLUP_RRCorr",0.980640930359641
"fruitno_BLUP_RRCorr",0.999999999999983
"fruitlength_BLUP_RRCorr",0.989985035742884
"fruitwidth_BLUP_RRCorr",0.980675443153528
"fruitshapeindex_BLUP_RRCorr",0.97680261284384
"fruitweight_BLUP_RRCorr",0.946867611722966
"yield_BLUP_RRCorr",0.947718416621469
"pollenconcentration_BLUP_RRCorr",0.813615364882774
"pollenactivity_BLUP_RRCorr",0.828052412357248
"leaftemp_BLUP_RRCorr",NA
"leafminushobotemp_BLUP_RRCorr",NA
"growthrateplot_BLUP_RRCorr",0.954036231975374
"growthrateplant_BLUP_RRCorr",0.973976251376316
"height_BLUP_RRCorr",0.969905015205529
"heightmax_BLUP_RRCorr",0.916179007233452
"leafangledaily_BLUP_RRCorr",0.940804357832739
"leafanglemean_BLUP_RRCorr",0.851106902047738
"leafanglenoon_BLUP_RRCorr",0.846931882333291
"leafanglemidnight_BLUP_RRCorr",0.849217008285009
"leafanglemidnightminusnoon_BLUP_RRCorr",0.860640253575574
"leafanglebright_BLUP_RRCorr",0.786113636365167
"leafanglelow_BLUP_RRCorr",0.859403479757442
"leafanglelowminusbright_BLUP_RRCorr",0.921247241818765
"leafanglecold_BLUP_RRCorr",0.859403479757442
"leafangleHot_BLUP_RRCorr",0.753241229959595
"leafanglecoldminushot_BLUP_RRCorr",0.8725425380179
"leafareadaily_BLUP_RRCorr",0.90545807155784
"leafareadailyplant_BLUP_RRCorr",0.920445328451355
"leafareaindex_BLUP_RRCorr",0.841991842384834
"leafareaprojecteddaily_BLUP_RRCorr",0.930910885511454
"leafareaprojectedplant_BLUP_RRCorr",0.938481619222945
"leafinclinationmean_BLUP_RRCorr",0.834892273263644
"leafinclinationhot_BLUP_RRCorr",0.706617002354767
"leafinclinationcold_BLUP_RRCorr",0.826850940996747
"leafinclinationbright_BLUP_RRCorr",0.795604497703283
"leafinclinationdark_BLUP_RRCorr",0.826850940996747
"leafinclinationnoon_BLUP_RRCorr",0.83474243435348
"leafinclinationmidnight_BLUP_RRCorr",0.834557652866012
"lightpendaily_BLUP_RRCorr",0.852158069259013
"lightpenmeanplot_BLUP_RRCorr",0.939324608939958
"lightpenmeanplant_BLUP_RRCorr",0.930663565683682
"huedaily_BLUP_RRCorr",0.907765970298967
"huemean_BLUP_RRCorr",0.814146827841458
"huebin0_BLUP_RRCorr",0.94754291797894
"huebin1_BLUP_RRCorr",0.844940967383406
"huebin5_BLUP_RRCorr",0.995152195359639
"ndvimean_BLUP_RRCorr",0.855173759294106
"ndvibin0_BLUP_RRCorr",0.888872088547867
"ndvibin1_BLUP_RRCorr",0.880019555344222
"ndvibin2_BLUP_RRCorr",0.811409848584512
"ndvibin3_BLUP_RRCorr",0.877574413170154
"ndvibin4_BLUP_RRCorr",0.920162810731669
"ndvibin5_BLUP_RRCorr",0.884014430159833
"green_BLUP_RRCorr",0.990848744756621
"greenb0_BLUP_RRCorr",0.980174611288942
"greenb1_BLUP_RRCorr",0.963522910265763
"greenb2_BLUP_RRCorr",0.965963005007789
"greenb3_BLUP_RRCorr",0.96629242446081
"npcimean_BLUP_RRCorr",NA
"psrimean_BLUP_RRCorr",0.80176810245563
"biomassfinalplot_BLUP_RRCorr",0.950777653795274
"biomassfinalplant_BLUP_RRCorr",0.969525436994074
"heightfinal_BLUP_RRCorr",0.971519024836116
"heighmaxfinal_BLUP_RRCorr",0.929357191945888
"leafareafinalplot_BLUP_RRCorr",0.884161064222081
"leafareafinalplant_BLUP_RRCorr",0.905016948736798
"leafareaindexfinal_BLUP_RRCorr",0.8843740035467
"leafareafinalprojectedplot_BLUP_RRCorr",0.916015230887408
"leafareafinalprojectedplant_BLUP_RRCorr",0.926721864981322
"lightpenetrationfinal_BLUP_RRCorr",0.855238136040334
"biomassAUC_BLUP_RRCorr",NA
"biomassAUCperplant_BLUP_RRCorr",NA
