"","V1"
"DASanthesis_BLUP_RRCorr",0.928328310298233
"DASmaturity_BLUP_RRCorr",0.950787408312856
"DATanthesis_BLUP_RRCorr",0.928328318553049
"DATmaturity_BLUP_RRCorr",0.950787416343888
"fruitno_BLUP_RRCorr",0.985170589776401
"fruitlength_BLUP_RRCorr",0.994910516424394
"fruitwidth_BLUP_RRCorr",0.968167908529057
"fruitshapeindex_BLUP_RRCorr",0.986483006230919
"fruitweight_BLUP_RRCorr",0.931133197150487
"yield_BLUP_RRCorr",0.91445244619961
"pollenconcentration_BLUP_RRCorr",0.600711902452855
"pollenactivity_BLUP_RRCorr",0.870731004361401
"leaftemp_BLUP_RRCorr",0.752042170084774
"leafminushobotemp_BLUP_RRCorr",0.751846760617299
"growthrateplot_BLUP_RRCorr",0.989186202311549
"growthrateplant_BLUP_RRCorr",0.987834860398553
"height_BLUP_RRCorr",0.960532323840937
"heightmax_BLUP_RRCorr",0.953803078988322
"leafangledaily_BLUP_RRCorr",0.92880336252064
"leafanglemean_BLUP_RRCorr",0.8806878574422
"leafanglenoon_BLUP_RRCorr",0.909634645792113
"leafanglemidnight_BLUP_RRCorr",0.909973026090016
"leafanglemidnightminusnoon_BLUP_RRCorr",0.916552669509286
"leafanglebright_BLUP_RRCorr",0.839800071760985
"leafanglelow_BLUP_RRCorr",0.808404017780751
"leafanglelowminusbright_BLUP_RRCorr",0.775343200662669
"leafanglecold_BLUP_RRCorr",0.913724198272704
"leafangleHot_BLUP_RRCorr",0.833880138040565
"leafanglecoldminushot_BLUP_RRCorr",0.812595372808584
"leafareadaily_BLUP_RRCorr",0.94179749439907
"leafareadailyplant_BLUP_RRCorr",0.93749647785575
"leafareaindex_BLUP_RRCorr",0.950756052956103
"leafareaprojecteddaily_BLUP_RRCorr",0.956055750879382
"leafareaprojectedplant_BLUP_RRCorr",0.950911457445401
"leafinclinationmean_BLUP_RRCorr",0.875894063179925
"leafinclinationhot_BLUP_RRCorr",0.587818300092135
"leafinclinationcold_BLUP_RRCorr",0.896770459773681
"leafinclinationbright_BLUP_RRCorr",0.814703319445973
"leafinclinationdark_BLUP_RRCorr",0.595814697958899
"leafinclinationnoon_BLUP_RRCorr",0.887121220953632
"leafinclinationmidnight_BLUP_RRCorr",0.894385170012117
"lightpendaily_BLUP_RRCorr",0.891907977568865
"lightpenmeanplot_BLUP_RRCorr",0.93953287344986
"lightpenmeanplant_BLUP_RRCorr",0.896988521473747
"huedaily_BLUP_RRCorr",0.941047806934984
"huemean_BLUP_RRCorr",0.973110140235328
"huebin0_BLUP_RRCorr",0.994249535570633
"huebin1_BLUP_RRCorr",0.97247013643823
"huebin5_BLUP_RRCorr",0.999952158706918
"ndvimean_BLUP_RRCorr",0.890849016851294
"ndvibin0_BLUP_RRCorr",0.878329698798048
"ndvibin1_BLUP_RRCorr",0.840268010576411
"ndvibin2_BLUP_RRCorr",0.806294249855123
"ndvibin3_BLUP_RRCorr",0.881502138674701
"ndvibin4_BLUP_RRCorr",0.887591971952655
"ndvibin5_BLUP_RRCorr",0.940971356167073
"green_BLUP_RRCorr",0.990743029190256
"greenb0_BLUP_RRCorr",0.99940390702272
"greenb1_BLUP_RRCorr",0.962576069085623
"greenb2_BLUP_RRCorr",0.970424964046558
"greenb3_BLUP_RRCorr",0.940502504657189
"npcimean_BLUP_RRCorr",0.904669396969152
"psrimean_BLUP_RRCorr",0.882397622031747
"biomassfinalplot_BLUP_RRCorr",0.981034621706942
"biomassfinalplant_BLUP_RRCorr",0.979483179242215
"heightfinal_BLUP_RRCorr",0.971946493389589
"heighmaxfinal_BLUP_RRCorr",0.971304401991499
"leafareafinalplot_BLUP_RRCorr",0.898969579256737
"leafareafinalplant_BLUP_RRCorr",0.880455793145149
"leafareaindexfinal_BLUP_RRCorr",0.895463841732723
"leafareafinalprojectedplot_BLUP_RRCorr",0.920822103233252
"leafareafinalprojectedplant_BLUP_RRCorr",0.901787827828557
"lightpenetrationfinal_BLUP_RRCorr",0.928398059410898
"biomassAUC_BLUP_RRCorr",NA
"biomassAUCperplant_BLUP_RRCorr",NA
