"","DASanthesis_BLUP_RRTrgtPred","DASmaturity_BLUP_RRTrgtPred","DATanthesis_BLUP_RRTrgtPred","DATmaturity_BLUP_RRTrgtPred","fruitno_BLUP_RRTrgtPred","fruitlength_BLUP_RRTrgtPred","fruitwidth_BLUP_RRTrgtPred","fruitshapeindex_BLUP_RRTrgtPred","fruitweight_BLUP_RRTrgtPred","yield_BLUP_RRTrgtPred","pollenconcentration_BLUP_RRTrgtPred","pollenactivity_BLUP_RRTrgtPred","leaftemp_BLUP_RRTrgtPred","leafminushobotemp_BLUP_RRTrgtPred","growthrateplot_BLUP_RRTrgtPred","growthrateplant_BLUP_RRTrgtPred","height_BLUP_RRTrgtPred","heightmax_BLUP_RRTrgtPred","leafangledaily_BLUP_RRTrgtPred","leafanglemean_BLUP_RRTrgtPred","leafanglenoon_BLUP_RRTrgtPred","leafanglemidnight_BLUP_RRTrgtPred","leafanglemidnightminusnoon_BLUP_RRTrgtPred","leafanglebright_BLUP_RRTrgtPred","leafanglelow_BLUP_RRTrgtPred","leafanglelowminusbright_BLUP_RRTrgtPred","leafanglecold_BLUP_RRTrgtPred","leafangleHot_BLUP_RRTrgtPred","leafanglecoldminushot_BLUP_RRTrgtPred","leafareadaily_BLUP_RRTrgtPred","leafareadailyplant_BLUP_RRTrgtPred","leafareaindex_BLUP_RRTrgtPred","leafareaprojecteddaily_BLUP_RRTrgtPred","leafareaprojectedplant_BLUP_RRTrgtPred","leafinclinationmean_BLUP_RRTrgtPred","leafinclinationhot_BLUP_RRTrgtPred","leafinclinationcold_BLUP_RRTrgtPred","leafinclinationbright_BLUP_RRTrgtPred","leafinclinationdark_BLUP_RRTrgtPred","leafinclinationnoon_BLUP_RRTrgtPred","leafinclinationmidnight_BLUP_RRTrgtPred","lightpendaily_BLUP_RRTrgtPred","lightpenmeanplot_BLUP_RRTrgtPred","lightpenmeanplant_BLUP_RRTrgtPred","huedaily_BLUP_RRTrgtPred","huemean_BLUP_RRTrgtPred","huebin0_BLUP_RRTrgtPred","huebin1_BLUP_RRTrgtPred","huebin5_BLUP_RRTrgtPred","ndvimean_BLUP_RRTrgtPred","ndvibin0_BLUP_RRTrgtPred","ndvibin1_BLUP_RRTrgtPred","ndvibin2_BLUP_RRTrgtPred","ndvibin3_BLUP_RRTrgtPred","ndvibin4_BLUP_RRTrgtPred","ndvibin5_BLUP_RRTrgtPred","green_BLUP_RRTrgtPred","greenb0_BLUP_RRTrgtPred","greenb1_BLUP_RRTrgtPred","greenb2_BLUP_RRTrgtPred","greenb3_BLUP_RRTrgtPred","npcimean_BLUP_RRTrgtPred","psrimean_BLUP_RRTrgtPred","biomassfinalplot_BLUP_RRTrgtPred","biomassfinalplant_BLUP_RRTrgtPred","heightfinal_BLUP_RRTrgtPred","heighmaxfinal_BLUP_RRTrgtPred","leafareafinalplot_BLUP_RRTrgtPred","leafareafinalplant_BLUP_RRTrgtPred","leafareaindexfinal_BLUP_RRTrgtPred","leafareafinalprojectedplot_BLUP_RRTrgtPred","leafareafinalprojectedplant_BLUP_RRTrgtPred","lightpenetrationfinal_BLUP_RRTrgtPred","biomassAUC_BLUP_RRTrgtPred","biomassAUCperplant_BLUP_RRTrgtPred"
"GPC000030",57.5347712876704,118.114686626322,15.5347712878471,76.1146866256494,0.472885914602124,7.56594157529975,5.39693291584475,1.01395037117719,67.0857654394452,18.962241659284,30125.8621022887,90.0006609320911,26.55655095,-0.15699888,5448149.84004813,1377.88832697456,4.89233596835736,4.79677679050333,-0.0407310729884807,37.9525718413436,37.8506075577839,37.9832022129826,0.132070694775576,39.8588730173923,33.7418975206124,-6.11025748171223,33.7418975206124,40.6567606214901,-6.8987706470803,10294.6528528115,2609.01494899726,0.354672960359785,4778.37407655753,1209.10318241385,1.65868142835212,1.58557320399357,1.82305235477026,1.5852665934666,1.82305235477026,1.66339936508743,1.65773271809941,2.3276824170156,171.132860850611,44.3225817150998,0.0234647137947967,107.926422836596,0.0731352597891756,0.651394386762428,0.0159572591244967,0.724527140437997,0.00892987224988992,0.0254054867031109,0.0862417779892578,0.266358179519947,0.409895565187171,0.197595586454835,0.367167592750474,0.24996763034949,0.287762846122798,0.263488893097568,0.134539795032159,0.156260918,0.0389893024378057,276059230.823983,69748.4003677898,45.6432386873785,655.532449062622,600457.502257036,1520.00506680679,0.522155308611525,267355.506639437,676.469189250294,243.864981475354,6.53e+11,1.64e+11
"GPC000140",60.4524396218002,121.729737799671,18.4524396218414,79.7297377866225,123.273300834517,5.91594591920846,1.39747465844087,3.91586646546002,0.809788928664645,13.1841425233673,22179.3629192042,88.27572857124,26.55655095,-0.15699888,7946848.67967051,2044.78952489768,6.51396715090091,6.40228827904966,-0.00405131459059599,38.5316357550821,38.4406093070402,38.5814544149323,0.13289014960725,39.5431162689157,35.5600520215583,-4.25998727901387,35.5600520215583,41.1085517207465,-6.13764563117314,12516.89972539,3203.98626570782,0.370907170464715,6139.69603213891,1572.96768446565,1.63823280576531,1.57116323432473,1.74978258409369,1.60001445910866,1.74978258409369,1.64282451472974,1.63603513974129,1.40557492307587,176.966073267011,46.5154958363524,0.0592414575027851,107.967512668964,0.0675201726574171,0.610661427239467,0.0201388543957005,0.742987841260944,0.00979732465756542,0.0218489984315389,0.0711752265217572,0.225670427169448,0.428895256159279,0.248679388219539,0.352176781128116,0.275919203961464,0.275168476521028,0.25143446682166,0.132436802715506,0.156260918,0.036467126329249,432221592.655165,111120.083931626,56.8590776293289,728.122187786125,732482.905860182,1873.22304072619,0.636945065408725,345010.092031507,883.977312610234,212.444302845379,6.53e+11,1.64e+11
"GPC000150",60.1477111283536,119.106259261458,18.1477111279623,77.1062592445352,26.3125316418692,6.50920339135703,3.96397595326435,3.29998029149766,60.8143881914875,16.951868157324,27015.2700032206,88.7727348507886,26.55655095,-0.15699888,7500110.12194187,1847.53666013933,6.89214459259099,6.22964181843304,-0.0128334331187627,37.6921125465533,37.5963355076775,37.7293552993017,0.135386559597498,39.1274450476477,34.1608379920534,-5.06818308975728,34.1608379920534,40.5135215669367,-6.31095342644967,11347.8159993002,2808.64414365024,0.36398796319119,5298.49809603058,1312.44561084626,1.6679030572109,1.58324822061161,1.79996455466647,1.6112933850728,1.79996455466647,1.67241618748503,1.66645352258043,2.00848546561143,195.082481322128,47.3173547600662,0.0539251142894655,107.958217245858,0.0594153517758464,0.629126844879628,0.0112869744958046,0.732057619182498,0.00988265275693162,0.0244911170652745,0.0793352534029833,0.24722891223956,0.420923985323917,0.217712815402526,0.370913040260465,0.240016816576626,0.299479857136235,0.268648061603619,0.129922365127732,0.156260918,0.0373384780818676,412997603.236011,102031.74489065,60.7437763674823,736.994691711135,678891.400028604,1681.60865567595,0.590390416484655,304895.955639819,755.245485029671,238.808911189492,6.53e+11,1.64e+11
"GPC000360",59.5169903670124,119.876298324559,17.5169903674145,77.8762983094637,2.18469913718373,9.65921450924882,5.96730763212398,1.55614325789069,106.083979091261,20.0231315594643,31917.2523995077,88.0942377129856,26.55655095,-0.15699888,5661239.6627583,1431.31945394274,5.47153415963752,5.46809475351604,-0.047310072076871,38.1987394088857,38.0725656939827,38.2386119409408,0.15137260986807,39.8040704998213,33.7344831491588,-6.27304344326708,33.7344831491588,40.7804112527575,-7.03604175232743,10362.499098773,2616.22049807985,0.351539756272304,4696.60193227911,1186.26329367475,1.64889669643436,1.57817524391939,1.81905351616997,1.58764062693235,1.81905351616997,1.65423074475198,1.64715997960111,2.14934301469982,173.191878273987,44.0998893684223,0.0331530963989961,107.9352541471,0.0740898073794883,0.636821662502373,0.0185506919221541,0.727703267914935,0.00999434160520094,0.0254786379219575,0.083451408324206,0.256629830758757,0.410365501251221,0.209432604100988,0.346517288281849,0.282794981197992,0.292839684466963,0.244413393986369,0.121669188730689,0.156260918,0.0383150054207841,300856675.620761,76005.6904475662,50.2446770577569,674.41963734476,619536.622329911,1562.50236826069,0.538736765497688,270966.331373401,684.414189975567,230.926342434226,6.53e+11,1.64e+11
"GPC000800",71.8929892127977,124.174401829736,29.8929892123959,82.174401792815,89.144343487957,3.1361681489976,1.75103781882551,3.66707206908159,10.4661565351773,7.62935194365196,21566.1893439636,86.971651593013,26.55655095,-0.15699888,4485010.77875958,1161.0095380413,4.55491494437758,3.79471422035708,-0.0132095092390242,40.4285074322941,40.3603588810813,40.4617717863165,0.109609720153764,40.6918240373757,37.5332697959532,-3.81029861729922,37.5332697959532,41.7606603721185,-5.17236039855377,10013.8922804125,2544.02517707989,0.299182901862161,4870.2150763602,1236.04857565083,1.56659205152307,1.54324804843561,1.66753913049291,1.56294330881657,1.66753913049291,1.56813079052327,1.56469309240424,1.9293174421337,165.295909599783,43.1266136261081,0.0340890446089629,107.9378672203,0.0752622751626556,0.636580550825448,0.0176116604965107,0.728205598234815,0.0110080922704109,0.0277714975596812,0.0843831643824216,0.25207501225934,0.398500274903579,0.218908607513364,0.370659978303644,0.258915931111379,0.26235043057632,0.252942130252115,0.146349373786639,0.156260918,0.0384895450450512,256298556.805905,66151.8768804778,41.4093743731575,602.097305248257,598051.870031777,1515.83928041047,0.519979906835286,285885.990034563,723.836986801716,214.896284341222,6.53e+11,1.64e+11
"GPC000830",66.4733397065963,124.237992385116,24.4733397059257,82.2379923479816,72.0272027390659,6.3012826040534,1.69828874258821,4.76023160441272,14.5146781873726,9.89631777429528,23905.4831423995,87.8560103012154,26.55655095,-0.15699888,5297236.44165894,1310.36064347615,5.1028795885175,5.27529102003348,-0.00731979124597799,38.646761985104,38.6006411409347,38.6950473150942,0.109174529091722,39.4959480029208,35.8361927164873,-3.88828006071006,35.8361927164873,40.6780609630017,-5.1529727072398,10435.4130454211,2596.81434094414,0.320862473321441,5034.27112619151,1250.94186520379,1.6321424715566,1.57263805573564,1.73862800568625,1.60411713356264,1.73862800568625,1.63433883358235,1.63100062648363,1.75378417715078,168.399709396184,42.8841863786211,0.0533213847325312,107.934874818887,0.0751825842440901,0.641661089599369,0.0168828392145338,0.729888442595345,0.0104874735022062,0.0258757694959052,0.0818678755359193,0.250287901579608,0.411644036764864,0.216680101686104,0.378029880845264,0.243742335420427,0.261728430036148,0.262402999610839,0.151034334520133,0.156260918,0.0384858161765601,295441596.206713,73085.7494013593,46.4105584733291,677.037795421288,628683.890432749,1565.08893473865,0.546717189405938,295993.529833285,736.188419995525,213.979831565202,6.53e+11,1.64e+11
"GPC000850",55.5055208537873,117.030094854437,13.5055208536305,75.0300948339187,98.8736704490199,8.11864695880774,1.66331881830294,4.54971449050755,3.7051434363989,14.6263648332036,29016.9205644425,90.0144787941188,26.55655095,-0.15699888,7030911.02968999,1793.81506947197,6.21925525176021,5.92264910990047,-0.0227196116805782,37.8402489035807,37.7717844265862,37.9091154077912,0.13548621894907,39.2506640355565,34.3048501786087,-4.99283436794131,34.3048501786087,40.745906273962,-6.61520578855965,11034.4208512814,2775.79812851587,0.351510239537588,5166.77493452147,1297.60498328318,1.66203289676847,1.57499876508181,1.79798778622707,1.60651155182371,1.79798778622707,1.66470335046634,1.65899895939973,1.73191430071088,194.733788740555,49.1448061675146,0.0485273965798635,107.956313801487,0.0683430156125548,0.623130807955837,0.0181337468017377,0.736829756587625,0.0102013456723773,0.0239417613021295,0.0762862347763635,0.235052667116753,0.424287976380371,0.233610347717876,0.360293731969771,0.261668299336176,0.277602862230376,0.258777972618248,0.135690533057686,0.156260918,0.0371945942530114,386797652.218798,98621.3736539724,57.3791037183949,716.370048477048,668292.764742098,1681.70260577906,0.581209233788778,300784.690967995,755.760244386487,234.384720069632,6.53e+11,1.64e+11
"GPC000870",73.2568123734223,123.471454056267,31.2568123728133,81.4714540171072,88.4877298151385,3.16577558789301,1.58007868528155,3.76944357239837,5.36675707096789,7.60106113596349,20579.5305899386,86.9119039268813,26.55655095,-0.15699888,4617000.87970618,1180.73179297276,4.82228810069771,4.04078654425138,-0.0144360103926892,40.3504128367497,40.2803782895377,40.3926140584082,0.116716527968028,40.6124459749665,37.3902214102913,-3.88652041188189,37.3902214102913,41.7761780045611,-5.29699964702401,9945.88479610487,2517.41345936817,0.2986606899377,4802.22549820967,1215.06014355933,1.56977575390069,1.54428775591899,1.67202335435832,1.56607256611026,1.67202335435832,1.57166060877686,1.56766962063993,1.97180870830539,172.021468905713,44.0993082689188,0.0349923855423631,107.93766033616,0.0765479995706316,0.63536872332755,0.0192412729394284,0.729047637342895,0.0107995013078859,0.0273142329777669,0.0838331439548112,0.251108935786139,0.399423475385926,0.220698183556525,0.365754443695071,0.264580132234046,0.261149768105967,0.251686223140492,0.144966536597047,0.156260918,0.038443661287962,264401180.109439,67477.7693842674,43.9669529787532,620.505629577174,595638.731273188,1504.63696549275,0.517868030165912,284758.751964944,718.98368633085,219.327659063321,6.53e+11,1.64e+11
"GPC001000",56.2422225628245,116.87938651359,14.2422225632079,74.8793864942832,152.721363618491,6.70481899631438,1.63960781729159,4.54143347017801,6.78562348672095,14.0822588622605,25647.5319208614,89.6289292839459,26.55655095,-0.15699888,7034137.69960774,1742.79326656689,5.61596574667764,5.45211037161267,0.00326120730671234,38.5823467493219,38.4939348818463,38.6296284724589,0.132982181929623,39.0919613904893,35.3892077226198,-3.87155128008222,35.3892077226198,40.8642399875881,-5.84717359982629,12177.1297638903,3057.93376822962,0.376228335295645,5980.96324005817,1503.22953068793,1.63323815850389,1.56936573144606,1.74978653427885,1.61406450116432,1.74978653427885,1.63697677463633,1.63108098421411,1.57226727772401,182.713781301016,46.4131894030949,0.046304877242852,107.95872873719,0.0717643211645459,0.617166827262635,0.0213803061527712,0.735934884254708,0.010506117055672,0.0246781056639197,0.076423126929193,0.237778667583936,0.418527455093037,0.232035145702058,0.345191596958043,0.286365834780034,0.276561878467574,0.246217342606215,0.128551081274848,0.156260918,0.0369460112142252,390009197.747224,97227.0670593936,53.3476215104806,684.792831389106,724657.933354332,1819.89227826017,0.630234444690279,341768.740204663,858.691083843726,224.931077501643,6.53e+11,1.64e+11
"GPC001050",60.153956919737,115.636892843499,18.1539569201751,73.6368928273546,165.066019965017,3.94028064288509,0.819347510244107,4.7525440048571,-3.21973045328989,12.2661093122083,22165.3575269247,88.913129651581,26.55655095,-0.15699888,8224624.38681589,2095.09325739929,6.72041286486288,6.20185811003167,-0.0146748906666476,38.2084946165951,38.1502168430226,38.2618320355408,0.120957136052685,39.107613975261,35.12745049433,-4.26351413896808,35.12745049433,41.0110457731689,-6.25088078027267,12765.023361122,3211.06647169971,0.38088780878998,6127.64060028632,1540.63954166327,1.64717574045399,1.56820801426601,1.75945063701563,1.61226048813515,1.75945063701563,1.64995528032713,1.64506847524611,1.50437759643733,189.257279771633,47.5838104353026,0.0479430751871503,107.9682072183,0.0669749120183778,0.607869963985604,0.0209871945095819,0.74075295097042,0.010257407254371,0.0233302570733769,0.0733486513357936,0.227663801156734,0.423325452962724,0.246031382690005,0.347632608420126,0.281023615815883,0.276209716704576,0.24953032037009,0.129490236150209,0.156260918,0.0364586064055492,451228453.993626,114827.158703631,60.1378218489782,733.458252733916,750804.186355529,1888.84514995125,0.65290850981297,349707.342269334,879.201201333368,223.262713198824,6.53e+11,1.64e+11
