"","DASanthesis_BLUP_RRTrgtPred","DASmaturity_BLUP_RRTrgtPred","DATanthesis_BLUP_RRTrgtPred","DATmaturity_BLUP_RRTrgtPred","fruitno_BLUP_RRTrgtPred","fruitlength_BLUP_RRTrgtPred","fruitwidth_BLUP_RRTrgtPred","fruitshapeindex_BLUP_RRTrgtPred","fruitweight_BLUP_RRTrgtPred","yield_BLUP_RRTrgtPred","pollenconcentration_BLUP_RRTrgtPred","pollenactivity_BLUP_RRTrgtPred","leaftemp_BLUP_RRTrgtPred","leafminushobotemp_BLUP_RRTrgtPred","growthrateplot_BLUP_RRTrgtPred","growthrateplant_BLUP_RRTrgtPred","height_BLUP_RRTrgtPred","heightmax_BLUP_RRTrgtPred","leafangledaily_BLUP_RRTrgtPred","leafanglemean_BLUP_RRTrgtPred","leafanglenoon_BLUP_RRTrgtPred","leafanglemidnight_BLUP_RRTrgtPred","leafanglemidnightminusnoon_BLUP_RRTrgtPred","leafanglebright_BLUP_RRTrgtPred","leafanglelow_BLUP_RRTrgtPred","leafanglelowminusbright_BLUP_RRTrgtPred","leafanglecold_BLUP_RRTrgtPred","leafangleHot_BLUP_RRTrgtPred","leafanglecoldminushot_BLUP_RRTrgtPred","leafareadaily_BLUP_RRTrgtPred","leafareadailyplant_BLUP_RRTrgtPred","leafareaindex_BLUP_RRTrgtPred","leafareaprojecteddaily_BLUP_RRTrgtPred","leafareaprojectedplant_BLUP_RRTrgtPred","leafinclinationmean_BLUP_RRTrgtPred","leafinclinationhot_BLUP_RRTrgtPred","leafinclinationcold_BLUP_RRTrgtPred","leafinclinationbright_BLUP_RRTrgtPred","leafinclinationdark_BLUP_RRTrgtPred","leafinclinationnoon_BLUP_RRTrgtPred","leafinclinationmidnight_BLUP_RRTrgtPred","lightpendaily_BLUP_RRTrgtPred","lightpenmeanplot_BLUP_RRTrgtPred","lightpenmeanplant_BLUP_RRTrgtPred","huedaily_BLUP_RRTrgtPred","huemean_BLUP_RRTrgtPred","huebin0_BLUP_RRTrgtPred","huebin1_BLUP_RRTrgtPred","huebin5_BLUP_RRTrgtPred","ndvimean_BLUP_RRTrgtPred","ndvibin0_BLUP_RRTrgtPred","ndvibin1_BLUP_RRTrgtPred","ndvibin2_BLUP_RRTrgtPred","ndvibin3_BLUP_RRTrgtPred","ndvibin4_BLUP_RRTrgtPred","ndvibin5_BLUP_RRTrgtPred","green_BLUP_RRTrgtPred","greenb0_BLUP_RRTrgtPred","greenb1_BLUP_RRTrgtPred","greenb2_BLUP_RRTrgtPred","greenb3_BLUP_RRTrgtPred","npcimean_BLUP_RRTrgtPred","psrimean_BLUP_RRTrgtPred","biomassfinalplot_BLUP_RRTrgtPred","biomassfinalplant_BLUP_RRTrgtPred","heightfinal_BLUP_RRTrgtPred","heighmaxfinal_BLUP_RRTrgtPred","leafareafinalplot_BLUP_RRTrgtPred","leafareafinalplant_BLUP_RRTrgtPred","leafareaindexfinal_BLUP_RRTrgtPred","leafareafinalprojectedplot_BLUP_RRTrgtPred","leafareafinalprojectedplant_BLUP_RRTrgtPred","lightpenetrationfinal_BLUP_RRTrgtPred","biomassAUC_BLUP_RRTrgtPred","biomassAUCperplant_BLUP_RRTrgtPred"
"GPC000030",70.639557425214,99.3042033983278,34.6395573390344,63.3042034003056,6.60592339386087,4.40457927735665,3.7474823163928,0.848613214586216,18.2386039814576,1.47918470763118,24836.4673282251,7.93875062175166,35.8191005036424,1.12858883198109,1604047.7458037,389.843969376826,4.2857338284621,0.659607477002474,-0.116664800494339,36.1973052304367,36.1226709436776,36.3124606138153,0.171434257119769,33.4579995515103,37.1079212502627,3.53477257385322,37.1079212502627,34.3444955339123,2.67100306971313,4171.51185022313,1047.52417288665,0.173772503756479,1758.63451341881,442.74818659437,1.73401067439911,1.80760662017103,1.70000225624964,1.8454442209844,1.70000225624964,1.73589161543445,1.72678457954188,2.30688510047332,134.172239236372,33.4375521627922,0.0626708210366303,103.542409270957,0.113087319888039,0.618135747669003,0.0251891275061353,0.650719842027844,0.0645403081672538,0.0425743510981156,0.115166504111348,0.288014563335258,0.339107881041973,0.150664309783908,0.32734647190671,0.312039422405826,0.268781995212032,0.243520689114331,0.120295858330165,0.179753680824577,0.110730083838367,84348081.8533025,20344.2393538244,34.0434094253538,506.776251885088,257006.295303848,64738.3534586605,0.223101117167603,110630.926211746,277.278288968108,201.714604320003,5299307146,13350447.44
"GPC000140",67.942028099103,114.656803262341,31.9420280601952,78.6568032618436,79.8563950644741,5.37594553279061,1.02499207530308,4.49074019112691,2.84514275513885,1.82525272672963,18265.7002923855,11.2962148081023,35.8190999350635,1.12858826273512,4204422.01822177,1025.4044201775,6.54253697876652,2.71504900850549,-0.0423915033768083,36.6189892531337,36.6220417817528,36.7449048447331,0.126630038810828,34.7867202580848,36.7338452958105,2.16524271844047,36.7338452958105,35.4002172025963,1.44012712895154,8232.38633016875,2058.66893619652,0.21336649643008,3865.05514779413,933.634949370407,1.71134940305274,1.75863178940417,1.71364218010501,1.78535250226658,1.71364218010501,1.71318008946955,1.70695875369961,2.04852538212877,136.830134294871,34.4491116245871,0.120330962948856,103.946161405378,0.114717543750552,0.535087502696804,0.0400881082693437,0.662686187368247,0.0695719002006542,0.039421431450949,0.0954583725960826,0.244291243502782,0.360643809113392,0.194213794010571,0.283630382099742,0.388736206081638,0.24755668987705,0.203616501379704,0.105789209860977,0.162693664026229,0.104822328471737,258796959.668195,63374.833931484,46.2975301745438,592.906317867307,528450.869595182,127773.508023032,0.460632125044632,252274.751232041,611.20788130041,190.461587926596,5299307146,13350447.44
"GPC000150",69.7461337462364,114.270907101944,33.7461337386905,78.2709070863842,75.4460736111836,4.20687597211916,2.5637249755078,2.3829309269327,10.5502911997704,1.08976456185556,18919.9767570687,9.80829255359187,35.8191003295013,1.12858865764414,2649578.11038677,642.606177906915,5.27979360420745,1.99857668468012,-0.0859889067363515,35.9087037358752,35.8657070854356,36.0274347863321,0.155461848415097,33.384102386682,36.9358988925967,3.46888729978941,36.9358988925967,34.2396451526073,2.6380466089402,5408.88191759191,1428.49331323751,0.17315196030062,2363.21881634416,586.781772245574,1.74566270937221,1.81068315407678,1.7092132429416,1.85446577055497,1.7092132429416,1.74627435209792,1.73965821220331,2.20845467915244,148.173967577289,36.9350428102328,0.0631145459543335,103.731515046232,0.112277699471917,0.583771117391418,0.0240007273367706,0.649873997969921,0.0697075447990272,0.0428665189895658,0.108689443016609,0.272201928964985,0.343814280417331,0.160803883326889,0.329669995787827,0.318400810412227,0.267028535624922,0.235214585819404,0.118319195330062,0.170944220285315,0.108762953024736,166189169.009652,40376.7508125947,39.004626268726,532.826862304496,350978.262322518,87127.4492852089,0.306503971009689,156223.403127821,388.007461336022,194.16944122398,5299307146,13350447.44
"GPC000360",69.7843378976103,101.258080396527,33.784337832408,65.2580804000183,48.5174388496535,4.76007586837095,3.27303384238688,1.61056248774753,17.2869451015283,1.61636610786921,21257.5425242847,9.1395826553537,35.8191004944913,1.12858882270953,1457396.5490461,392.929318504616,3.78821740853844,0.990135504553924,-0.0989250333152675,36.5388594513596,36.4439081156856,36.6594272455939,0.178599580365189,33.9000134751406,37.4056343530828,3.40092325433226,37.4056343530828,34.4521606669781,2.79579410620721,3987.38040697068,1062.98461803605,0.163412357438581,1696.97576049776,447.391013797312,1.72279157065171,1.80273037438591,1.68931581870167,1.83181916839899,1.68931581870167,1.72612433536687,1.71600644394925,1.8437951245675,129.133050166753,33.001194697769,0.00102115073291442,103.658636787538,0.112817214543134,0.596403386866862,0.0286676966737833,0.64553457218473,0.0711355029699968,0.0431857086759975,0.112962782471673,0.279891222545901,0.336245673419781,0.153992336771909,0.309715686694389,0.339964073333122,0.267728053705499,0.233883805425908,0.109271312212603,0.175035951661909,0.109272713050381,79510502.5329903,21290.3750658659,29.8889648500218,477.439919292332,253606.893230173,67184.8554011844,0.220714743447691,110217.245119641,292.794645176401,170.260421904295,5299307146,13350447.44
"GPC000800",71.9575431489014,105.014935819004,35.9575431831179,69.0149358132588,53.4791853522386,3.77050768235582,2.0540543361002,2.13701146363538,7.78257969138979,1.08927258808271,15110.9073474636,7.67106089938824,35.8191006125639,1.1285889410869,849346.466344841,242.933865351899,3.02201701242728,1.01440166896782,-0.0447226965652156,37.0139917665569,36.9883581680869,37.1343558034687,0.141526260298033,35.0887760738096,38.0144252138199,2.9827423562239,38.0144252138199,35.8559259896836,2.20725887462668,4035.02987030968,1064.96849394261,0.152488870985827,1916.44902683598,506.051025896552,1.69412789880913,1.73436506641651,1.65958091092256,1.76798035194223,1.65958091092256,1.69414515466409,1.68728820305921,1.50560409274569,102.547941230574,26.415616674452,-0.105894778243176,103.93326937497,0.108797647379263,0.585127583273399,0.0254011005075648,0.642969489942233,0.0761539117483858,0.0432819814337315,0.106342547988156,0.277242809570566,0.339128520874065,0.154242299208871,0.326840661967179,0.321653430387946,0.261532937068479,0.236592136320084,0.120204627441814,0.168608686051221,0.105976094292415,39982866.2388087,11303.819432954,22.8426971139171,449.227189225695,258542.29395724,68962.436972161,0.224994664473286,126291.56152059,332.147894815154,138.77982090364,5299307146,13350447.44
"GPC000830",69.7543294744107,105.596020431212,33.7543294485372,69.5960204381368,52.4383983848879,4.73822889257957,1.90894043468285,3.39121753480136,7.51981371218891,1.87071842188848,18388.1367809035,7.93968767994992,35.8191003201654,1.12858864833957,2401171.16605598,612.690999709235,4.62059682783628,1.32042448333358,-0.0458946663649328,36.5589135010475,36.562921939742,36.6955731661682,0.13176709192194,34.451078324296,37.3138968967201,2.93338773865075,37.3138968967201,35.206996015743,2.14658339166183,5675.19838101955,1438.0164704841,0.180281789300023,2683.01821328214,676.490118546124,1.71369060726729,1.76479967100676,1.68758600856408,1.79534746404305,1.68758600856408,1.71398959136409,1.7074803735831,1.74725190308867,124.981459948655,31.8114393764904,0.0275303435924963,103.743298722646,0.112344063169963,0.592941208021815,0.02091702474593,0.651660636577692,0.070680770459733,0.0415973544363713,0.103869926448853,0.269978427688577,0.349254080130366,0.164976380752986,0.34671999246699,0.293229860325261,0.257258960029858,0.246269773747089,0.131698764471415,0.172036728315419,0.107841012500894,148810184.454212,37665.3282536989,35.1392720870706,521.215001148045,379034.877161409,95491.3698391002,0.329849498866785,182841.078500079,459.218123431689,164.337700091982,5299307146,13350447.44
"GPC000850",65.3442674744745,99.2040558055971,29.3442675582757,63.2040558049582,85.7138224540912,5.67172473363951,1.51641295342542,3.84904654988434,5.55188074093087,1.89989960315194,19788.5004138026,8.90718165362951,35.8191002123732,1.12858854044658,4090416.94596643,1059.06855177142,6.64791237519548,2.51732713893485,-0.0614144103519915,36.2877306638063,36.2887048182259,36.3961700143413,0.117818487464969,33.8923433475052,36.2712283558151,2.50505480570268,36.2712283558151,35.0003355165756,1.37789886060363,6474.55801109013,1616.31509806292,0.194698536298504,2987.84269423841,770.083042517213,1.72592286251444,1.77755660747186,1.7277927604235,1.83102517051363,1.7277927604235,1.72612738553123,1.7210305050926,2.04252174425974,154.365466144896,39.7638688749746,0.0727020912325882,103.79332400677,0.111340614666275,0.573271331899169,0.0222065937409509,0.654216328633378,0.0700196058413185,0.0422483464912055,0.103326107747201,0.260347210643253,0.351462005772602,0.172734865832399,0.32979225386507,0.318284683469214,0.264580093691034,0.235909122196935,0.120949966763768,0.168736757023385,0.107928329684668,247997696.700151,64295.6132034586,49.5487041223296,596.968863623594,416591.58167076,107410.188647691,0.362418996979484,197361.680330337,509.278095865829,204.332022124032,5299307146,13350447.44
"GPC000870",72.3920272748397,104.687901528193,36.3920272887997,68.6879015260411,43.5444252658268,3.97414738689178,2.03036164093556,2.29138373112956,7.61248742288954,1.11584965962554,14659.6113494296,7.77419670846096,35.8191005923647,1.1285889208663,781307.481089173,233.5526943496,3.39026110414586,1.17251921737386,-0.0477222008109084,37.0052746625196,36.9827544399949,37.1270965602687,0.141276875608979,34.9418418159905,38.05700843191,3.14509619344545,38.05700843191,35.7259469767241,2.38315500258367,3854.38394487033,1045.1323479781,0.149562555984841,1813.6916221004,487.814197801285,1.69558973919778,1.73908050009857,1.65921674128362,1.77399335998743,1.65921674128362,1.69523496783739,1.6888247523859,1.66042972326741,108.376095328427,27.9368462886653,-0.0995603627620848,103.943060240007,0.109202024189867,0.582191775103077,0.0270446561912108,0.644736742218649,0.0758041645118324,0.0427484620072014,0.105003102778363,0.275590979809543,0.341332667042715,0.157243975350138,0.322472738481274,0.326314077477564,0.257374923012699,0.235737940534572,0.12193575751125,0.168154237050814,0.105426959943304,33067815.9234306,9994.9001156001,25.0429527875537,459.966557024959,240025.746023065,65631.7025535952,0.208924966051634,115468.968156808,311.278471115173,148.575552187767,5299307146,13350447.44
"GPC001000",67.2451832447097,114.870865489276,31.2451832567366,78.8708654780147,80.3369148017903,5.45960688252776,1.34902032916179,4.10606507499429,4.2326096441582,1.55094913344252,19950.1578475072,12.2008886832306,35.8191000911857,1.12858841903972,3544997.46061505,862.947603153024,6.0555911600099,2.15616150495192,-0.0523142552698541,36.7544106982838,36.7269229862172,36.8814820048808,0.143549129082898,34.7402530051514,37.0458191218616,2.45445319877423,37.0458191218616,35.3981506730343,1.72632616599619,7530.012324655,1903.34691178043,0.209152799815015,3553.80164866005,861.25092275188,1.70562168762349,1.75644679176728,1.6989767880283,1.79395982600657,1.6989767880283,1.70774797669123,1.7005700848113,2.24549488541776,152.610912882988,37.5085985486257,0.0805454377377767,103.773639238291,0.118048137199271,0.558996147560091,0.0350580631385289,0.650050922994148,0.0732907624128512,0.0425651437934034,0.103358754497628,0.262355513424014,0.346652717694908,0.168492459791367,0.284281696046091,0.389184664608275,0.255482203972277,0.202908664342347,0.100046545799609,0.167480150239624,0.108183228797616,224125478.145276,54738.7526735588,43.8230413224575,553.618592807722,486289.816526125,117878.671808103,0.424055699478669,233396.431955967,566.515121289256,206.975202273119,5299307146,13350447.44
"GPC001050",69.5362934147034,116.20521219185,33.5362933491812,80.2052121769249,77.2586549280335,4.21745950024307,1.1190655813243,3.74725294478518,1.91212275763912,0.860096269651471,16766.9105740979,12.00527435623,35.8191000812057,1.12858840902087,3429382.60182648,857.330977706794,6.10993978547971,2.45118495748881,-0.0557692869625264,36.7768198890661,36.7499782520752,36.8970353189109,0.138176869193623,34.790719471379,37.4870520829777,2.7912002492605,37.4870520829777,35.2821414555011,2.19751465561362,7162.75216997413,1842.77074909427,0.201907570674794,3362.02593334622,832.730484137244,1.70772225553005,1.76672173036584,1.68366619363241,1.7914628297494,1.68366619363241,1.70940079213425,1.7032350416418,2.24464620464568,157.773618090036,39.1328031862481,0.0664964091786596,103.872082867886,0.115293671696964,0.543443452632829,0.0353960638881906,0.6525159821193,0.0737888942201895,0.041792665534025,0.100679163678133,0.254343020628181,0.350173390832083,0.177516459832823,0.285286236337402,0.391650478703633,0.249019217072937,0.202919996793966,0.103848498752464,0.164640595236419,0.106514209096254,204912239.39044,51167.560969706,44.7033295188127,563.852265508794,449354.935391253,112043.229806541,0.391713471995281,214763.417732451,535.514331164905,208.376476249996,5299307146,13350447.44
