g2pname,genotype,environment,datatype,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC127510,AVPP9905,stress1,estimateBLUP,73.9305995,116.9819977,33.9305995,76.98199769,22.06814779,10.89028366,1.919190326,5.814820146,13.23566865,7.701328033,12872.72799,71.79765108,34.01850383,-1.374324514,1457622.246,366.6377323,7.024738938,9.107394351,-0.015105373,32.83481239,34.48853104,34.58989397,0.122391464,34.15920895,38.41103314,4.415356794,35.92154084,32.65253611,4.063647342,3021.998218,758.165623,0.056903745,1636.748303,410.320079,1.677723288,1.570093201,1.71420176,1.79506297,1.616924872,1.785527786,1.782100642,1.734165857,98.18194612,26.68602648,0.069618259,77.42570797,0.16383264,0.762099689,0.020082964,0.573780986,0.014550923,0.073090068,0.203345047,0.378825308,0.256662907,0.013585021,0.286057122,0.320738104,0.315897015,0.226384597,0.067275616,0.372116445,0.129179258,96753857.88,24370.7325,43.6669425,566.9053,151546.6601,382.9363597,0.126589667,81396.08404,205.3973706,161.4929394,56582904652,15321492597
GPC050150,PPC1,stress1,estimateBLUP,70.1524134,106.8359162,30.1524134,66.83591616,52.66058222,2.925337332,1.789564844,1.614054722,3.072768181,4.326361588,18184.83142,74.61369382,34.18590744,-1.20714408,480050.612,129.6475588,2.455022351,4.848922404,-0.063061173,30.34807048,32.68293647,32.79445756,0.131369469,32.88771999,37.66431365,4.481275456,33.25732827,27.52269182,7.07734141,2272.877199,614.3055855,0.038825194,1137.077384,306.9395075,1.679883444,1.517944657,1.828649713,1.852725658,1.635431174,1.855212943,1.861555058,1.584988191,75.94710351,23.63895955,-0.229032126,67.25428476,0.228436871,0.654742398,0.029289513,0.529893763,0.036976957,0.095479188,0.217897226,0.346339598,0.211818399,0.010785336,0.227616477,0.406320272,0.275532776,0.169058787,0.05595495,0.380565482,0.144330271,37302294.08,10120.55485,20.95994351,352.4943428,139011.6443,374.4443666,0.116761207,70243.96713,189.337392,151.4884987,56582904652,15321492597
GPC002420,PPC10,stress1,estimateBLUP,74.87514602,118.0788714,34.87514602,78.07887137,4.627601056,3.760372027,4.220042629,0.935469538,18.76174578,1.064839393,16264.73112,69.6112832,35.51583604,0.121011588,250268.2185,65.42938373,2.104657449,2.84578822,-0.079986749,33.43206482,35.81688934,36.16659701,0.304196065,36.22064425,39.47095014,4.192881309,37.41415838,30.81183674,6.358565864,753.2734982,201.2416392,0.028494594,358.9798112,96.20678115,1.615078773,1.539338931,1.654252833,1.724295126,1.589165419,1.727961787,1.714869981,1.257249378,72.65910572,22.1819767,-0.070923099,74.62944042,0.160756248,0.747188954,0.017014114,0.537638567,0.022960686,0.090503828,0.24457622,0.378825308,0.182801365,0.007985651,0.276829651,0.314625092,0.321663335,0.217333153,0.061615283,0.389014518,0.149380609,22176673.31,5870.402136,18.33132336,247.9452026,73271.02136,194.3726301,0.062704681,36995.10272,98.2492133,121.9446618,56582904652,15321492597
GPC015800,PPC100,stress1,estimateBLUP,72.98605298,112.0460661,32.98605298,72.04606614,11.37509127,6.458176427,5.095014631,1.29091892,36.1021947,8.637243098,21616.07622,79.34464562,33.25588743,-2.135924267,851429.4083,214.7432594,4.898592951,5.834545591,-0.043314667,32.51989748,34.82290041,34.9696394,0.158303484,34.7516687,39.58065775,5.025104418,37.01356617,28.07088264,8.475488929,1886.456302,475.6377043,0.049155794,958.2192217,241.5206776,1.653961576,1.511927517,1.673327491,1.768852658,1.586521662,1.76734905,1.763765007,2.220123407,108.28139,28.8512979,-0.223176236,73.4293756,0.173061816,0.735260366,0.020082964,0.535056966,0.036976957,0.102942228,0.227598678,0.350980414,0.203904663,0.010785336,0.267602181,0.33907714,0.318780175,0.202247414,0.058785117,0.382255289,0.151905778,61873864.85,15668.35261,36.99146992,474.3074828,117207.0515,297.9749453,0.099561403,61513.00545,156.1494628,204.1642002,56582904652,15321492597
GPC015830,PPC101,stress1,estimateBLUP,73.9305995,118.0788714,33.9305995,78.07887137,10.4887684,3.278621241,5.127421002,0.676960897,31.27481698,7.077384657,29355.9726,87.36098062,33.96270263,-1.430051325,879776.9252,230.0930121,4.545233477,6.52158293,-0.03203095,34.28179213,36.13302038,36.4248239,0.261550541,35.96093586,38.96664907,3.933326577,37.77359385,30.61410222,6.702328082,1659.423456,446.2912215,0.051738444,868.9587023,233.4268352,1.632360019,1.533990363,1.635178174,1.716432032,1.571980996,1.71281284,1.702646225,2.086767614,114.599775,31.90787205,-0.070923099,77.6266897,0.145374288,0.785956864,0.010876414,0.560872979,0.011747669,0.085528468,0.222747952,0.385786531,0.222370048,0.010785336,0.292208768,0.302399067,0.338962295,0.226384597,0.067275616,0.380565482,0.136754765,70082861.48,18324.68122,37.89314777,503.2705194,121977.4146,326.8818849,0.102018518,64832.41682,173.7495431,193.6695238,56582904652,15321492597
GPC015960,PPC102,stress1,estimateBLUP,73.9305995,111.4976293,33.9305995,71.4976293,21.1246428,2.732637018,1.49790751,1.807936203,12.12410141,3.02175271,16140.39921,63.68744799,34.38121164,-1.012100241,2164185.149,582.7852925,8.228556807,9.695869372,0.013103921,32.79409064,34.79554291,34.99090515,0.191971003,33.39902087,39.4426385,5.601892711,37.40867081,32.89367577,4.596274968,2822.69692,773.9019801,0.067234345,1530.511629,417.8567057,1.6820436,1.568087487,1.654252833,1.842241533,1.591809177,1.776438418,1.769876885,1.447111862,153.5516071,41.52918788,0.136960993,78.6112089,0.14845068,0.77999257,0.013945264,0.56345458,0.017354178,0.083040788,0.215471863,0.378825308,0.238197521,0.010785336,0.295284592,0.293229549,0.327429655,0.247504632,0.070105783,0.372116445,0.134229596,140759080.7,38019.2114,63.57109884,740.9182043,169430.7684,452.0338525,0.141332356,93602.17185,249.5099228,216.1088331,56582904652,15321492597
GPC016020,PPC103,stress1,estimateBLUP,75.34741929,115.3366872,35.34741929,75.33668717,7.000659054,5.33409126,6.099612116,0.903155958,51.85469043,5.23391559,25851.41263,75.12058151,34.90667294,-0.487339435,888958.0961,246.8421642,6.018562809,7.69563408,-0.020747232,32.44659832,34.1146453,34.3043254,0.189726501,34.15379836,38.64814312,4.602126336,35.82550846,31.91304117,4.639754774,1563.111359,437.0457611,0.054321095,786.8549093,221.3614093,1.695004534,1.586807477,1.711476809,1.792441939,1.6089936,1.806736312,1.794324398,2.846217552,140.6904667,38.3632806,0.02277114,78.68694114,0.136145112,0.791921158,0.013945264,0.56345458,0.011747669,0.083040788,0.222747952,0.3765049,0.232921697,0.010785336,0.304512062,0.281003525,0.330312815,0.241470336,0.075766116,0.378875675,0.136754765,74737515.63,20617.56058,45.27467994,590.0686888,104461.5232,287.145214,0.084818714,52862.0979,145.84593,257.8540931,56582904652,15321492597
GPC016090,PPC104,stress1,estimateBLUP,72.04150645,102.9968583,32.04150645,62.99685829,15.69234136,9.027513951,3.701540701,2.518834967,25.93929423,9.686602413,15462.03599,80.75266699,34.39516194,-0.998168538,1284886.69,323.3523607,5.80594821,7.834780883,-0.034851879,32.16426081,34.88065512,35.00001904,0.140347474,34.29176844,38.9560322,4.771042908,37.59250423,25.70610641,10.76225499,2151.161663,541.4975846,0.054321095,1108.119069,278.811486,1.658281887,1.438384699,1.643353028,1.789820908,1.602384206,1.755229892,1.75459719,2.45971178,137.5077292,35.12131548,-0.111914328,75.05470611,0.166909032,0.744206807,0.017014114,0.553128175,0.017354178,0.078065428,0.217897226,0.378825308,0.222370048,0.010785336,0.273753828,0.32379461,0.315897015,0.214316005,0.067275616,0.372116445,0.134229596,89233275.65,22494.38569,46.67762954,625.9226575,139487.2058,353.0996933,0.116761207,71971.35555,182.0509437,249.1154463,56582904652,15321492597
GPC016110,PPC105,stress1,estimateBLUP,70.1524134,108.7554451,30.1524134,68.7554451,11.74677505,9.316564423,3.60432159,2.615775708,28.22594684,7.190828907,23940.46786,80.6587989,34.13475634,-1.25822699,481785.7658,122.1210595,2.622718373,3.509634425,-0.037672808,31.16522039,33.61005153,33.78179569,0.174014993,32.98511064,38.75431177,5.277792623,35.89410301,28.16412331,7.842314251,1152.298876,292.9753444,0.046573144,574.7272549,146.1173881,1.675563133,1.503904664,1.708751858,1.873693908,1.614281115,1.824915049,1.815715972,0.762250757,117.9348629,30.92149703,-0.311014585,72.94876711,0.16383264,0.735260366,0.020082964,0.535056966,0.031370448,0.095479188,0.220322589,0.350980414,0.214456312,0.010785336,0.273753828,0.308512079,0.313013855,0.220350301,0.067275616,0.385634904,0.14685544,38683970.66,9882.593974,31.00371773,410.3588112,97176.15526,248.4139169,0.0823616,49626.50216,126.7107976,155.7501777,56582904652,15321492597
GPC016200,PPC106,stress1,estimateBLUP,70.1524134,115.6109056,30.1524134,75.61090559,23.72642928,5.591025013,1.821971215,3.10047941,6.979133048,4.553250089,23320.69343,81.71012153,35.52048614,0.125655489,1195011.76,300.8339593,6.860037488,8.710246185,-0.026389091,33.42663525,36.26676812,36.30634333,0.077501439,35.84190286,39.53642081,4.43458307,38.19339254,33.39042346,4.563665113,1795.80382,453.0822591,0.049155794,964.5645667,243.1013507,1.623719396,1.558727492,1.618828466,1.726916158,1.58784354,1.703723472,1.702646225,2.968272007,142.5602211,36.2051396,0.01691525,78.24419878,0.14845068,0.765081836,0.017014114,0.560872979,0.017354178,0.078065428,0.203345047,0.367223269,0.246111258,0.013585021,0.292208768,0.293229549,0.315897015,0.238453188,0.075766116,0.368736831,0.131704427,80930683.53,20422.93279,56.26598003,670.4775648,117530.7475,298.7728999,0.097104289,64734.96449,164.1327441,251.0271063,56582904652,15321492597
