"","V1"
"DASanthesis_BLUP_RRTrnCorr",0.9578390290615
"DASmaturity_BLUP_RRTrnCorr",0.981124224797062
"DATanthesis_BLUP_RRTrnCorr",0.957839029056895
"DATmaturity_BLUP_RRTrnCorr",0.981124224880886
"fruitno_BLUP_RRTrnCorr",0.999999999999984
"fruitlength_BLUP_RRTrnCorr",0.989797843943431
"fruitwidth_BLUP_RRTrnCorr",0.982086071007905
"fruitshapeindex_BLUP_RRTrnCorr",0.97732558229968
"fruitweight_BLUP_RRTrnCorr",0.947287390387685
"yield_BLUP_RRTrnCorr",0.945047712364153
"pollenconcentration_BLUP_RRTrnCorr",0.809453979821791
"pollenactivity_BLUP_RRTrnCorr",0.830799839187033
"leaftemp_BLUP_RRTrnCorr",NA
"leafminushobotemp_BLUP_RRTrnCorr",NA
"growthrateplot_BLUP_RRTrnCorr",0.956302353223409
"growthrateplant_BLUP_RRTrnCorr",0.97432708543963
"height_BLUP_RRTrnCorr",0.971659286332907
"heightmax_BLUP_RRTrnCorr",0.921989185098822
"leafangledaily_BLUP_RRTrnCorr",0.937678300552366
"leafanglemean_BLUP_RRTrnCorr",0.849699916170029
"leafanglenoon_BLUP_RRTrnCorr",0.845349705090609
"leafanglemidnight_BLUP_RRTrnCorr",0.84791783717224
"leafanglemidnightminusnoon_BLUP_RRTrnCorr",0.859572771298406
"leafanglebright_BLUP_RRTrnCorr",0.783114556685127
"leafanglelow_BLUP_RRTrnCorr",0.854277192008564
"leafanglelowminusbright_BLUP_RRTrnCorr",0.915630376026098
"leafanglecold_BLUP_RRTrnCorr",0.854277192008564
"leafangleHot_BLUP_RRTrnCorr",0.753494865336213
"leafanglecoldminushot_BLUP_RRTrnCorr",0.869156448827762
"leafareadaily_BLUP_RRTrnCorr",0.905332716877101
"leafareadailyplant_BLUP_RRTrnCorr",0.918568329155296
"leafareaindex_BLUP_RRTrnCorr",0.840666645908016
"leafareaprojecteddaily_BLUP_RRTrnCorr",0.929333410530477
"leafareaprojectedplant_BLUP_RRTrnCorr",0.936190342797121
"leafinclinationmean_BLUP_RRTrnCorr",0.834240470064144
"leafinclinationhot_BLUP_RRTrnCorr",0.705953954515277
"leafinclinationcold_BLUP_RRTrnCorr",0.821424387234645
"leafinclinationbright_BLUP_RRTrnCorr",0.793613104254946
"leafinclinationdark_BLUP_RRTrnCorr",0.821424387234645
"leafinclinationnoon_BLUP_RRTrnCorr",0.833849834338682
"leafinclinationmidnight_BLUP_RRTrnCorr",0.833985647191494
"lightpendaily_BLUP_RRTrnCorr",0.853122315061785
"lightpenmeanplot_BLUP_RRTrnCorr",0.941667255713828
"lightpenmeanplant_BLUP_RRTrnCorr",0.930321519759385
"huedaily_BLUP_RRTrnCorr",0.911681687088716
"huemean_BLUP_RRTrnCorr",0.826489458899355
"huebin0_BLUP_RRTrnCorr",0.953401581833586
"huebin1_BLUP_RRTrnCorr",0.84394045110564
"huebin5_BLUP_RRTrnCorr",0.995386458758793
"ndvimean_BLUP_RRTrnCorr",0.861913231996078
"ndvibin0_BLUP_RRTrnCorr",0.889666382724149
"ndvibin1_BLUP_RRTrnCorr",0.884658056130081
"ndvibin2_BLUP_RRTrnCorr",0.817839955821236
"ndvibin3_BLUP_RRTrnCorr",0.884781695429376
"ndvibin4_BLUP_RRTrnCorr",0.926456724567665
"ndvibin5_BLUP_RRTrnCorr",0.888461401466726
"green_BLUP_RRTrnCorr",0.991731315845847
"greenb0_BLUP_RRTrnCorr",0.981698928044875
"greenb1_BLUP_RRTrnCorr",0.963824642367366
"greenb2_BLUP_RRTrnCorr",0.968269870606442
"greenb3_BLUP_RRTrnCorr",0.968053425103434
"npcimean_BLUP_RRTrnCorr",NA
"psrimean_BLUP_RRTrnCorr",0.808025907818326
"biomassfinalplot_BLUP_RRTrnCorr",0.953625948592917
"biomassfinalplant_BLUP_RRTrnCorr",0.970781263466894
"heightfinal_BLUP_RRTrnCorr",0.973820601909171
"heighmaxfinal_BLUP_RRTrnCorr",0.933463164381454
"leafareafinalplot_BLUP_RRTrnCorr",0.883213301659512
"leafareafinalplant_BLUP_RRTrnCorr",0.902222991040909
"leafareaindexfinal_BLUP_RRTrnCorr",0.883422843178832
"leafareafinalprojectedplot_BLUP_RRTrnCorr",0.91344150192762
"leafareafinalprojectedplant_BLUP_RRTrnCorr",0.923566607701948
"lightpenetrationfinal_BLUP_RRTrnCorr",0.858318245479268
"biomassAUC_BLUP_RRTrnCorr",NA
"biomassAUCperplant_BLUP_RRTrnCorr",NA
